priority,workState,type,sport,slug,route,status,qualityClassification,uniquenessClassification,indexability,reasonHeld,evidenceCoverage,internalLinks,productRelationships,workStateReasons,title
P0,NEEDS_UNIQUE_REWRITE,review,running,altra-escalante-4,/reviews/altra-escalante-4,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3991|quality_not_launch_ready,moderate (2),alts:2,product:altra-escalante-4,uniqueness_duplicative,Altra Escalante 4 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,altra-experience-flow,/reviews/altra-experience-flow,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3932|quality_not_launch_ready,moderate (2),alts:4,product:altra-experience-flow,uniqueness_duplicative,Altra Experience Flow Review
P0,NEEDS_UNIQUE_REWRITE,review,running,altra-lone-peak-8,/reviews/altra-lone-peak-8,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3973|quality_not_launch_ready,moderate (2),alts:3,product:altra-lone-peak-8,uniqueness_duplicative,Altra Lone Peak 8 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,altra-paradigm-7,/reviews/altra-paradigm-7,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3980|quality_not_launch_ready,moderate (2),alts:4,product:altra-paradigm-7,uniqueness_duplicative,Altra Paradigm 7 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,altra-torin-8,/reviews/altra-torin-8,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3918|quality_not_launch_ready,moderate (2),alts:3,product:altra-torin-8,uniqueness_duplicative,Altra Torin 8 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,amphipod-airflow-lite-belt,/reviews/amphipod-airflow-lite-belt,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3962|quality_not_launch_ready,thin (1),alts:3,product:amphipod-airflow-lite-belt,uniqueness_duplicative,Amphipod AirFlow Lite Belt Review
P0,NEEDS_UNIQUE_REWRITE,review,running,amphipod-hydraform-ergo-lite-handheld,/reviews/amphipod-hydraform-ergo-lite-handheld,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4051|quality_not_launch_ready,thin (1),alts:3,product:amphipod-hydraform-ergo-lite-handheld,uniqueness_duplicative,Amphipod Hydraform Ergo-Lite Handheld Review
P0,NEEDS_UNIQUE_REWRITE,review,running,amphipod-vizlet-led,/reviews/amphipod-vizlet-led,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3962|quality_not_launch_ready,thin (1),alts:3,product:amphipod-vizlet-led,uniqueness_duplicative,Amphipod Vizlet LED Reflector Review
P0,NEEDS_UNIQUE_REWRITE,review,running,amphipod-xinglet,/reviews/amphipod-xinglet,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4014|quality_not_launch_ready,thin (1),alts:3,product:amphipod-xinglet,uniqueness_duplicative,Amphipod Xinglet Reflective Sash Review
P0,NEEDS_UNIQUE_REWRITE,review,running,amphipod-xinglet-optic-beam,/reviews/amphipod-xinglet-optic-beam,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3948|quality_not_launch_ready,thin (1),alts:3,product:amphipod-xinglet-optic-beam,uniqueness_duplicative,Amphipod Xinglet Optic Beam Rechargeable Vest Review
P0,NEEDS_UNIQUE_REWRITE,review,running,apple-airpods-4,/reviews/apple-airpods-4,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4060|quality_not_launch_ready,thin (1),alts:3,product:apple-airpods-4,uniqueness_duplicative,Apple AirPods 4 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,apple-airpods-pro-2,/reviews/apple-airpods-pro-2,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3971|quality_not_launch_ready,thin (1),alts:3|comps:1,product:apple-airpods-pro-2,uniqueness_duplicative,Apple AirPods Pro 2 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,apple-watch-ultra-2,/reviews/apple-watch-ultra-2,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3904|quality_not_launch_ready,moderate (2),alts:3|comps:1,product:apple-watch-ultra-2,uniqueness_duplicative,Apple Watch Ultra 2 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,asics-core-split-short,/reviews/asics-core-split-short,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3907|quality_not_launch_ready,moderate (2),alts:3,product:asics-core-split-short,uniqueness_duplicative,ASICS Core Split Short Review
P0,NEEDS_UNIQUE_REWRITE,review,running,asics-gel-cumulus-27,/reviews/asics-gel-cumulus-27,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3888|quality_not_launch_ready,moderate (2),alts:4,product:asics-gel-cumulus-27,uniqueness_duplicative,ASICS GEL-Cumulus 27 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,asics-gel-nimbus-27,/reviews/asics-gel-nimbus-27,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3951|quality_not_launch_ready,moderate (2),alts:3|comps:2,product:asics-gel-nimbus-27,uniqueness_duplicative,ASICS GEL-Nimbus 27 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,asics-gel-trabuco-13,/reviews/asics-gel-trabuco-13,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3976|quality_not_launch_ready,moderate (2),alts:4,product:asics-gel-trabuco-13,uniqueness_duplicative,ASICS Gel-Trabuco 13 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,asics-gt-1000-13,/reviews/asics-gt-1000-13,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3998|quality_not_launch_ready,moderate (2),alts:4,product:asics-gt-1000-13,uniqueness_duplicative,ASICS GT-1000 13 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,asics-gt-2000-14,/reviews/asics-gt-2000-14,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3983|quality_not_launch_ready,moderate (2),alts:3,product:asics-gt-2000-14,uniqueness_duplicative,ASICS GT-2000 14 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,asics-metaspeed-sky-paris,/reviews/asics-metaspeed-sky-paris,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3937|quality_not_launch_ready,moderate (2),alts:4,product:asics-metaspeed-sky-paris,uniqueness_duplicative,ASICS METASPEED Sky Paris Review
P0,NEEDS_UNIQUE_REWRITE,review,running,asics-novablast-4,/reviews/asics-novablast-4,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3910|quality_not_launch_ready,moderate (2),alts:1|comps:1,product:asics-novablast-4,uniqueness_duplicative,ASICS Novablast 4 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,assaultrunner-elite,/reviews/assaultrunner-elite,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3905|quality_not_launch_ready,moderate (3),sparse,product:assaultrunner-elite,uniqueness_duplicative,Assault Fitness AssaultRunner Elite Review
P0,NEEDS_UNIQUE_REWRITE,review,running,assaultrunner-pro,/reviews/assaultrunner-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3911|quality_not_launch_ready,moderate (3),sparse,product:assaultrunner-pro,uniqueness_duplicative,Assault Fitness AssaultRunner Pro Review
P0,NEEDS_UNIQUE_REWRITE,review,running,balega-blister-resist,/reviews/balega-blister-resist,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3991|quality_not_launch_ready,moderate (2),alts:4,product:balega-blister-resist,uniqueness_duplicative,Balega Blister Resist Quarter Review
P0,NEEDS_UNIQUE_REWRITE,review,running,balega-hidden-comfort,/reviews/balega-hidden-comfort,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3990|quality_not_launch_ready,thin (1),alts:3,product:balega-hidden-comfort,uniqueness_duplicative,Balega Hidden Comfort Review
P0,NEEDS_UNIQUE_REWRITE,review,running,beats-fit-pro,/reviews/beats-fit-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3939|quality_not_launch_ready,thin (1),alts:3,product:beats-fit-pro,uniqueness_duplicative,Beats Fit Pro Review
P0,NEEDS_UNIQUE_REWRITE,review,running,biolite-headlamp-800-pro,/reviews/biolite-headlamp-800-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4056|quality_not_launch_ready,thin (1),alts:3,product:biolite-headlamp-800-pro,uniqueness_duplicative,BioLite HeadLamp 800 Pro Review
P0,NEEDS_UNIQUE_REWRITE,review,running,black-diamond-distance-15,/reviews/black-diamond-distance-15,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3968|quality_not_launch_ready,thin (1),alts:3,product:black-diamond-distance-15,uniqueness_duplicative,Black Diamond Distance 15 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,black-diamond-distance-1500,/reviews/black-diamond-distance-1500,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3954|quality_not_launch_ready,thin (1),alts:3,product:black-diamond-distance-1500,uniqueness_duplicative,Black Diamond Distance 1500 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,black-diamond-distance-22,/reviews/black-diamond-distance-22,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4062|quality_not_launch_ready,thin (1),alts:3,product:black-diamond-distance-22,uniqueness_duplicative,Black Diamond Distance 22 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,black-diamond-distance-8,/reviews/black-diamond-distance-8,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4035|quality_not_launch_ready,moderate (2),alts:4,product:black-diamond-distance-8,uniqueness_duplicative,Black Diamond Distance 8 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,black-diamond-spot-400-r,/reviews/black-diamond-spot-400-r,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3887|quality_not_launch_ready,thin (1),alts:2|comps:1,product:black-diamond-spot-400-r,uniqueness_duplicative,Black Diamond Spot 400-R Review
P0,NEEDS_UNIQUE_REWRITE,review,running,blackroll-pro,/reviews/blackroll-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4060|quality_not_launch_ready,thin (1),alts:3,product:blackroll-pro,uniqueness_duplicative,BLACKROLL PRO Foam Roller Review
P0,NEEDS_UNIQUE_REWRITE,review,running,body-glide-original,/reviews/body-glide-original,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3900|quality_not_launch_ready,thin (1),sparse,product:body-glide-original,uniqueness_duplicative,Body Glide Original Anti-Chafe Balm Review
P0,NEEDS_UNIQUE_REWRITE,review,running,bose-ultra-open-earbuds,/reviews/bose-ultra-open-earbuds,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3900|quality_not_launch_ready,thin (1),alts:2|comps:1,product:bose-ultra-open-earbuds,uniqueness_duplicative,Bose Ultra Open Earbuds Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brazyn-morph,/reviews/brazyn-morph,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3918|quality_not_launch_ready,thin (1),alts:3,product:brazyn-morph,uniqueness_duplicative,Brazyn Morph Collapsible Foam Roller Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-canopy-jacket-men,/reviews/brooks-canopy-jacket-men,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3918|quality_not_launch_ready,moderate (2),alts:3,product:brooks-canopy-jacket-men,uniqueness_duplicative,Brooks Canopy Jacket (Men) Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-cascadia-18,/reviews/brooks-cascadia-18,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4007|quality_not_launch_ready,moderate (2),alts:4,product:brooks-cascadia-18,uniqueness_duplicative,Brooks Cascadia 18 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-chaser-5-women,/reviews/brooks-chaser-5-women,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4036|quality_not_launch_ready,thin (1),alts:3,product:brooks-chaser-5-women,uniqueness_duplicative,"Brooks Chaser 5"" Short Tight (Women) Review"
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-ghost-16,/reviews/brooks-ghost-16,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3873|quality_not_launch_ready,moderate (2),alts:2|comps:1,product:brooks-ghost-16,uniqueness_duplicative,Brooks Ghost 16 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-glycerin-21,/reviews/brooks-glycerin-21,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3977|quality_not_launch_ready,moderate (2),alts:1,product:brooks-glycerin-21,uniqueness_duplicative,Brooks Glycerin 21 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-glycerin-gts-22,/reviews/brooks-glycerin-gts-22,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3953|quality_not_launch_ready,moderate (2),alts:4,product:brooks-glycerin-gts-22,uniqueness_duplicative,Brooks Glycerin GTS 22 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-hyperion-max-2,/reviews/brooks-hyperion-max-2,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3914|quality_not_launch_ready,moderate (2),alts:3,product:brooks-hyperion-max-2,uniqueness_duplicative,Brooks Hyperion Max 2 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-method-tight-women,/reviews/brooks-method-tight-women,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3897|quality_not_launch_ready,thin (1),alts:3,product:brooks-method-tight-women,uniqueness_duplicative,Brooks Method 7/8 Tight (Women) Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-notch-thermal-beanie,/reviews/brooks-notch-thermal-beanie,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3970|quality_not_launch_ready,moderate (2),alts:2,product:brooks-notch-thermal-beanie,uniqueness_duplicative,Brooks Notch Thermal Beanie Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-notch-thermal-men,/reviews/brooks-notch-thermal-men,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3946|quality_not_launch_ready,moderate (2),alts:3,product:brooks-notch-thermal-men,uniqueness_duplicative,Brooks Notch Thermal Hoodie (Men) Review
P0,NEEDS_UNIQUE_REWRITE,review,running,brooks-sherpa-7-men,/reviews/brooks-sherpa-7-men,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3909|quality_not_launch_ready,thin (1),alts:3,product:brooks-sherpa-7-men,uniqueness_duplicative,"Brooks Sherpa 7"" 2-in-1 Short (Men) Review"
P0,NEEDS_UNIQUE_REWRITE,review,running,buff-coolnet-uv,/reviews/buff-coolnet-uv,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4016|quality_not_launch_ready,moderate (2),alts:2,product:buff-coolnet-uv,uniqueness_duplicative,BUFF CoolNet UV+ Multifunctional Neckwear Review
P0,NEEDS_UNIQUE_REWRITE,review,running,buff-merino-lightweight,/reviews/buff-merino-lightweight,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3907|quality_not_launch_ready,moderate (2),alts:2,product:buff-merino-lightweight,uniqueness_duplicative,BUFF Lightweight Merino Wool Multifunctional Neckwear Review
P0,NEEDS_UNIQUE_REWRITE,review,running,buff-original,/reviews/buff-original,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3915|quality_not_launch_ready,moderate (2),alts:3,product:buff-original,uniqueness_duplicative,Buff Original Multifunctional Headwear Review
P0,NEEDS_UNIQUE_REWRITE,review,running,buff-polar,/reviews/buff-polar,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4048|quality_not_launch_ready,moderate (2),alts:3,product:buff-polar,uniqueness_duplicative,BUFF Polar Multifunctional Neckwear Review
P0,NEEDS_UNIQUE_REWRITE,review,running,camelbak-apex-pro,/reviews/camelbak-apex-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4040|quality_not_launch_ready,moderate (2),alts:4|comps:1,product:camelbak-apex-pro,uniqueness_duplicative,CamelBak Apex Pro Run Vest Review
P0,NEEDS_UNIQUE_REWRITE,review,running,camelbak-circuit-run-vest,/reviews/camelbak-circuit-run-vest,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3931|quality_not_launch_ready,moderate (2),alts:4,product:camelbak-circuit-run-vest,uniqueness_duplicative,CamelBak Circuit Run Vest Review
P0,NEEDS_UNIQUE_REWRITE,review,running,camelbak-crux-15,/reviews/camelbak-crux-15,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4058|quality_not_launch_ready,moderate (2),alts:4,product:camelbak-crux-15,uniqueness_duplicative,CamelBak Crux 1.5L Reservoir Review
P0,NEEDS_UNIQUE_REWRITE,review,running,camelbak-quick-grip-chill,/reviews/camelbak-quick-grip-chill,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4039|quality_not_launch_ready,thin (1),alts:3,product:camelbak-quick-grip-chill,uniqueness_duplicative,CamelBak Quick Grip Chill Handheld Review
P0,NEEDS_UNIQUE_REWRITE,review,running,camelbak-zephyr,/reviews/camelbak-zephyr,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3954|quality_not_launch_ready,thin (1),alts:3,product:camelbak-zephyr,uniqueness_duplicative,CamelBak Zephyr Review
P0,NEEDS_UNIQUE_REWRITE,review,running,camelbak-zephyr-pro,/reviews/camelbak-zephyr-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4060|quality_not_launch_ready,thin (1),alts:3,product:camelbak-zephyr-pro,uniqueness_duplicative,CamelBak Zephyr Pro Review
P0,NEEDS_UNIQUE_REWRITE,review,running,cep-calf-sleeves-3,/reviews/cep-calf-sleeves-3,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3916|quality_not_launch_ready,thin (1),alts:1,product:cep-calf-sleeves-3,uniqueness_duplicative,CEP Calf Sleeves 3.0 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,cep-run-compression-sock-3,/reviews/cep-run-compression-sock-3,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3991|quality_not_launch_ready,thin (1),alts:2,product:cep-run-compression-sock-3,uniqueness_duplicative,CEP Run Compression Sock 3.0 Review
P0,NEEDS_UNIQUE_REWRITE,review,running,cep-the-run-calf-sleeves,/reviews/cep-the-run-calf-sleeves,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3939|quality_not_launch_ready,thin (1),alts:3,product:cep-the-run-calf-sleeves,uniqueness_duplicative,CEP The Run Calf Sleeves Review
P0,NEEDS_UNIQUE_REWRITE,review,running,ciele-gocap-athletics,/reviews/ciele-gocap-athletics,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3956|quality_not_launch_ready,thin (1),alts:1,product:ciele-gocap-athletics,uniqueness_duplicative,Ciele GOCap Athletics Review
P0,NEEDS_UNIQUE_REWRITE,review,running,clif-bar-original,/reviews/clif-bar-original,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4027|quality_not_launch_ready,moderate (2),alts:3,product:clif-bar-original,uniqueness_duplicative,CLIF Bar Original Review
P0,NEEDS_UNIQUE_REWRITE,review,running,clif-bloks-energy-chews,/reviews/clif-bloks-energy-chews,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4086|quality_not_launch_ready,moderate (2),alts:3,product:clif-bloks-energy-chews,uniqueness_duplicative,CLIF BLOKS Energy Chews Review
P0,NEEDS_UNIQUE_REWRITE,review,running,compressport-free-belt-pro,/reviews/compressport-free-belt-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3951|quality_not_launch_ready,thin (1),alts:3,product:compressport-free-belt-pro,uniqueness_duplicative,Compressport Free Belt Pro Review
P0,NEEDS_UNIQUE_REWRITE,review,running,compressport-ultrun-s-pack,/reviews/compressport-ultrun-s-pack,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4039|quality_not_launch_ready,thin (1),alts:3,product:compressport-ultrun-s-pack,uniqueness_duplicative,Compressport Ultrun S Pack Review
P0,NEEDS_UNIQUE_REWRITE,review,running,coros-apex-2-pro,/reviews/coros-apex-2-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3954|quality_not_launch_ready,moderate (2),alts:3,product:coros-apex-2-pro,uniqueness_duplicative,COROS Apex 2 Pro Review
P0,NEEDS_UNIQUE_REWRITE,review,running,coros-heart-rate-monitor,/reviews/coros-heart-rate-monitor,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3981|quality_not_launch_ready,moderate (2),alts:3|comps:1,product:coros-heart-rate-monitor,uniqueness_duplicative,COROS Heart Rate Monitor Review
P0,NEEDS_UNIQUE_REWRITE,review,running,coros-pace-pro,/reviews/coros-pace-pro,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=4029|quality_not_launch_ready,moderate (2),alts:4|comps:2,product:coros-pace-pro,uniqueness_duplicative,COROS Pace Pro Review
P0,NEEDS_UNIQUE_REWRITE,review,running,craft-active-extreme-x-men,/reviews/craft-active-extreme-x-men,published,DUPLICATIVE,DUPLICATIVE,HIDDEN_404,content_uniqueness_hold|decisionScore=100|words=3917|quality_not_launch_ready,moderate (2),alts:3,product:craft-active-extreme-x-men,uniqueness_duplicative,Craft Active Extreme X Windstop (Men) Review
