kind,id,slug,vertical,heroPresent,sectionFileCount,resolvedInlineImages,words,imagesPer1000Words,gap
review,review-head-padel-pro-s,head-padel-pro-s,padel,true,10,8,3807,2.1,OK
review,review-nox-at10-team-bag,nox-at10-team-bag,padel,true,0,0,3804,0,NO_SECTION_FILES
review,review-bullpadel-pascal-box,bullpadel-pascal-box-3b,padel,true,0,0,3863,0,NO_SECTION_FILES
review,review-novablast-5-scheduled,asics-novablast-5-deep-dive,running,true,15,12,3870,3.1,OK
review,review-adios-pro-4,adidas-adizero-adios-pro-4,running,true,15,12,1954,6.14,OK
review,review-boston-12,adidas-adizero-boston-12,running,true,15,13,3779,3.44,OK
review,review-adizero-boston-13,adidas-adizero-boston-13,running,true,15,12,1774,6.76,OK
review,review-adizero-evo-sl,adidas-adizero-evo-sl,running,true,15,12,1951,6.15,OK
review,review-terrex-agravic-3,adidas-terrex-agravic-3,running,true,15,12,1475,8.14,OK
review,review-ultraboost-5,adidas-ultraboost-5,running,true,15,12,1651,7.27,OK
review,review-escalante-4,altra-escalante-4,running,true,15,12,1540,7.79,OK
review,review-experience-flow,altra-experience-flow,running,true,15,12,1451,8.27,OK
review,review-lone-peak-8,altra-lone-peak-8,running,true,15,12,1499,8.01,OK
review,review-paradigm-7,altra-paradigm-7,running,true,15,12,1616,7.43,OK
review,review-torin-8,altra-torin-8,running,true,15,12,1648,7.28,OK
review,review-cumulus-27,asics-gel-cumulus-27,running,true,15,12,1651,7.27,OK
review,review-nimbus-27,asics-gel-nimbus-27,running,true,15,12,1738,6.9,OK
review,review-trabuco-13,asics-gel-trabuco-13,running,true,15,12,1850,6.49,OK
review,review-gt-1000-13,asics-gt-1000-13,running,true,15,12,1529,7.85,OK
review,review-gt-2000-14,asics-gt-2000-14,running,true,15,12,1596,7.52,OK
review,review-metaspeed-sky-paris,asics-metaspeed-sky-paris,running,true,15,12,1913,6.27,OK
review,review-novablast-4,asics-novablast-4,running,true,15,12,1228,9.77,OK
review,review-novablast-6,asics-novablast-6,running,true,15,12,544,22.06,OK
review,review-ghost-16,brooks-ghost-16,running,true,15,12,1766,6.8,OK
review,review-glycerin-21,brooks-glycerin-21,running,true,15,12,1174,10.22,OK
review,review-hyperion-max-2,brooks-hyperion-max-2,running,true,15,12,1704,7.04,OK
review,review-arahi-7,hoka-arahi-7,running,true,15,12,1882,6.38,OK
review,review-bondi-8,hoka-bondi-8,running,true,15,12,1154,10.4,OK
best,best-padel-rackets,padel-rackets,padel,true,0,7,168,41.67,OK
best,best-padel-rackets-beginners,padel-rackets-beginners,padel,true,0,4,72,55.56,OK
best,best-padel-rackets-intermediate,padel-rackets-intermediate,padel,true,0,5,101,49.5,OK
best,best-padel-rackets-advanced,padel-rackets-advanced,padel,true,0,5,112,44.64,OK
best,best-padel-rackets-control,padel-rackets-control,padel,true,0,5,98,51.02,OK
best,best-padel-rackets-power,padel-rackets-power,padel,true,0,5,90,55.56,OK
best,best-padel-rackets-all-round,padel-rackets-all-round,padel,true,0,5,96,52.08,OK
best,best-padel-rackets-lightweight,padel-rackets-lightweight,padel,true,0,4,91,43.96,OK
best,best-padel-rackets-comfort,padel-rackets-comfort,padel,true,0,5,87,57.47,OK
best,best-padel-rackets-maneuverability,padel-rackets-maneuverability,padel,true,0,5,89,56.18,OK
best,best-padel-rackets-women,padel-rackets-women,padel,true,0,2,48,41.67,THIN_PRODUCT_VISUALS
best,best-padel-rackets-value,padel-rackets-value,padel,true,0,5,121,41.32,OK
best,best-padel-shoes,padel-shoes,padel,true,0,6,124,48.39,OK
best,best-padel-shoes-men,padel-shoes-men,padel,true,0,5,87,57.47,OK
best,best-padel-shoes-women,padel-shoes-women,padel,true,0,6,120,50,OK
best,best-padel-shoes-stability,padel-shoes-stability,padel,true,0,4,64,62.5,OK
best,best-padel-shoes-comfort,padel-shoes-comfort,padel,true,0,3,56,53.57,OK
best,best-padel-shoes-lightweight,padel-shoes-lightweight,padel,true,0,3,55,54.55,OK
best,best-padel-shoes-value,padel-shoes-value,padel,true,0,3,55,54.55,OK
best,best-padel-balls,padel-balls,padel,true,0,5,90,55.56,OK
best,best-padel-competition-balls,padel-competition-balls,padel,true,0,5,88,56.82,OK
best,best-padel-training-balls,padel-training-balls,padel,true,0,3,50,60,OK
best,best-padel-fast-balls,padel-fast-balls,padel,true,0,4,60,66.67,OK
best,best-padel-value-balls,padel-value-balls,padel,true,0,3,44,68.18,OK
best,best-padel-overgrips,padel-overgrips,padel,true,0,2,36,55.56,THIN_PRODUCT_VISUALS
best,best-padel-overgrips-sweaty,padel-overgrips-sweaty-hands,padel,true,0,2,38,52.63,THIN_PRODUCT_VISUALS
best,best-padel-tacky-overgrips,padel-tacky-overgrips,padel,true,0,3,58,51.72,OK
best,best-padel-dry-feel-overgrips,padel-dry-feel-overgrips,padel,true,0,2,26,76.92,THIN_PRODUCT_VISUALS
best,best-padel-value-overgrips,padel-value-overgrips-multipacks,padel,true,0,3,54,55.56,OK
best,best-padel-ergonomic-grips,padel-ergonomic-grip-systems,padel,true,0,3,56,53.57,OK
best,best-padel-bags,padel-bags,padel,true,0,3,72,41.67,OK
best,best-padel-backpacks,padel-backpacks,padel,true,0,3,46,65.22,OK
best,best-large-padel-bags,large-padel-bags,padel,true,0,3,54,55.56,OK
best,best-compact-padel-bags,compact-padel-bags,padel,true,0,3,56,53.57,OK
best,best-padel-bags-shoe-compartment,padel-bags-with-shoe-compartments,padel,true,0,3,58,51.72,OK
best,best-padel-tournament-bags,padel-tournament-bags,padel,true,0,3,52,57.69,OK
best,best-padel-bags-commuting,padel-bags-commuting,padel,true,0,3,42,71.43,OK
best,best-padel-ball-pressurizers,padel-ball-pressurizers,padel,true,0,2,46,43.48,THIN_PRODUCT_VISUALS
best,best-padel-racket-protectors,padel-racket-protectors,padel,true,0,2,38,52.63,THIN_PRODUCT_VISUALS
best,best-running-shoes,running-shoes,running,true,0,9,128,70.31,OK
best,best-daily-trainers,daily-trainers,running,true,0,9,113,79.65,OK
best,best-running-shoes-long-runs,running-shoes-long-runs,running,true,0,7,73,95.89,OK
best,best-max-cushion-running-shoes,max-cushion-running-shoes,running,true,0,8,79,101.27,OK
best,best-tempo-running-shoes,tempo-running-shoes,running,true,0,8,77,103.9,OK
best,best-race-shoes,race-shoes,running,true,0,7,61,114.75,OK
best,best-carbon-plated-running-shoes,carbon-plated-running-shoes,running,true,0,7,82,85.37,OK
best,best-marathon-shoes,marathon-shoes,running,true,0,8,85,94.12,OK
best,best-stability-running-shoes,stability-running-shoes,running,true,0,7,61,114.75,OK
best,best-trail-running-shoes,trail-running-shoes,running,true,0,6,50,120,OK
best,best-running-shoes-heavy,running-shoes-heavy-runners,running,true,0,8,171,46.78,OK
best,best-running-shoes-beginners,running-shoes-beginners,running,true,0,8,83,96.39,OK
best,best-running-shoes-wide,running-shoes-wide-feet,running,true,0,8,74,108.11,OK
best,best-running-watches,running-watches,running,true,0,6,79,75.95,OK
best,best-running-watches-beginners,running-watches-beginners,running,true,0,5,57,87.72,OK
buying,guide-choose-padel-racket,how-to-choose-a-padel-racket,padel,false,0,0,340,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-racket-shapes,padel-racket-shapes-explained,padel,false,0,0,304,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-round-vs-teardrop-vs-diamond,round-vs-teardrop-vs-diamond-padel-rackets,padel,false,0,0,260,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-racket-balance,padel-racket-balance-explained,padel,false,0,0,280,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-racket-weight,padel-racket-weight-explained,padel,false,0,0,261,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-racket-materials,padel-racket-materials-explained,padel,false,0,0,230,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-carbon-vs-fiberglass-padel,carbon-vs-fiberglass-padel-rackets,padel,false,0,0,224,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-racket-cores-eva,padel-racket-cores-eva-foam-explained,padel,false,0,0,237,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-soft-vs-hard-padel-rackets,soft-vs-hard-padel-rackets,padel,false,0,0,203,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-racket-sweet-spots,how-padel-racket-sweet-spots-work,padel,false,0,0,218,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-choose-padel-shoes,how-to-choose-padel-shoes,padel,false,0,0,226,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-vs-tennis-shoes,padel-vs-tennis-shoes,padel,false,0,0,232,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-shoe-outsoles,padel-shoe-outsoles-explained,padel,false,0,0,183,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-how-long-padel-balls-last,how-long-do-padel-balls-last,padel,false,0,0,274,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-choose-padel-balls,how-to-choose-padel-balls,padel,false,0,0,285,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-fast-vs-standard-padel-balls,fast-vs-standard-padel-balls,padel,false,0,0,291,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-ball-pressurizers,padel-ball-pressurizers,padel,false,0,0,278,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-choose-padel-bag,how-to-choose-a-padel-bag,padel,false,0,0,229,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-bag-vs-backpack,padel-bag-vs-backpack,padel,false,0,0,247,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-racket-protection,padel-racket-frame-protectors,padel,false,0,0,241,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-racket-customization,padel-racket-customization,padel,false,0,0,305,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-grips,padel-grips-overgrips-explained,padel,false,0,0,188,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-padel-grip-vs-overgrip,padel-grip-vs-overgrip,padel,false,0,0,194,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-how-often-replace-padel-overgrip,how-often-should-you-replace-a-padel-overgrip,padel,false,0,0,187,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-beginner-padel-gear,beginner-padel-gear-guide,padel,false,0,0,222,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-complete-padel-gear-checklist,complete-padel-gear-checklist,padel,false,0,0,183,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-choose-shoes,how-to-choose-running-shoes,running,false,0,0,330,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-drop,running-shoe-drop,running,false,0,0,143,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-cushioning,running-shoe-cushioning,running,false,0,0,118,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-stability,stability-shoes-explained,running,false,0,0,447,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-plates,carbon-vs-nylon-plates,running,false,0,0,108,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-daily-trainer,what-is-a-daily-trainer,running,false,0,0,117,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-shoe-rotation,running-shoe-rotation,running,false,0,0,133,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-terminology,running-shoe-terminology,running,false,0,0,84,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-road-vs-trail,road-vs-trail-running-shoes,running,false,0,0,102,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-choose-watch,how-to-choose-running-watch,running,false,0,0,99,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-multiband-gps,multi-band-gps-running-watches,running,false,0,0,84,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-choose-hrm,how-to-choose-heart-rate-monitor,running,false,0,0,88,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-choose-hydration-vest,how-to-choose-running-hydration-vest,running,false,0,0,83,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-vest-vs-belt,hydration-vest-vs-running-belt,running,false,0,0,50,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
buying,guide-choose-headlamp,how-to-choose-running-headlamp,running,false,0,0,65,0,FEW_OR_NO_INLINE_EDITORIAL_IMAGES
