product_slug,status,retailer,url,price,currency,ships_nl,checked_at,notes
varlion-lw-carbon-difusor,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xS8YTK,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
nox-ml10-pro-cup,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xJGj3g,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
bullpadel-hack-03,NL_DIRECT,ret-amazon-nl,https://amzn.to/4iMwOLO,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
babolat-counter-viper,NL_DIRECT,ret-amazon-nl,https://amzn.to/465NyX2,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
head-extreme-pro-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xyq6O5,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
wilson-blade-pro-v3-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/3ULfInM,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
starvie-basalto-osiris,NL_DIRECT,ret-amazon-nl,https://amzn.to/4cuuzZM,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
bullpadel-vertex-05-2026,NL_DIRECT,ret-amazon-nl,https://amzn.to/4gPRvnw,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
bullpadel-hack-04-2026,NL_DIRECT,ret-amazon-nl,https://amzn.to/4gR1FVd,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
nox-at10-genius-12k-alum-xtrem-2026,NL_DIRECT,ret-amazon-nl,https://amzn.to/4cwHmLh,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
adidas-metalbone-3-3,NL_DIRECT,ret-amazon-nl,https://amzn.to/4ylsRm0,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
head-extreme-motion,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xbCSkG,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
tecnifibre-wall-breaker-365,NL_DIRECT,ret-amazon-nl,https://amzn.to/3SA2Iki,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
oxdog-sense-pro,NL_DIRECT,ret-amazon-nl,https://amzn.to/4A3HJXW,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
lok-maxx-flow,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xGbk8c,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
asics-gel-resolution-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/4cndjFW,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
asics-gel-challenger-court,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xcyxhl,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
babolat-jet-premura,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xDbQ6Z,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
joma-t-slam,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xWtbIh,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
head-revolt-pro-court,NL_DIRECT,ret-amazon-nl,https://amzn.to/4cXHT9a,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
adidas-crazyquick-boost-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/4x94l6z,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
adidas-courtquick-padel-women,NL_DIRECT,ret-amazon-nl,https://amzn.to/4gMYePj,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
adidas-crazyquick-boost-padel-women,NL_DIRECT,ret-amazon-nl,https://amzn.to/4624ptR,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
asics-gel-dedicate-8-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/4x4Bu36,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
asics-game-ff-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/3TcQNcg,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
asics-solution-swift-ff2-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/4gKnvcH,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
bullpadel-hybrid-fly,NL_DIRECT,ret-amazon-nl,https://amzn.to/4gUrGmB,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
bullpadel-ionic-woman,NL_DIRECT,ret-amazon-nl,https://amzn.to/4djybxY,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
nox-at10-lux,NL_DIRECT,ret-amazon-nl,https://amzn.to/4iyeDd1,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
nox-ml10-hexa,NL_DIRECT,ret-amazon-nl,https://amzn.to/4cwrYyF,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
babolat-movea-2,NL_DIRECT,ret-amazon-nl,https://amzn.to/3UARSuX,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
babolat-sensa-women,NL_DIRECT,ret-amazon-nl,https://amzn.to/3UEoTGu,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
joma-slam-lady,NL_DIRECT,ret-amazon-nl,https://amzn.to/3VcddLi,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
joma-spin-men,NL_DIRECT,ret-amazon-nl,https://amzn.to/4yqvpzn,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
head-sprint-pro-4-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xG6Jms,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
wilson-rush-pro-5-padel,NL_DIRECT,ret-amazon-nl,https://amzn.to/4gUM8oF,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
kuikma-ps-990,NL_DIRECT,ret-amazon-nl,https://amzn.to/4xFDUXl,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
asics-gel-resolution-padel-women,NL_DIRECT,ret-amazon-nl,https://amzn.to/4zSpuEN,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
joma-spin-lady,NL_DIRECT,ret-amazon-nl,https://amzn.to/4gUzhS9,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
babolat-jet-premura-2,NL_DIRECT,ret-amazon-nl,https://amzn.to/46FcyEJ,,EUR,yes,2026-09-23T14:30:00.000Z,Existing Amazon NL affiliate shortlink (homepage seed upgraded at materialize)
bullpadel-vertex-05-hybrid-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/bullpadel-vertex-05-hybrid-2026,223.98,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-vertex-05-hybrid-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-vertex-05-hybrid-2026,269.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-vertex-05-w-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/bullpadel-vertex-05-w-2026,167.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-hack-04-hybrid-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/bullpadel-hack-04-hybrid-2026,212.93,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-hack-04-hybrid-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-hack-04-hybrid-2026,254.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-hack-04-comfort-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-hack-04-comfort-2026,204.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-neuron-02-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/bullpadel-neuron-02-2026,174.49,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-neuron-02-2026,NL_DIRECT,ret-zonadepadel,https://www.zonadepadel.nl/bullpadel/13556-bullpadel-neuron-02-2026.html,179.96,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-neuron-02-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-neuron-02-2026,259.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-neuron-02-edge-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/bullpadel-neuron-02-edge-2026,178.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-neuron-02-edge-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-neuron-02-edge-2026,269.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-xplo-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/bullpadel-xplo-2026,169.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-xplo-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-xplo-2026,249.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-xplo-comfort-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/bullpadel-xplo-comfort-2026,126.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-xplo-comfort-2026,NL_DIRECT,ret-justpadel,https://justpadel.com/en/products/bullpadel-xplo-comfort,149.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-xplo-comfort-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-xplo-comfort-2026,199.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-ionic-light-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-ionic-light-2026,129.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-indiga-ctr-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-indiga-ctr-2026,84.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-indiga-ctr-2026,NL_DIRECT,ret-bespanracket,https://www.bespanracket.nl/bullpadel-indiga-ctr-26-padelracket.html,89.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-indiga-ctr-2026,BRAND_DIRECT_SHIPS_NL,ret-bullpadel-direct,https://www.bullpadel.com/gb/5697-racket-bullpadel-indiga-ctr-26.html,89.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-vertex-advance-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/bullpadel-vertex-advance-2026,99.49,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-vertex-advance-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/bullpadel-vertex-advance-2026,117.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-metalbone-team-light-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/adidas-metalbone-team-light-2026,179.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-cross-it-light-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/adidas-cross-it-light-2026,239.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-arrow-hit-ctrl-2026,NL_DIRECT,ret-justpadel,https://justpadel.com/en/products/adidas-arrow-hit-ctrl-2026,279.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-arrow-hit-ctrl-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/adidas-arrow-hit-ctrl-2026,319.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-arrow-hit-2026,NL_DIRECT,ret-justpadel,https://justpadel.com/en/products/adidas-arrow-hit-2026,269.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-arrow-hit-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/adidas-arrow-hit-2026,319.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-match-light-2026,NL_DIRECT,ret-zonadepadel,https://www.zonadepadel.nl/adidas-padel/14063-adidas-match-light-2026.html,58.5,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-match-light-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/adidas-match-light-3-5-2026,59.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
adidas-match-light-2026,NL_DIRECT,ret-justpadel,https://justpadel.com/en/products/adidas-match-light-3-5-2026,74.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
head-coello-motion-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/head-coello-motion-2026,213.49,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
head-coello-team-2026,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/head-coello-team-2026,142.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
head-gravity-pro,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/products/head-gravity-pro,149.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
siux-electra-pro-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/siux-electra-pro-2026,249.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
siux-fenix-pro-2026,NL_DIRECT,ret-chefpadel,https://chefpadel.nl/products/siux-fenix-pro-2026,259.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
kuikma-pr-comfort-soft,NL_DIRECT,ret-decathlon,https://www.decathlon.nl/p/padelracket-pr-comfort-soft/348617/c1c14m8928692,44.99,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
head-padel-pro-plus,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/head-pro-tube,5.79,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
wilson-padel-premier,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/wilson-premier-tube,6.25,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
wilson-padel-premier-speed,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/wilson-padel-premier-speed-tube,6.19,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
bullpadel-premium-pro,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/premium-pro-tube,5.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
adidas-speed-rx-padel-balls,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/adidas-speed-rx-bal-2023-1-tube-3-ballen,5.89,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
babolat-court-padel-balls,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/babolat-court-padel-ballen-tube,5.45,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
dunlop-pro-padel,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/dunlop-pro-padel-ball-tube,5.99,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
tecnifibre-padel-team-balls,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/tube-van-3-tecnifibre-padel-team-ballen,4.9,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
nox-at10-team-paletero,NL_DIRECT,ret-zonadepadel,https://www.zonadepadel.nl/nox/11533-nox-padeltas-at10-team-wit-2025.html,44.96,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
nox-at10-team-paletero,BRAND_DIRECT_SHIPS_NL,ret-nox-direct,https://noxsport.com/en/products/paletero-at10-team-grey-black,69.95,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
nox-at10-team-paletero,NL_DIRECT,ret-racketshop,https://racketshop.com/nl/product/nox-at10-team-padel-bag-white-2025/,75,EUR,yes,2026-09-23T14:30:00.000Z,Verified listing 2026-09-23
bullpadel-vertex-geo-backpack,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/bullpadel-vertex-geo-rugzak-intense-blue-2026,40.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
tecnifibre-tour-endurance-padel-backpack,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/tecnifibre-tour-endurance-rugzak-caqui,41.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
adidas-protour-padel-bag,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/adidas-padeltas-protour-3-5-blauw-brons-2026,80.37,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
wilson-super-tour-padel-bag,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/wilson-bela-super-tour-padel-tas-rood,80.31,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
nox-at10-xxl-padel-bag,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-eu/products/nox-at10-xxl-padel-bag-black-red-agustin-tapia,59.49,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
nox-pro-overgrip,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/nox-pro-overgrip-wit-3-pack,9.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
head-xtreme-soft-overgrip,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/head-xtreme-soft-overgrip-wit,2.29,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
hesacore-padel-grip,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/hesacore-grip,17.99,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
bullpadel-frame-protector-3-pack,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/bullpadel-frame-protector-zwart-3-stuks,7.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
nox-transparent-frame-protector,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/nox-protection-tape-transparant-framebeschermer,9.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
bullpadel-pascal-box-3b,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/pascal-box-3b,58.49,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
bullpadel-protector-custom-weight,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/bullpadel-protector-custom-weight-4-stuks,12.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
black-crown-spartan,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/black-crown-spartan-backpack-black-red,42.49,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
bullpadel-bpm26002-hack,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/bullpadel-hack-backpack-grey-green-2026,58.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
bullpadel-bpm26007-bpm26008-vertex,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-eu/products/bullpadel-vertex-backpack-black-2026-juan-tello,40.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
bullpadel-bpp26022-xplo,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-eu/products/bullpadel-xplo-padel-bag-black-2026-martin-di-nenno,61.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
nox-luxury-master-series,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-eu/products/nox-luxury-master-series-padel-bag-black-white-agustin-tapia,84.25,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
nox-luxury-open-series,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-eu/products/nox-luxury-open-series-padel-bag-black-red-agustin-tapia,49.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
royal-padel-force,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-eu/products/royal-padel-force-black-padel-bag-2026,74.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
siux-nomad,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/siux-nomad-backpack-black-blue-2026,60.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
siux-tour,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-eu/products/siux-tour-backpack-black-2026,61.99,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
siux-trail,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/siux-trail-backpack-grey-2026,44.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
starvie-pro-master,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/starvie-pro-master-padel-bag,38.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
wilson-bela-super-tour-backpack,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/wilson-bela-dna-super-tour-backpack-black,48.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
black-crown-one,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/black-crown-one-padel-ball-box,74.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
black-crown-pro,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/black-crown-pro-padel-balls-tube,4.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
dunlop-pro,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/dunlop-pro-padel-ball-tube,5.99,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
oxdog-boost,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/oxdog-boost-padel-ball-tube,6.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
head-xtreme-soft-xtremesoft,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/head-xtreme-soft-overgrip-wit,2.29,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
hesacore-tour-original,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en-nl/products/hesacore-grip,17.99,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
black-crown-plus,EU_SHIPS_NL,ret-padelmq,https://www.padelmq.com/en/products/black-crown-plus-black-padel-bag,56.95,EUR,yes,2026-09-22T12:00:00.000Z,Existing specialist/listing offer
