slug,before_hero,after_hero,hubImageSrc,changed,collision_before,collision_after
"padel-shoes-stability","/images/padel/products/joma-t-slam-hero.jpg","/images/padel/products/joma-t-slam-hero.jpg","/images/padel/products/joma-t-slam-hero.jpg","no","no","no"
"padel-shoes-comfort","/images/padel/products/adidas-crazyquick-boost-padel-hero.jpg","/images/padel/products/adidas-crazyquick-boost-padel-hero.jpg","/images/padel/products/adidas-crazyquick-boost-padel-hero.jpg","no","no","no"
"padel-shoes-lightweight","/images/padel/guides/choose-shoes.jpg","/images/padel/products/babolat-jet-premura-hero.jpg","/images/padel/products/babolat-jet-premura-hero.jpg","yes","yes","no"
"padel-shoes-value","/images/padel/guides/choose-shoes.jpg","/images/padel/products/kuikma-ps-990-hero.jpg","/images/padel/products/kuikma-ps-990-hero.jpg","yes","yes","no"
"padel-balls","/images/padel/hero.jpg","/images/padel/products/head-padel-pro-s-hero.jpg","/images/padel/products/head-padel-pro-s-hero.jpg","yes","yes","no"
"padel-competition-balls","/images/padel/hero.jpg","/images/padel/products/head-padel-pro-plus-hero.jpg","/images/padel/products/head-padel-pro-plus-hero.jpg","yes","yes","no"
"padel-training-balls","/images/padel/hero.jpg","/images/padel/products/tecnifibre-padel-team-balls-hero.jpg","/images/padel/products/tecnifibre-padel-team-balls-hero.jpg","yes","yes","no"
"padel-fast-balls","/images/padel/hero.jpg","/images/padel/balls/drop-shot-tournament-tech-hero.jpg","/images/padel/balls/drop-shot-tournament-tech-hero.jpg","yes","yes","no"
"padel-value-balls","/images/padel/hero.jpg","/images/padel/products/kuikma-pb-speed-hero.jpg","/images/padel/products/kuikma-pb-speed-hero.jpg","yes","yes","no"
"padel-overgrips","/images/padel/guides/grips.jpg","/images/padel/products/wilson-padel-overgrip-hero.jpg","/images/padel/products/wilson-padel-overgrip-hero.jpg","yes","yes","no"
"padel-overgrips-sweaty-hands","/images/padel/guides/grips.jpg","/images/padel/products/nox-pro-overgrip-hero.jpg","/images/padel/products/nox-pro-overgrip-hero.jpg","yes","yes","no"
"padel-tacky-overgrips","/images/padel/guides/grips.jpg","/images/padel/products/head-xtreme-soft-overgrip-hero.jpg","/images/padel/products/head-xtreme-soft-overgrip-hero.jpg","yes","yes","no"
"padel-dry-feel-overgrips","/images/padel/guides/grips.jpg","/images/padel/products/bullpadel-hac-overgrip-hero.jpg","/images/padel/products/bullpadel-hac-overgrip-hero.jpg","yes","yes","no"
"padel-value-overgrips-multipacks","/images/padel/guides/grips.jpg","/images/padel/products/kuikma-padel-overgrip-hero.jpg","/images/padel/products/kuikma-padel-overgrip-hero.jpg","yes","yes","no"
"padel-ergonomic-grip-systems","/images/padel/guides/grips.jpg","/images/padel/products/hesacore-padel-grip-hero.jpg","/images/padel/products/hesacore-padel-grip-hero.jpg","yes","yes","no"
"padel-bags","/images/padel/products/nox-at10-team-paletero-hero.jpg","/images/padel/products/adidas-protour-padel-bag-hero.jpg","/images/padel/products/adidas-protour-padel-bag-hero.jpg","yes","yes","no"
"padel-backpacks","/images/padel/products/nox-at10-team-paletero-hero.jpg","/images/padel/products/tecnifibre-tour-endurance-padel-backpack-hero.jpg","/images/padel/products/tecnifibre-tour-endurance-padel-backpack-hero.jpg","yes","yes","no"
"large-padel-bags","/images/padel/products/nox-at10-team-paletero-hero.jpg","/images/padel/products/babolat-rh-pro-padel-hero.jpg","/images/padel/products/babolat-rh-pro-padel-hero.jpg","yes","yes","no"
"compact-padel-bags","/images/padel/products/nox-at10-team-paletero-hero.jpg","/images/padel/bags/head-tour-team-elite-hero.jpg","/images/padel/bags/head-tour-team-elite-hero.jpg","yes","yes","no"
"padel-bags-with-shoe-compartments","/images/padel/products/nox-at10-team-paletero-hero.jpg","/images/padel/products/nox-at10-team-paletero-hero.jpg","/images/padel/products/nox-at10-team-paletero-hero.jpg","no","yes","no"
"padel-tournament-bags","/images/padel/products/nox-at10-team-paletero-hero.jpg","/images/padel/products/nox-at10-xxl-padel-bag-hero.jpg","/images/padel/products/nox-at10-xxl-padel-bag-hero.jpg","yes","yes","no"
"padel-bags-commuting","/images/padel/products/nox-at10-team-paletero-hero.jpg","/images/padel/products/bullpadel-vertex-geo-backpack-hero.jpg","/images/padel/products/bullpadel-vertex-geo-backpack-hero.jpg","yes","yes","no"
"padel-ball-pressurizers","/images/padel/hero.jpg","/images/padel/products/bullpadel-pascal-box-3b-hero.jpg","/images/padel/products/bullpadel-pascal-box-3b-hero.jpg","yes","yes","no"
"padel-racket-protectors","/images/padel/hero.jpg","/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg","/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg","yes","yes","no"

"metric","value"
"before_collision_groups","4"
"before_collision_slugs","25"
"after_collision_groups","0"
"after_collision_slugs","0"
"after_unique_srcs","39"
"guide_count","39"
