kind,vertical,id,slug,indexable,heroPresent,meaningfulImages,sectionFiles,heroOnly,noVisuals,contentClass,parityReady,consideredCount,recommendedCount,diagrams,productExamples
review,running,review-boston-12,adidas-adizero-boston-12,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-adizero-boston-13,adidas-adizero-boston-13,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-adizero-evo-sl,adidas-adizero-evo-sl,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-terrex-agravic-3,adidas-terrex-agravic-3,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-ultraboost-5,adidas-ultraboost-5,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-escalante-4,altra-escalante-4,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-experience-flow,altra-experience-flow,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-lone-peak-8,altra-lone-peak-8,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-paradigm-7,altra-paradigm-7,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-torin-8,altra-torin-8,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-cumulus-27,asics-gel-cumulus-27,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-nimbus-27,asics-gel-nimbus-27,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-trabuco-13,asics-gel-trabuco-13,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-gt-1000-13,asics-gt-1000-13,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-gt-2000-14,asics-gt-2000-14,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-metaspeed-sky-paris,asics-metaspeed-sky-paris,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-novablast-4,asics-novablast-4,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-novablast-6,asics-novablast-6,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-ghost-16,brooks-ghost-16,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-glycerin-21,brooks-glycerin-21,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-hyperion-max-2,brooks-hyperion-max-2,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-arahi-7,hoka-arahi-7,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-bondi-8,hoka-bondi-8,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-clifton-9,hoka-clifton-9,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-clifton-pro,hoka-clifton-pro,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-gaviota-5,hoka-gaviota-5,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-mach-6,hoka-mach-6,true,true,15,15,false,false,GOOD,true,,,,
review,running,review-trailfly-ultra-g-300-max,inov8-trailfly-ultra-g-300-max,true,true,15,15,false,false,GOOD,true,,,,
best,padel,best-padel-rackets,padel-rackets,true,true,7,0,false,false,EXCELLENT,true,24,7,,
best,padel,best-padel-rackets-beginners,padel-rackets-beginners,true,true,4,0,false,false,EXCELLENT,true,10,4,,
best,padel,best-padel-rackets-intermediate,padel-rackets-intermediate,true,true,5,0,false,false,EXCELLENT,true,9,5,,
best,padel,best-padel-rackets-advanced,padel-rackets-advanced,true,true,5,0,false,false,EXCELLENT,true,9,5,,
best,padel,best-padel-rackets-control,padel-rackets-control,true,true,5,0,false,false,EXCELLENT,true,9,5,,
best,padel,best-padel-rackets-power,padel-rackets-power,true,true,5,0,false,false,EXCELLENT,true,9,5,,
best,padel,best-padel-rackets-all-round,padel-rackets-all-round,true,true,5,0,false,false,EXCELLENT,true,8,5,,
best,padel,best-padel-rackets-lightweight,padel-rackets-lightweight,true,true,4,0,false,false,EXCELLENT,true,7,4,,
best,padel,best-padel-rackets-comfort,padel-rackets-comfort,true,true,5,0,false,false,EXCELLENT,true,7,5,,
best,padel,best-padel-rackets-maneuverability,padel-rackets-maneuverability,true,true,5,0,false,false,EXCELLENT,true,8,5,,
best,padel,best-padel-rackets-women,padel-rackets-women,true,true,2,0,false,false,EXCELLENT,true,6,2,,
best,padel,best-padel-rackets-value,padel-rackets-value,true,true,5,0,false,false,EXCELLENT,true,12,5,,
best,padel,best-padel-shoes,padel-shoes,true,true,6,0,false,false,EXCELLENT,true,9,6,,
best,padel,best-padel-shoes-men,padel-shoes-men,true,true,5,0,false,false,EXCELLENT,true,8,5,,
best,padel,best-padel-shoes-women,padel-shoes-women,true,true,6,0,false,false,EXCELLENT,true,10,6,,
best,padel,best-padel-shoes-stability,padel-shoes-stability,true,true,4,0,false,false,EXCELLENT,true,7,4,,
best,padel,best-padel-shoes-comfort,padel-shoes-comfort,true,true,3,0,false,false,EXCELLENT,true,5,3,,
best,padel,best-padel-shoes-lightweight,padel-shoes-lightweight,true,true,3,0,false,false,EXCELLENT,true,8,3,,
best,padel,best-padel-shoes-value,padel-shoes-value,true,true,3,0,false,false,EXCELLENT,true,8,3,,
best,padel,best-padel-balls,padel-balls,true,true,5,0,false,false,EXCELLENT,true,22,5,,
best,padel,best-padel-overgrips,padel-overgrips,true,true,3,0,false,false,EXCELLENT,true,10,3,,
best,padel,best-padel-overgrips-sweaty,padel-overgrips-sweaty-hands,true,true,3,0,false,false,EXCELLENT,true,8,3,,
best,padel,best-padel-tacky-overgrips,padel-tacky-overgrips,true,true,3,0,false,false,EXCELLENT,true,7,3,,
best,padel,best-padel-ergonomic-grips,padel-ergonomic-grip-systems,true,true,3,0,false,false,EXCELLENT,true,9,3,,
best,padel,best-padel-bags,padel-bags,true,true,3,0,false,false,EXCELLENT,true,13,3,,
best,padel,best-padel-ball-pressurizers,padel-ball-pressurizers,true,true,2,0,false,false,EXCELLENT,true,6,2,,
best,running,best-running-shoes,running-shoes,true,true,9,0,false,false,GOOD,true,,,,
best,running,best-daily-trainers,daily-trainers,true,true,9,0,false,false,GOOD,true,,,,
best,running,best-running-shoes-long-runs,running-shoes-long-runs,true,true,7,0,false,false,GOOD,true,,,,
best,running,best-max-cushion-running-shoes,max-cushion-running-shoes,true,true,8,0,false,false,GOOD,true,,,,
best,running,best-tempo-running-shoes,tempo-running-shoes,true,true,8,0,false,false,GOOD,true,,,,
best,running,best-race-shoes,race-shoes,true,true,7,0,false,false,GOOD,true,,,,
best,running,best-carbon-plated-running-shoes,carbon-plated-running-shoes,true,true,7,0,false,false,GOOD,true,,,,
best,running,best-marathon-shoes,marathon-shoes,true,true,8,0,false,false,GOOD,true,,,,
best,running,best-stability-running-shoes,stability-running-shoes,true,true,7,0,false,false,GOOD,true,,,,
best,running,best-trail-running-shoes,trail-running-shoes,true,true,6,0,false,false,GOOD,true,,,,
best,running,best-running-shoes-heavy,running-shoes-heavy-runners,true,true,8,0,false,false,GOOD,true,,,,
best,running,best-running-shoes-beginners,running-shoes-beginners,true,true,8,0,false,false,GOOD,true,,,,
best,running,best-running-shoes-wide,running-shoes-wide-feet,true,true,8,0,false,false,GOOD,true,,,,
best,running,best-running-watches,running-watches,true,true,6,0,false,false,GOOD,true,,,,
best,running,best-running-watches-beginners,running-watches-beginners,true,true,5,0,false,false,GOOD,true,,,,
best,running,best-running-watches-marathon,running-watches-marathon,true,true,5,0,false,false,GOOD,true,,,,
best,running,best-running-watches-trail,running-watches-trail,true,true,5,0,false,false,GOOD,true,,,,
best,running,best-running-watches-ultra,running-watches-ultra,true,true,5,0,false,false,GOOD,true,,,,
best,running,best-running-watches-budget,running-watches-budget,true,true,5,0,false,false,GOOD,true,,,,
best,running,best-running-watches-music,running-watches-music,true,true,6,0,false,false,GOOD,true,,,,
buying,padel,guide-choose-padel-racket,how-to-choose-a-padel-racket,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-racket-shapes,padel-racket-shapes-explained,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-round-vs-teardrop-vs-diamond,round-vs-teardrop-vs-diamond-padel-rackets,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-racket-balance,padel-racket-balance-explained,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-racket-weight,padel-racket-weight-explained,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-racket-materials,padel-racket-materials-explained,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-carbon-vs-fiberglass-padel,carbon-vs-fiberglass-padel-rackets,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-racket-cores-eva,padel-racket-cores-eva-foam-explained,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-soft-vs-hard-padel-rackets,soft-vs-hard-padel-rackets,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-racket-sweet-spots,how-padel-racket-sweet-spots-work,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-choose-padel-shoes,how-to-choose-padel-shoes,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-vs-tennis-shoes,padel-vs-tennis-shoes,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-shoe-outsoles,padel-shoe-outsoles-explained,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-how-long-padel-balls-last,how-long-do-padel-balls-last,true,true,9,7,false,false,GOOD,true,,,7,1
buying,padel,guide-choose-padel-balls,how-to-choose-padel-balls,true,true,9,7,false,false,GOOD,true,,,7,1
buying,padel,guide-choose-padel-bag,how-to-choose-a-padel-bag,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-grips,padel-grips-overgrips-explained,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-padel-grip-vs-overgrip,padel-grip-vs-overgrip,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-how-often-replace-padel-overgrip,how-often-should-you-replace-a-padel-overgrip,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-beginner-padel-gear,beginner-padel-gear-guide,true,true,9,7,false,false,EXCELLENT,true,,,7,1
buying,padel,guide-complete-padel-gear-checklist,complete-padel-gear-checklist,true,true,9,7,false,false,EXCELLENT,true,,,7,1
comparison,padel,cmp-vertex05-vs-hack04,bullpadel-vertex-05-vs-hack-04-2026,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-vertex05-vs-at10-12k,bullpadel-vertex-05-vs-nox-at10-12k-2026,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-at10-12k-vs-metalbone,nox-at10-12k-vs-adidas-metalbone-2026,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-nox-babolat,nox-at10-genius-18k-2026-vs-babolat-technical-viper-2026,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-technical-vs-counter-viper,babolat-technical-viper-vs-counter-viper,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-at10-genius-vs-attack,nox-at10-genius-12k-vs-at10-attack-18k-2026,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-vertex05-vs-hybrid,bullpadel-vertex-05-vs-vertex-05-hybrid,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-vertex04-vs-vertex05,bullpadel-vertex-04-vs-vertex-05,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-ml10-vs-indiga,nox-ml10-pro-cup-vs-bullpadel-indiga-ctr,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-coello-vs-technical-viper,head-coello-pro-vs-babolat-technical-viper,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-hack04-vs-metalbone35,bullpadel-hack-04-vs-adidas-metalbone-3-5,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-babolat-wilson,babolat-technical-viper-2026-vs-wilson-bela-pro-v2-2026,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-head-pro-s-vs-pro-plus,head-padel-pro-s-vs-pro-plus,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-wilson-premier-vs-speed,wilson-premier-vs-premier-padel-speed,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-wilson-vs-hac-overgrip,wilson-pro-vs-bullpadel-hac-overgrip,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-at10-team-vs-rh-pro,nox-at10-team-vs-babolat-rh-pro,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-pascal-box-vs-head-x3,bullpadel-pascal-box-vs-head-x3,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-tour-endurance-vs-at10-team,tecnifibre-tour-endurance-vs-nox-at10-team,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-rh-pro-vs-at10-xxl,babolat-rh-pro-vs-nox-at10-xxl,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-kuikma-speed-vs-head-pro-s,kuikma-pb-speed-vs-head-padel-pro-s,true,true,2,0,false,false,GOOD,true,,,,
comparison,padel,cmp-bullpadel-vs-nox-protector,bullpadel-vs-nox-frame-protector,true,true,2,0,false,false,GOOD,true,,,,
