productId,category,tier,depth,editorialState,evidenceBasis,indexableCandidate,hasHero,hasOffer,hasRacketCopy,shortDescriptionLen,verdictLen,buyIfCount,skipIfCount,topicBlockCount,commerceResearch
prod-joma-spin-men,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,87,167,2,2,2,RESEARCHED
prod-head-sprint-pro-4-padel,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,94,167,2,2,2,RESEARCHED
prod-wilson-rush-pro-5-padel,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,102,138,2,2,2,RESEARCHED
prod-siux-diablo-pro,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,88,133,2,2,2,RESEARCHED
prod-siux-comodo-woman,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,74,133,2,2,2,RESEARCHED
prod-starvie-absolute-padel,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,97,133,2,2,2,RESEARCHED
prod-kuikma-ps-990,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,81,167,2,2,2,RESEARCHED
prod-kuikma-ps-560-women,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,84,133,2,2,2,RESEARCHED
prod-oxdog-hyper-court,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,105,133,2,2,2,RESEARCHED
prod-asics-gel-resolution-padel-w,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,92,167,2,2,2,RESEARCHED
prod-asics-solution-swift-padel-w,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,90,167,2,2,2,RESEARCHED
prod-adidas-solecourt-boost-padel,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,94,138,2,2,2,RESEARCHED
prod-head-revolt-court,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,89,138,2,2,2,RESEARCHED
prod-wilson-bela-pro-padel,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,89,133,2,2,2,RESEARCHED
prod-joma-spin-lady,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,94,167,2,2,2,RESEARCHED
prod-bullpadel-hack-hybrid,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,92,167,2,2,2,RESEARCHED
prod-nox-at10-pro-shoe,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,100,167,2,2,2,RESEARCHED
prod-babolat-jet-premura-2-men,shoes,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,98,167,2,2,2,RESEARCHED
prod-tecnifibre-t-fight-padel,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,97,133,2,2,2,RESEARCHED
prod-varlion-bourne-padel-shoe,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,84,133,2,2,2,RESEARCHED
prod-lok-padel-one,shoes,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,100,133,2,2,2,RESEARCHED
prod-nox-at10-attack-18k-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,138,141,2,2,0,RESEARCHED
prod-nox-equation-soft-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,116,121,2,2,0,RESEARCHED
prod-bullpadel-vertex-05-hybrid,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,115,134,2,2,0,RESEARCHED
prod-bullpadel-vertex-05-w,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,124,112,2,2,0,RESEARCHED
prod-bullpadel-hack-04-hybrid,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,123,106,2,2,0,RESEARCHED
prod-bullpadel-hack-04-comfort,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,101,104,2,2,0,RESEARCHED
prod-bullpadel-neuron-02,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,108,92,2,2,0,RESEARCHED
prod-bullpadel-neuron-02-edge,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,125,109,2,2,0,RESEARCHED
prod-bullpadel-xplo,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,129,110,2,2,0,RESEARCHED
prod-bullpadel-xplo-comfort,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,100,90,2,2,0,RESEARCHED
prod-bullpadel-ionic-light,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,117,124,2,2,0,RESEARCHED
prod-bullpadel-indiga-ctr,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,103,116,2,2,0,RESEARCHED
prod-bullpadel-vertex-advance,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,132,88,2,2,0,RESEARCHED
prod-adidas-metalbone-3-5-2026,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,131,145,2,2,0,RESEARCHED
prod-adidas-metalbone-ctrl,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,124,93,2,2,0,RESEARCHED
prod-adidas-metalbone-team-light,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,118,89,2,2,0,RESEARCHED
prod-adidas-cross-it-light,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,130,93,2,2,0,RESEARCHED
prod-adidas-cross-it-ctrl,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,112,107,2,2,0,RESEARCHED
prod-adidas-arrow-hit-ctrl,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,115,108,2,2,0,RESEARCHED
prod-adidas-arrow-hit-attk,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,95,74,2,2,0,RESEARCHED
prod-adidas-match-light,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,127,108,2,2,0,RESEARCHED
prod-head-coello-motion,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,132,90,2,2,0,RESEARCHED
prod-head-coello-team,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,118,94,2,2,0,RESEARCHED
prod-head-gravity-pro,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,113,94,2,2,0,RESEARCHED
prod-head-gravity-motion,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,111,105,2,2,0,RESEARCHED
prod-head-speed-pro,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,140,104,2,2,0,RESEARCHED
prod-head-one-ultralight,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,106,76,2,2,0,RESEARCHED
prod-babolat-air-viper,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,91,103,2,2,0,RESEARCHED
prod-babolat-air-veron,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,93,78,2,2,0,RESEARCHED
prod-siux-electra,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,116,120,2,2,0,RESEARCHED
prod-siux-fenix,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,95,79,2,2,0,RESEARCHED
prod-starvie-astrum,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,118,119,2,2,0,RESEARCHED
prod-nox-at10-attack-12k-2026,rackets,A,deep,EDITORIAL_LIGHT,manufacturer_specs,no,no,no,yes,192,121,2,2,0,RESEARCHED
prod-kuikma-pr-hybrid-carbon,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,111,126,2,2,0,RESEARCHED
prod-kuikma-pr-comfort-soft,rackets,A,deep,EDITORIAL_READY,manufacturer_specs,yes,yes,no,yes,116,166,2,2,0,RESEARCHED
prod-head-padel-pro-plus,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,154,125,2,2,2,RESEARCHED
prod-head-padel-team,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,116,119,2,2,2,RESEARCHED
prod-head-padel-one,balls,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,124,84,2,2,2,RESEARCHED
prod-kuikma-pb-speed,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,117,132,2,2,2,RESEARCHED
prod-kuikma-pb-control,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,127,121,2,2,2,RESEARCHED
prod-kuikma-pb-club,balls,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,127,73,2,2,2,RESEARCHED
prod-wilson-padel-premier,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,134,124,2,2,2,RESEARCHED
prod-wilson-padel-premier-speed,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,152,130,2,2,2,RESEARCHED
prod-bullpadel-premium-pro,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,134,138,2,2,2,RESEARCHED
prod-bullpadel-premium-gold,balls,B,blocked,NOT_PUBLICATION_WORTHY,insufficient,no,no,no,no,92,171,2,2,2,BLOCKED
prod-adidas-aditour-padel,balls,B,blocked,NOT_PUBLICATION_WORTHY,insufficient,no,no,no,no,99,171,2,2,2,BLOCKED
prod-adidas-speed-rx,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,130,124,2,2,2,RESEARCHED
prod-babolat-court-padel-balls,balls,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,111,129,2,2,2,RESEARCHED
prod-dunlop-pro-padel,balls,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,163,88,2,2,2,RESEARCHED
prod-tecnifibre-padel-team,balls,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,yes,no,121,118,2,2,2,RESEARCHED
prod-nox-at10-team-bag,bags,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,137,135,2,2,2,RESEARCHED
prod-babolat-rh-pro-padel,bags,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,119,108,2,2,2,RESEARCHED
prod-bullpadel-vertex-backpack,bags,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,113,102,2,2,2,RESEARCHED
prod-tecnifibre-tour-endurance-backpack,bags,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,109,120,2,2,2,RESEARCHED
prod-babolat-court-backpack,bags,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,140,85,2,2,2,RESEARCHED
prod-adidas-protour-padel,bags,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,122,130,2,2,2,RESEARCHED
prod-head-tour-team-padel,bags,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,104,136,2,2,2,RESEARCHED
prod-head-elite-backpack,bags,A,deep,EDITORIAL_READY,curated_seed,yes,yes,no,no,133,73,2,2,2,RESEARCHED
prod-wilson-super-tour-padel,bags,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,122,129,2,2,2,RESEARCHED
prod-kuikma-paletero,bags,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,120,144,2,2,2,RESEARCHED
prod-nox-pro-series-bag,bags,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,129,136,2,2,2,RESEARCHED
prod-nox-at10-xxl-bag,bags,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,166,116,2,2,2,RESEARCHED
prod-siux-paletero,bags,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,98,142,2,2,2,RESEARCHED
prod-bullpadel-gb1200,grips,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,96,104,2,2,2,RESEARCHED
prod-nox-pro-overgrip,grips,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,110,107,2,2,2,RESEARCHED
prod-head-xtreme-soft,grips,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,126,120,2,2,2,RESEARCHED
prod-babolat-pro-response,grips,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,118,153,2,2,2,RESEARCHED
prod-kuikma-overgrip,grips,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,93,159,2,2,2,RESEARCHED
prod-head-hydrosorb,grips,A,deep,EDITORIAL_READY,curated_seed,yes,yes,no,no,111,156,2,2,2,RESEARCHED
prod-babolat-syntec-pro,grips,A,deep,EDITORIAL_READY,curated_seed,yes,yes,no,no,87,156,2,2,2,RESEARCHED
prod-hesacore-padel,grips,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,134,153,2,2,2,RESEARCHED
prod-adidas-padel-overgrip,grips,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,no,no,69,171,2,2,2,RESEARCHED
prod-bullpadel-frame-protector,accessories,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,112,135,2,2,2,RESEARCHED
prod-nox-frame-protector,accessories,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,115,125,2,2,2,RESEARCHED
prod-bullpadel-pascal-box,accessories,A,deep,EDITORIAL_READY,curated_seed,yes,yes,yes,no,175,164,2,2,2,RESEARCHED
prod-head-x3-pressurizer,accessories,A,deep,EDITORIAL_READY,curated_seed,yes,yes,no,no,159,150,2,2,2,RESEARCHED
prod-bullpadel-custom-weight,accessories,B,substantive,EDITORIAL_READY,curated_seed,yes,yes,yes,no,140,128,2,2,2,RESEARCHED
prod-head-wristband,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,138,83,2,2,2,RESEARCHED
prod-wilson-wristband,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,84,83,2,2,2,RESEARCHED
prod-nox-wristband,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,93,83,2,2,2,RESEARCHED
prod-bullpadel-wristband,accessories,C,light,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,71,83,2,2,2,RESEARCHED
prod-head-smartsorb,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,116,83,2,2,2,RESEARCHED
prod-4on-totalgrip,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,141,83,2,2,2,RESEARCHED
prod-adidas-adidas-protector,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,143,139,2,2,2,RESEARCHED
prod-adidas-adidas-wristband,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,151,83,2,2,2,RESEARCHED
prod-alacran-alacran-basket,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,150,83,2,2,2,RESEARCHED
prod-alacran-wide-ancha,accessories,C,light,EDITORIAL_READY,curated_seed,yes,yes,yes,no,148,83,2,2,2,RESEARCHED
prod-babolat-babolat-protector,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,145,139,2,2,2,RESEARCHED
prod-babolat-babolat-wristband,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,153,83,2,2,2,RESEARCHED
prod-ball-rescuer-ball-rescuer,accessories,A,deep,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,197,157,2,2,2,RESEARCHED
prod-ball-rescuer-premium,accessories,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,192,157,2,2,2,RESEARCHED
prod-black-crown-vibranium-transparent,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,153,139,2,2,2,RESEARCHED
prod-black-crown-black-crown-wristband,accessories,C,light,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,161,83,2,2,2,RESEARCHED
prod-bounce-bounce-padel-x4,accessories,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,199,157,2,2,2,RESEARCHED
prod-bullpadel-bpmu252-bpmu253,accessories,C,light,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,155,83,2,2,2,RESEARCHED
prod-bullpadel-pascal-box-switch-3b,accessories,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,202,157,2,2,2,RESEARCHED
prod-bullpadel-custom-weight-grip,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,148,139,2,2,2,RESEARCHED
prod-bullpadel-frame-protector-uni,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,149,139,2,2,2,RESEARCHED
prod-bullpadel-bullpadel-headband,accessories,C,light,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,156,83,2,2,2,RESEARCHED
prod-bullpadel-metalshield,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,141,139,2,2,2,RESEARCHED
prod-bullpadel-pascal-box-4b,accessories,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,195,157,2,2,2,RESEARCHED
prod-bullpadel-pascal-box-pro,accessories,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,196,157,2,2,2,RESEARCHED
prod-bullpadel-pascal-box-switch,accessories,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,199,157,2,2,2,RESEARCHED
prod-bullpadel-custom-weight-protector,accessories,B,substantive,EDITORIAL_LIGHT,catalog_inference,no,no,yes,no,153,139,2,2,2,RESEARCHED
prod-enebe-enebe-protector-line,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,146,139,2,2,2,RESEARCHED
prod-head-antishock-skin,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,139,139,2,2,2,RESEARCHED
prod-head-head-ball-cart,accessories,C,light,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,147,83,2,2,2,RESEARCHED
prod-head-pick-up-tube,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,145,83,2,2,2,RESEARCHED
prod-head-court-basket-70,accessories,C,light,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,148,83,2,2,2,RESEARCHED
prod-head-ball-basket,accessories,C,light,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,144,83,2,2,2,RESEARCHED
prod-head-protector-tape,accessories,B,substantive,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,139,139,2,2,2,RESEARCHED
prod-head-headband,accessories,C,light,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,141,83,2,2,2,RESEARCHED
prod-head-x100,accessories,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,181,157,2,2,2,RESEARCHED
prod-head-head-logo-wristband,accessories,C,light,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,152,83,2,2,2,RESEARCHED
prod-head-coaching-kit,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,145,83,2,2,2,RESEARCHED
prod-head-dome-cones,accessories,C,light,EDITORIAL_LIGHT,curated_seed,no,yes,no,no,143,83,2,2,2,RESEARCHED
prod-head-performance-headband,accessories,C,light,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,153,83,2,2,2,RESEARCHED
prod-head-head-targets,accessories,C,light,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,145,83,2,2,2,RESEARCHED
prod-head-x3-pump,accessories,A,deep,EDITORIAL_READY,curated_seed,yes,yes,no,no,184,157,2,2,2,RESEARCHED
prod-head-x4-pump,accessories,A,deep,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,184,157,2,2,2,RESEARCHED
prod-nox-nox-pickup-tube,accessories,B,substantive,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,147,83,2,2,2,RESEARCHED
prod-nox-nox-color-pack,accessories,B,substantive,EDITORIAL_LIGHT,curated_seed,yes,yes,no,no,138,139,2,2,2,RESEARCHED
prod-nox-texture-protector,accessories,B,substantive,EDITORIAL_LIGHT,catalog_inference,no,no,no,no,141,139,2,2,2,RESEARCHED
