issue_id,severity,url,path,page_type,issue_class,issue_subclass,rendered_excerpt,image_path,root_cause,status,validation,validation_note
PPL-0018,BLOCKER,http://127.0.0.1:3011/guides/carbon-vs-fiberglass-padel-rackets,/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Carbon vs Fiberglass Padel Rackets | Complete Buying Guide · Kitletics,/images/running/guides/concepts/plate-stiffness-bend.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0019,BLOCKER,http://127.0.0.1:3011/guides/carbon-vs-fiberglass-padel-rackets,/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Carbon vs Fiberglass Padel Rackets | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-factors-system.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0020,BLOCKER,http://127.0.0.1:3011/guides/carbon-vs-fiberglass-padel-rackets,/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Carbon vs Fiberglass Padel Rackets | Complete Buying Guide · Kitletics,/images/running/guides/concepts/plate-flex-vs-stiff.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0021,BLOCKER,http://127.0.0.1:3011/guides/carbon-vs-fiberglass-padel-rackets,/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Carbon vs Fiberglass Padel Rackets | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-tradeoffs-balance.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0022,BLOCKER,http://127.0.0.1:3011/guides/carbon-vs-fiberglass-padel-rackets,/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Carbon vs Fiberglass Padel Rackets | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-decision-checklist.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0023,BLOCKER,http://127.0.0.1:3011/guides/carbon-vs-fiberglass-padel-rackets,/guides/carbon-vs-fiberglass-padel-rackets,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Carbon vs Fiberglass Padel Rackets | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-mistakes-warning.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0024,BLOCKER,http://127.0.0.1:3011/guides/complete-padel-gear-checklist,/guides/complete-padel-gear-checklist,buying-guide,DECISION_COPY,MACHINE_LIKE,Read review → Add to Compare Stability shoes 8.8 Kitletics Score ASICS Gel-Resolution Padel Why it illustrates the category: Stability shoes maps to prod-asics-gel-resolution-padel as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0025,BLOCKER,http://127.0.0.1:3011/guides/complete-padel-gear-checklist,/guides/complete-padel-gear-checklist,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Complete Padel Gear Checklist | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0026,BLOCKER,http://127.0.0.1:3011/guides/how-long-do-padel-balls-last,/guides/how-long-do-padel-balls-last,buying-guide,DECISION_COPY,MACHINE_LIKE,"View product → Add to Compare From € 6,95 Kuikma Speed Kuikma Padel Speed Why it illustrates the category: Kuikma Speed maps to prod-kuikma-pb-speed as a catalog role for this guide — not a universal #1.",,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0027,BLOCKER,http://127.0.0.1:3011/guides/how-long-do-padel-balls-last,/guides/how-long-do-padel-balls-last,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How Long Do Padel Balls Last? | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0028,BLOCKER,http://127.0.0.1:3011/guides/how-often-should-you-replace-a-padel-overgrip,/guides/how-often-should-you-replace-a-padel-overgrip,buying-guide,DECISION_COPY,MACHINE_LIKE,"Read review → Add to Compare From € 9,95 HaC sweat life Bullpadel HaC Why it illustrates the category: HaC sweat life maps to prod-bullpadel-gb1200 as a catalog role for this guide — not a universal #1.",,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0029,BLOCKER,http://127.0.0.1:3011/guides/how-often-should-you-replace-a-padel-overgrip,/guides/how-often-should-you-replace-a-padel-overgrip,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How Often Should You Replace a Padel Overgrip? | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0030,BLOCKER,http://127.0.0.1:3011/guides/how-padel-racket-sweet-spots-work,/guides/how-padel-racket-sweet-spots-work,buying-guide,DECISION_COPY,MACHINE_LIKE,Read review → Add to Compare ML10 control Nox ML10 Pro Cup Why it illustrates the category: ML10 control maps to prod-nox-ml10-pro-cup as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0031,BLOCKER,http://127.0.0.1:3011/guides/how-padel-racket-sweet-spots-work,/guides/how-padel-racket-sweet-spots-work,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How Padel Racket Sweet Spots Work | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0032,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-a-padel-bag,/guides/how-to-choose-a-padel-bag,buying-guide,DECISION_COPY,MACHINE_LIKE,View product → Add to Compare RH Pro tournament Babolat RH Pro Padel Why it illustrates the category: RH Pro tournament maps to prod-babolat-rh-pro-padel as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0033,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-a-padel-bag,/guides/how-to-choose-a-padel-bag,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose a Padel Bag | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0034,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-a-padel-racket,/guides/how-to-choose-a-padel-racket,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose a Padel Racket | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0035,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-a-padel-racket,/guides/how-to-choose-a-padel-racket,buying-guide,TOKEN_LEAK,spec_stamp,How to Choose a Padel Racket | Complete Buying Guide · Kitletics Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gear…,,Visible HTML contains internal or corruption tokens,OPEN,CONFIRMED,
PPL-0036,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-balls,/guides/how-to-choose-padel-balls,buying-guide,DECISION_COPY,MACHINE_LIKE,"View product → Add to Compare From € 6,95 Kuikma Speed Kuikma Padel Speed Why it illustrates the category: Kuikma Speed maps to prod-kuikma-pb-speed as a catalog role for this guide — not a universal #1.",,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0037,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-balls,/guides/how-to-choose-padel-balls,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose Padel Balls | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0038,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-shoes,/guides/how-to-choose-padel-shoes,buying-guide,DECISION_COPY,MACHINE_LIKE,View product → Add to Compare From € 139 Courtquick grip 8.4 Kitletics Score Adidas Padel Courtquick Padel Why it illustrates the category: Courtquick grip maps to prod-adidas-courtstabil as a catalog role for this guide — not a universal …,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0039,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-shoes,/guides/how-to-choose-padel-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose Padel Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/comparing-two-shoes.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0040,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-shoes,/guides/how-to-choose-padel-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose Padel Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/decision-three-steps.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0041,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-shoes,/guides/how-to-choose-padel-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose Padel Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-factors-system.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0042,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-shoes,/guides/how-to-choose-padel-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose Padel Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/mistakes-sticky-notes.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0043,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-shoes,/guides/how-to-choose-padel-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose Padel Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-tradeoffs-balance.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0044,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-shoes,/guides/how-to-choose-padel-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose Padel Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-decision-checklist.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0045,BLOCKER,http://127.0.0.1:3011/guides/how-to-choose-padel-shoes,/guides/how-to-choose-padel-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,How to Choose Padel Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-mistakes-warning.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0046,BLOCKER,http://127.0.0.1:3011/guides/padel-grip-vs-overgrip,/guides/padel-grip-vs-overgrip,buying-guide,DECISION_COPY,MACHINE_LIKE,"Read review → Add to Compare From € 9,95 HaC overgrip Bullpadel HaC Why it illustrates the category: HaC overgrip maps to prod-bullpadel-gb1200 as a catalog role for this guide — not a universal #1.",,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0047,BLOCKER,http://127.0.0.1:3011/guides/padel-grip-vs-overgrip,/guides/padel-grip-vs-overgrip,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Grip vs Overgrip | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0048,BLOCKER,http://127.0.0.1:3011/guides/padel-grips-overgrips-explained,/guides/padel-grips-overgrips-explained,buying-guide,DECISION_COPY,MACHINE_LIKE,"Read review → Add to Compare From € 9,95 HaC absorption Bullpadel HaC Why it illustrates the category: HaC absorption maps to prod-bullpadel-gb1200 as a catalog role for this guide — not a universal #1.",,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0049,BLOCKER,http://127.0.0.1:3011/guides/padel-grips-overgrips-explained,/guides/padel-grips-overgrips-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Grips & Overgrips Explained | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0050,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-balance-explained,/guides/padel-racket-balance-explained,buying-guide,DECISION_COPY,MACHINE_LIKE,Read review → Add to Compare Motion handling Head Extreme Motion Why it illustrates the category: Motion handling maps to prod-head-extreme-motion-2026 as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0051,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-balance-explained,/guides/padel-racket-balance-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Racket Balance Explained | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0052,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-cores-eva-foam-explained,/guides/padel-racket-cores-eva-foam-explained,buying-guide,DECISION_COPY,MACHINE_LIKE,View product → Add to Compare Comfort Soft Kuikma PR Comfort Soft Why it illustrates the category: Comfort Soft maps to prod-kuikma-pr-comfort-soft as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0053,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-cores-eva-foam-explained,/guides/padel-racket-cores-eva-foam-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Racket Cores / EVA Foam Explained | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0054,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-materials-explained,/guides/padel-racket-materials-explained,buying-guide,DECISION_COPY,MACHINE_LIKE,Read review → Add to Compare Hack Comfort hybrid Bullpadel Hack 04 Comfort Why it illustrates the category: Hack Comfort hybrid maps to prod-bullpadel-hack-04-comfort as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0055,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-materials-explained,/guides/padel-racket-materials-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Racket Materials Explained | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0056,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-shapes-explained,/guides/padel-racket-shapes-explained,buying-guide,DECISION_COPY,MACHINE_LIKE,Read review → Add to Compare Hybrid all-court Bullpadel Vertex 05 Hybrid Why it illustrates the category: Hybrid all-court maps to prod-bullpadel-vertex-05-hybrid as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0057,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-shapes-explained,/guides/padel-racket-shapes-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Racket Shapes Explained | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0058,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-shapes-explained,/guides/padel-racket-shapes-explained,buying-guide,TOKEN_LEAK,spec_stamp,Padel Racket Shapes Explained | Complete Buying Guide · Kitletics Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K Running All gea…,,Visible HTML contains internal or corruption tokens,OPEN,CONFIRMED,
PPL-0059,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-weight-explained,/guides/padel-racket-weight-explained,buying-guide,DECISION_COPY,MACHINE_LIKE,View product → Add to Compare Extreme Motion Head Extreme Motion Why it illustrates the category: Extreme Motion maps to prod-head-extreme-motion-2026 as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0060,BLOCKER,http://127.0.0.1:3011/guides/padel-racket-weight-explained,/guides/padel-racket-weight-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Racket Weight Explained | Complete Buying Guide · Kitletics,/images/running/accessories/flipbelt-classic-hero.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0061,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,DECISION_COPY,MACHINE_LIKE,"Read review → Add to Compare From € 89,95 Resolution 8.8 Kitletics Score ASICS Gel-Resolution Padel Why it illustrates the category: Resolution maps to prod-asics-gel-resolution-padel as a catalog role for this guide — not a universal #1.",,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0062,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Shoe Outsoles Explained | Complete Buying Guide · Kitletics,/images/running/guides/road-shoe-outsole-compare.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0063,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Shoe Outsoles Explained | Complete Buying Guide · Kitletics,/images/running/guides/trail-shoe-outsole-compare.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0064,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Shoe Outsoles Explained | Complete Buying Guide · Kitletics,/images/running/guides/concepts/trail-lugs-macro.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0065,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Shoe Outsoles Explained | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-factors-system.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0066,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Shoe Outsoles Explained | Complete Buying Guide · Kitletics,/images/running/guides/concepts/road-outsole-macro.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0067,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Shoe Outsoles Explained | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-tradeoffs-balance.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0068,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Shoe Outsoles Explained | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-decision-checklist.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0069,BLOCKER,http://127.0.0.1:3011/guides/padel-shoe-outsoles-explained,/guides/padel-shoe-outsoles-explained,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel Shoe Outsoles Explained | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-mistakes-warning.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0070,BLOCKER,http://127.0.0.1:3011/guides/padel-vs-tennis-shoes,/guides/padel-vs-tennis-shoes,buying-guide,DECISION_COPY,MACHINE_LIKE,View product → Add to Compare From € 139 Revolt crossover 8.3 Kitletics Score Head Revolt Pro Court Why it illustrates the category: Revolt crossover maps to prod-head-revolt-pro-court as a catalog role for this guide — not a universal #1.,,Rendered decision line classified MACHINE_LIKE,OPEN,CONFIRMED,
PPL-0071,BLOCKER,http://127.0.0.1:3011/guides/padel-vs-tennis-shoes,/guides/padel-vs-tennis-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel vs Tennis Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/comparing-two-shoes.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0072,BLOCKER,http://127.0.0.1:3011/guides/padel-vs-tennis-shoes,/guides/padel-vs-tennis-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel vs Tennis Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/decision-three-steps.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0073,BLOCKER,http://127.0.0.1:3011/guides/padel-vs-tennis-shoes,/guides/padel-vs-tennis-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel vs Tennis Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/drop-factors-system.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
PPL-0074,BLOCKER,http://127.0.0.1:3011/guides/padel-vs-tennis-shoes,/guides/padel-vs-tennis-shoes,buying-guide,IMAGE_WRONG_SPORT,running_image_path,Padel vs Tennis Shoes | Complete Buying Guide · Kitletics,/images/running/guides/concepts/mistakes-sticky-notes.jpg,Padel page renders a tennis/running/filler image,OPEN,CONFIRMED,
