reviewSlug,productSlug,sectionId,sectionHeading,concept,mediaRole,assetSrc,source,productSpecific,uniqueOnPage,fallback,heroReuseRisk
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-overview,"Verdict",Verdict,gallery-angle,/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-angle.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-construction,"Construction",Construction,gallery-angle,/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-profile.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-shape,"Shape and balance",Shape and balance,gallery-angle,/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-throat.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-power,"Power",Power,gallery-angle,/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-head.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-control,"Control",Control,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-sweetspot,"Sweet spot / forgiveness",Sweet spot / forgiveness,gallery-angle,/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-texture.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-maneuverability,"Maneuverability",Maneuverability,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-comfort,"Comfort",Comfort,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-spin,"Spin",Spin,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-defense,"Defensive play",Defensive play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-net,"Net play",Net play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-attack,"Smashes / attacking play",Smashes / attacking play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-serve,"Serve / return",Serve / return,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-strengths,"Strengths",Strengths,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-verified-specs,"Specifications",Specifications,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-value,"Value",Value,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-methodology,"Methodology",Methodology,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,sec-sources,"Sources",Sources,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-vertex-05-hybrid-2026,bullpadel-vertex-05-hybrid-2026,_summary_,,"gallery=5;uniqueSectionImgs=5;heroReuse=0",,,,,,ok
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-overview,"Verdict",Verdict,gallery-angle,/images/padel/products/bullpadel-indiga-ctr/gallery/bullpadel-indiga-ctr-angle.jpg,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-construction,"Construction",Construction,gallery-angle,/images/padel/products/bullpadel-indiga-ctr/gallery/bullpadel-indiga-ctr-profile.jpg,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-shape,"Shape and balance",Shape and balance,gallery-angle,/images/padel/products/bullpadel-indiga-ctr/gallery/bullpadel-indiga-ctr-throat.jpg,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-power,"Power",Power,gallery-angle,/images/padel/products/bullpadel-indiga-ctr/gallery/bullpadel-indiga-ctr-side.jpg,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-control,"Control",Control,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-sweetspot,"Sweet spot / forgiveness",Sweet spot / forgiveness,gallery-angle,/images/padel/products/bullpadel-indiga-ctr/gallery/bullpadel-indiga-ctr-detail.jpg,PRODUCT_GALLERY_MEDIA,yes,yes,,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-maneuverability,"Maneuverability",Maneuverability,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-comfort,"Comfort",Comfort,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-spin,"Spin",Spin,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-defense,"Defensive play",Defensive play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-net,"Net play",Net play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-attack,"Smashes / attacking play",Smashes / attacking play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-serve,"Serve / return",Serve / return,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-strengths,"Strengths",Strengths,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-verified-specs,"Specifications",Specifications,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-value,"Value",Value,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-methodology,"Methodology",Methodology,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,sec-sources,"Sources",Sources,none,,none,no,no,OMIT_BETTER_THAN_HERO,
bullpadel-indiga-ctr-2026,bullpadel-indiga-ctr-2026,_summary_,,"gallery=5;uniqueSectionImgs=5;heroReuse=0",,,,,,ok
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-overview,"Verdict",Verdict,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-construction,"Construction",Construction,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-shape,"Shape and balance",Shape and balance,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-power,"Power",Power,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-control,"Control",Control,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-sweetspot,"Sweet spot / forgiveness",Sweet spot / forgiveness,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-maneuverability,"Maneuverability",Maneuverability,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-comfort,"Comfort",Comfort,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-spin,"Spin",Spin,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-defense,"Defensive play",Defensive play,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-net,"Net play",Net play,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-attack,"Smashes / attacking play",Smashes / attacking play,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-serve,"Serve / return",Serve / return,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-strengths,"Strengths",Strengths,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-verified-specs,"Specifications",Specifications,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-value,"Value",Value,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-methodology,"Methodology",Methodology,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,sec-sources,"Sources",Sources,none,,none,no,no,SOURCE_LIMITED,
nox-at10-genius-18k-2026,nox-at10-genius-18k-2026,_summary_,,"gallery=0;uniqueSectionImgs=0;heroReuse=0",,,,,,ok
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-overview,"Verdict",Verdict,gallery-angle,/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-angle.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-construction,"Construction",Construction,gallery-angle,/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-profile.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-shape,"Shape and balance",Shape and balance,gallery-angle,/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-throat.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-power,"Power",Power,gallery-angle,/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-head.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-control,"Control",Control,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-sweetspot,"Sweet spot / forgiveness",Sweet spot / forgiveness,gallery-angle,/images/padel/products/nox-at10-12k/gallery/nox-at10-12k-texture.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-maneuverability,"Maneuverability",Maneuverability,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-comfort,"Comfort",Comfort,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-spin,"Spin",Spin,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-defense,"Defensive play",Defensive play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-net,"Net play",Net play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-attack,"Smashes / attacking play",Smashes / attacking play,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-serve,"Serve / return",Serve / return,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-strengths,"Strengths",Strengths,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-verified-specs,"Specifications",Specifications,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-value,"Value",Value,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-methodology,"Methodology",Methodology,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,sec-sources,"Sources",Sources,none,,none,no,no,OMIT_BETTER_THAN_HERO,
nox-at10-genius-12k-alum-xtrem-2026,nox-at10-genius-12k-alum-xtrem-2026,_summary_,,"gallery=5;uniqueSectionImgs=5;heroReuse=0",,,,,,ok
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-overview,"Verdict",Verdict,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-construction,"Construction",Construction,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-shape,"Shape and balance",Shape and balance,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-power,"Power",Power,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-control,"Control",Control,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-sweetspot,"Sweet spot / forgiveness",Sweet spot / forgiveness,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-maneuverability,"Maneuverability",Maneuverability,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-comfort,"Comfort",Comfort,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-spin,"Spin",Spin,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-defense,"Defensive play",Defensive play,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-net,"Net play",Net play,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-attack,"Smashes / attacking play",Smashes / attacking play,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-serve,"Serve / return",Serve / return,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-strengths,"Strengths",Strengths,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-verified-specs,"Specifications",Specifications,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-value,"Value",Value,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-methodology,"Methodology",Methodology,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,sec-sources,"Sources",Sources,none,,none,no,no,SOURCE_LIMITED,
nox-ml10-pro-cup,nox-ml10-pro-cup,_summary_,,"gallery=0;uniqueSectionImgs=0;heroReuse=0",,,,,,ok
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-overview,"Verdict",Verdict,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-construction,"Construction",Construction,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-shape,"Shape and balance",Shape and balance,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-power,"Power",Power,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-control,"Control",Control,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-sweetspot,"Sweet spot / forgiveness",Sweet spot / forgiveness,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-maneuverability,"Maneuverability",Maneuverability,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-comfort,"Comfort",Comfort,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-spin,"Spin",Spin,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-defense,"Defensive play",Defensive play,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-net,"Net play",Net play,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-attack,"Smashes / attacking play",Smashes / attacking play,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-serve,"Serve / return",Serve / return,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-strengths,"Strengths",Strengths,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-verified-specs,"Specifications",Specifications,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-value,"Value",Value,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-methodology,"Methodology",Methodology,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,sec-sources,"Sources",Sources,none,,none,no,no,SOURCE_LIMITED,
adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,_summary_,,"gallery=0;uniqueSectionImgs=0;heroReuse=0",,,,,,ok
head-coello-pro-2026,head-coello-pro-2026,sec-overview,"Verdict",Verdict,gallery-angle,/images/padel/products/head-coello-pro/gallery/head-coello-pro-angle.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
head-coello-pro-2026,head-coello-pro-2026,sec-construction,"Construction",Construction,gallery-angle,/images/padel/products/head-coello-pro/gallery/head-coello-pro-profile.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
head-coello-pro-2026,head-coello-pro-2026,sec-shape,"Shape and balance",Shape and balance,gallery-angle,/images/padel/products/head-coello-pro/gallery/head-coello-pro-throat.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
head-coello-pro-2026,head-coello-pro-2026,sec-power,"Power",Power,gallery-angle,/images/padel/products/head-coello-pro/gallery/head-coello-pro-head.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
head-coello-pro-2026,head-coello-pro-2026,sec-control,"Control",Control,none,,none,no,no,OMIT_BETTER_THAN_HERO,
head-coello-pro-2026,head-coello-pro-2026,sec-sweetspot,"Sweet spot / forgiveness",Sweet spot / forgiveness,gallery-angle,/images/padel/products/head-coello-pro/gallery/head-coello-pro-texture.webp,PRODUCT_GALLERY_MEDIA,yes,yes,,
head-coello-pro-2026,head-coello-pro-2026,sec-maneuverability,"Maneuverability",Maneuverability,none,,none,no,no,OMIT_BETTER_THAN_HERO,
head-coello-pro-2026,head-coello-pro-2026,sec-comfort,"Comfort",Comfort,none,,none,no,no,OMIT_BETTER_THAN_HERO,
head-coello-pro-2026,head-coello-pro-2026,sec-spin,"Spin",Spin,none,,none,no,no,OMIT_BETTER_THAN_HERO,
