product_id,slug,path,surface,gallery_before,gallery_after,unique_before,unique_after,roles_added,source_urls,status,evidence
prod-adidas-metalbone-ctrl,adidas-metalbone-ctrl-2026,/products/adidas-metalbone-ctrl-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-asics-game-ff-padel,asics-game-ff-padel,/products/asics-game-ff-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-asics-gel-challenger-court,asics-gel-challenger-court,/products/asics-gel-challenger-court,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-asics-gel-dedicate-8-padel,asics-gel-dedicate-8-padel,/products/asics-gel-dedicate-8-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-asics-gel-resolution-padel,asics-gel-resolution-padel,/products/asics-gel-resolution-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-asics-gel-resolution-padel-w,asics-gel-resolution-padel-women,/products/asics-gel-resolution-padel-women,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-asics-solution-swift-padel-w,asics-solution-swift-ff-padel-women,/products/asics-solution-swift-ff-padel-women,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-asics-solution-swift-ff2-padel,asics-solution-swift-ff2-padel,/products/asics-solution-swift-ff2-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-babolat-jet-premura,babolat-jet-premura,/products/babolat-jet-premura,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-babolat-jet-premura-2-men,babolat-jet-premura-2,/products/babolat-jet-premura-2,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-babolat-movea-2,babolat-movea-2,/products/babolat-movea-2,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-babolat-sensa-women,babolat-sensa-women,/products/babolat-sensa-women,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-hack-03,bullpadel-hack-03,/products/bullpadel-hack-03,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-hack-04-comfort,bullpadel-hack-04-comfort-2026,/products/bullpadel-hack-04-comfort-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-hack-04-hybrid,bullpadel-hack-04-hybrid-2026,/products/bullpadel-hack-04-hybrid-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-hybrid-fly,bullpadel-hybrid-fly,/products/bullpadel-hybrid-fly,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-ionic-woman,bullpadel-ionic-woman,/products/bullpadel-ionic-woman,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-neuron-02-edge,bullpadel-neuron-02-edge-2026,/products/bullpadel-neuron-02-edge-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-vertex-05-w,bullpadel-vertex-05-w-2026,/products/bullpadel-vertex-05-w-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-vertex-w,bullpadel-vertex-w,/products/bullpadel-vertex-w,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-bullpadel-xplo,bullpadel-xplo-2026,/products/bullpadel-xplo-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-head-coello-team,head-coello-team-2026,/products/head-coello-team-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-head-extreme-motion-2026,head-extreme-motion,/products/head-extreme-motion,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-head-extreme-pro-padel,head-extreme-pro-padel,/products/head-extreme-pro-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-head-revolt-pro-court,head-revolt-pro-court,/products/head-revolt-pro-court,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-head-sprint-pro-4-padel,head-sprint-pro-4-padel,/products/head-sprint-pro-4-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-joma-slam-lady,joma-slam-lady,/products/joma-slam-lady,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-joma-spin-lady,joma-spin-lady,/products/joma-spin-lady,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-joma-spin-men,joma-spin-men,/products/joma-spin-men,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-kuikma-pb-speed,kuikma-pb-speed,/products/kuikma-pb-speed,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-kuikma-pr-hybrid-carbon,kuikma-pr-hybrid-carbon,/products/kuikma-pr-hybrid-carbon,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-kuikma-ps-990,kuikma-ps-990,/products/kuikma-ps-990,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-lok-maxx-flow,lok-maxx-flow,/products/lok-maxx-flow,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,/products/nox-at10-genius-18k-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-nox-at10-attack-18k-2026,nox-at10-genius-attack-18k-2026,/products/nox-at10-genius-attack-18k-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-nox-at10-lux,nox-at10-lux,/products/nox-at10-lux,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-nox-equation-soft-2026,nox-equation-soft-advanced-2026,/products/nox-equation-soft-advanced-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-nox-ml10-hexa,nox-ml10-hexa,/products/nox-ml10-hexa,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-nox-ml10-pro-cup,nox-ml10-pro-cup,/products/nox-ml10-pro-cup,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-oxdog-sense-pro-2026,oxdog-sense-pro,/products/oxdog-sense-pro,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-royal-padel-rp-m27-2026,royal-padel-m27-poly-2026,/products/royal-padel-m27-poly-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-siux-diablo,siux-diablo-pro-2026,/products/siux-diablo-pro-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-starvie-astrum,starvie-astrum-plus-2026,/products/starvie-astrum-plus-2026,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-starvie-basalto-osiris,starvie-basalto-osiris,/products/starvie-basalto-osiris,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-starvie-titania-kepler,starvie-titania-kepler,/products/starvie-titania-kepler,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-tecnifibre-tour-endurance-backpack,tecnifibre-tour-endurance-padel-backpack,/products/tecnifibre-tour-endurance-padel-backpack,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-tecnifibre-wall-breaker-365-2026,tecnifibre-wall-breaker-365,/products/tecnifibre-wall-breaker-365,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-varlion-lw-carbon-difusor,varlion-lw-carbon-difusor,/products/varlion-lw-carbon-difusor,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-wilson-blade-pro-padel,wilson-blade-pro-v3-padel,/products/wilson-blade-pro-v3-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-wilson-rush-pro-5-padel,wilson-rush-pro-5-padel,/products/wilson-rush-pro-5-padel,pdp,0,0,1,1,,,TAIL_QUEUE,INDEXABLE PDP with PRODUCT_GALLERY_MEDIA length 0 after residual priority pass; deferred (do not invent AI art).
prod-adidas-courtstabil,adidas-courtstabil-padel,/reviews/adidas-courtstabil-padel,review,0,0,,1,,https://www.zonadepadel.es/adidas-padel/11668-zapatillas-adidas-courtquick-padel-m-ftwr-white-core-black-2025.html,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://www.zonadepadel.es/adidas-padel/11668-zapatillas-adidas-courtquick-padel-m-ftwr-white-core-black-2025.html. Deferred to TAIL_QUEUE.
prod-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,/reviews/adidas-crazyquick-boost-padel,review,0,0,,1,,https://www.zonadepadel.es/32948-large_default/zapatillas-adidas-crazyquick-boost-padel-m-core-black-2026.jpg,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://www.zonadepadel.es/32948-large_default/zapatillas-adidas-crazyquick-boost-padel-m-core-black-2026.jpg. Deferred to TAIL_QUEUE.
prod-adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,/reviews/adidas-metalbone-3-5-2026,review,0,0,,1,,https://allforpadel.com/en/padel-rackets/7521-padel-racket-adidas-metalbone-2026-ale-galan-8435739405802.html,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://allforpadel.com/en/padel-rackets/7521-padel-racket-adidas-metalbone-2026-ale-galan-8435739405802.html. Deferred to TAIL_QUEUE.
prod-babolat-jet-premura,babolat-jet-premura,/reviews/babolat-jet-premura,review,0,0,,1,,https://www.zonadepadel.es/babolat/15856-zapatillas-babolat-jet-premura-2-men-cream-orange-2026.html,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://www.zonadepadel.es/babolat/15856-zapatillas-babolat-jet-premura-2-men-cream-orange-2026.html. Deferred to TAIL_QUEUE.
prod-bullpadel-hack-04,bullpadel-hack-04-2026,/reviews/bullpadel-hack-04-2026,review,,5,,6,,,REVIEW_OK_GALLERY_GE2,PRODUCT_GALLERY_MEDIA=5
prod-bullpadel-indiga-ctr,bullpadel-indiga-ctr-2026,/reviews/bullpadel-indiga-ctr-2026,review,,5,,6,,,REVIEW_OK_GALLERY_GE2,PRODUCT_GALLERY_MEDIA=5
prod-bullpadel-vertex-05,bullpadel-vertex-05-2026,/reviews/bullpadel-vertex-05-2026,review,,5,,6,,,REVIEW_OK_GALLERY_GE2,PRODUCT_GALLERY_MEDIA=5
prod-head-coello-pro,head-coello-pro-2026,/reviews/head-coello-pro-2026,review,,5,,6,,,REVIEW_OK_GALLERY_GE2,PRODUCT_GALLERY_MEDIA=5
prod-head-gravity-pro,head-gravity-pro,/reviews/head-gravity-pro,review,0,0,,1,,https://www.padelreference.com/en/padel-rackets/p/head-gravity-pro-2024,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://www.padelreference.com/en/padel-rackets/p/head-gravity-pro-2024. Deferred to TAIL_QUEUE.
prod-head-sprint-pro-4-padel,head-sprint-pro-4-padel,/reviews/head-sprint-pro-4-padel,review,0,0,,1,,https://www.zonadepadel.es/29491-large_default/zapatillas-head-sprint-pro-40-padel-men-white-dark-grey-2026.jpg,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://www.zonadepadel.es/29491-large_default/zapatillas-head-sprint-pro-40-padel-men-white-dark-grey-2026.jpg. Deferred to TAIL_QUEUE.
prod-joma-t-slam,joma-t-slam,/reviews/joma-t-slam,review,0,2,1,3,,,REVIEW_OK_GALLERY_GE2,PRODUCT_GALLERY_MEDIA=2; ENRICHED this pass Zona white/royal
prod-kuikma-pr-comfort-soft,kuikma-pr-comfort-soft,/reviews/kuikma-pr-comfort-soft,review,0,5,1,6,,,REVIEW_OK_GALLERY_GE2,PRODUCT_GALLERY_MEDIA=5; ENRICHED this pass Decathlon SA coral
prod-kuikma-ps-990,kuikma-ps-990,/reviews/kuikma-ps-990,review,0,0,,1,,https://www.decathlon.com.au/,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://www.decathlon.com.au/. Deferred to TAIL_QUEUE.
prod-nox-at10-12k-2026,nox-at10-genius-12k-alum-xtrem-2026,/reviews/nox-at10-genius-12k-alum-xtrem-2026,review,,5,,6,,,REVIEW_OK_GALLERY_GE2,PRODUCT_GALLERY_MEDIA=5
prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,/reviews/nox-at10-genius-18k-2026,review,0,0,,1,,https://noxsport.com/en/products/pala-at10-genius-18k-alum-2026-by-agustin-tapia,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://noxsport.com/en/products/pala-at10-genius-18k-alum-2026-by-agustin-tapia. Deferred to TAIL_QUEUE.
prod-nox-at10-lux,nox-at10-lux,/reviews/nox-at10-lux,review,0,0,,1,,https://www.zonadepadel.es/29706-large_default/zapatillas-nox-at10-lux-dark-slate-allure-2026.jpg,MEDIA_SOURCE_LIMITED,Hero-only INDEXABLE reviewed SKU. Authentic multi-angle not added this residual pass (no AI art). Hero source: https://www.zonadepadel.es/29706-large_default/zapatillas-nox-at10-lux-dark-slate-allure-2026.jpg. Deferred to TAIL_QUEUE.
prod-wilson-overgrip,wilson-padel-overgrip-pack,/reviews/wilson-padel-overgrip-pack,review,,1,,2,,,REVIEW_OK_UNIQUE_GE2,gallery=1 + hero => 2 authentic photos; PRODUCT_GALLERY_MEDIA=1
