category,subcategory,brand,product,model,generation,gender,variant,manufacturer_url,manufacturer_status,retailer_urls,NL_available,EU_available,current_status,existing_in_kitletics,kitletics_product_id,evidence,research_status,discovery_action,exclude_reason
grips,overgrip,Sane,Feel+ Overgrip,Feel+,current,unisex,smooth or perforated; 12/45 packs — collapse packs/finish as variants if same family,https://padelsane.com,current_retail,https://www.sanestore.it/51-accessori-padel,likely,yes,CURRENT,no,,Sane Feel+ overgrip line (IT/EU retail).,verified,ADD,
bags,PADEL_RACKET_BAG,Sane,Pro Elegance Bag,Pro Elegance,current,unisex,beige and colorways,https://padelsane.com,current_retail,https://www.sanestore.it/51-accessori-padel,likely,yes,CURRENT,no,,Current Sane tournament/duffel-class bag.,verified,ADD,
bags,PADEL_RACKET_BAG,Sane,Pro Sport Bag,Pro Sport,current,unisex,white,https://padelsane.com,current_retail,https://www.sanestore.it/51-accessori-padel,likely,yes,CURRENT,no,,Sport sibling to Pro Elegance.,verified,ADD,
bags,BACKPACK,Sane,Everyday Backpack,Everyday,current,unisex,green/beige/ruby colorways,https://padelsane.com,current_retail,https://www.sanestore.it/51-accessori-padel|https://padelsane.com/en/collections/ofertas,likely,yes,CURRENT,no,,Everyday backpack; Glossmate outlet may be previous — prefer Everyday as current.,verified,ADD,
bags,PADEL_RACKET_BAG,Volt,Volt Padel Bag,Volt Padelbag,current,unisex,~50 L; black; thermo + shoe,https://www.voltpadel.com,current_retail,https://padelshop.com/products/volt-padel-bag-black,yes,yes,CURRENT,no,,NL PadelShop stocks Volt bag; manufacturer shop focuses on rackets/apparel but bag is EU-commercially meaningful.,verified,ADD,
grips,overgrip,Volt,Premium Overgrip,Volt Premium,current,unisex,white 3-pack class,https://www.voltpadel.com,current_retail,https://padelpop.lt/produktas/volt-premium-padelio-overgripai/,likely,likely,CURRENT,no,,Retail-listed Volt overgrip; thinner NL shelf presence than balls/bag — keep if EU specialists stock.,probable,ADD_IF_NL_EU,
bags,PADEL_RACKET_BAG,Osaka,Sports Padel Bag,Sports Padel Bag,current,unisex,colorways incl. Transformative Teal,https://osakaworld.com/pages/osaka-padel,current,https://osakaworld.com/pages/osaka-padel,yes,yes,CURRENT,no,,Official Osaka padel bag; balls already inventoried as needs_verify.,verified,ADD,
bags,BACKPACK,Osaka,Sports Backpack,Sports Backpack,current,unisex,Electric Fuchsia / Iconic Black etc.,https://osakaworld.com/pages/osaka-padel,current,https://osakaworld.com/pages/osaka-padel,yes,yes,CURRENT,no,,Official Osaka sports backpack used as padel carry.,verified,ADD,
bags,DUFFEL,Osaka,Pro Tour Duffel Bag,Pro Tour Duffel,current,unisex,Navy Peony,https://osakaworld.com,current,https://osakaworld.com/collections/padel,likely,yes,CURRENT,no,,Pro Tour collection duffel — confirm padel-facing vs multi-sport before publish.,probable,ADD_IF_DISTINCT,
grips,overgrip,Osaka,Osaka Overgrip,Osaka Overgrip,current,unisex,white/black,https://osakaworld.com/pages/osaka-padel,current,https://osakaworld.com/pages/osaka-padel,yes,yes,CURRENT,no,,Official Osaka overgrip on padel essentials.,verified,ADD,
grips,overgrip,Royal Padel,Royal Padel Overgrip,Royal Overgrip,current,unisex,black/white; reel-60 and Cube packs,https://royalpadel.com/en/product/bobina-overgrips-royal-padel-60/,current,https://royalpadel.com/en/product/bobina-overgrips-royal-padel-60/,yes,yes,CURRENT,no,,Only Force bag inventoried; overgrip reel is current manufacturer soft-goods.,verified,ADD,
bags,PADEL_RACKET_BAG,Royal Padel,One / Pro Bag (non-Force),One / Pro Bag,current,unisex,verify distinct SKUs vs Force 2026,https://royalpadel.com,current_retail,https://www.zonadepadel.com/,likely,yes,CURRENT,no,,Buyer guides mention One/Pro bags alongside Force — confirm live distinct SKUs before ADD.,needs_verify,NEEDS_VERIFY,May duplicate Force colorways or prior generation
bags,PADEL_RACKET_BAG,RS,Pro Padel Bag,Pro Padel Bag,current,unisex,dark/white contrast colorways,https://rs-sports.com/en-us/collections/padel,current,https://www.padelnuestro.com/int/padel-bags/rs-padel|https://rs-sports.com/en-us/collections/padel,likely,yes,CURRENT,no,,RS manufacturer padel bag line; balls already inventoried (Nova X / Champions Choice).,verified,ADD,
grips,overgrip,RS,Pro Tour Overgrip,Pro Tour Overgrip,current,unisex,3-pack,https://rs-sports.com/en-us/collections/padel,current,https://rs-sports.com/en-us/collections/padel|https://www.padelnuestro.com/int/padel-accessories/rs-padel,likely,yes,CURRENT,no,,RS Pro Tour 3-pack overgrip on manufacturer padel collection.,verified,ADD,
accessories,pressurizer,Pascal Box,Pascal Box PRO XL,PRO XL,current,unisex,club trolley >PRO capacity,https://pascalbox.com/categoria-producto/presurizadores/,current,https://www.padelmq.com/en-eu/products/pascal-box-pro,yes,yes,CURRENT,no,,Manufacturer lists PRO XL (€1429) distinct from PRO (€949). Inventory has PRO but not PRO XL.,verified,ADD,
accessories,pressurizer,Pascal Box,Pascal Box 3B (OEM brand),3B,current,unisex,manual 3-ball + manometer,https://pascalbox.com/,current,https://pascalbox.com/categoria-producto/presurizadores/|https://www.padelmq.com/en-nl/products/pascal-box-3b,yes,yes,CURRENT,no,,Manufacturer-branded 3B already mirrored under Bullpadel rows — prefer single Pascal Box brand identity; do not double-count catalog SKUs.,verified,DEDUP_BRAND,Already present as Bullpadel Pascal Box 3B — merge brand attribution not new product
accessories,pressurizer,Pascal Box,Pascal Box 4B (OEM brand),4B,current,unisex,manual 4-ball,https://pascalbox.com/,current,https://pascalbox.com/categoria-producto/presurizadores/,yes,yes,CURRENT,no,,Same as Bullpadel Pascal Box 4B row — brand attribution cleanup.,verified,DEDUP_BRAND,Already inventoried under Bullpadel
accessories,pressurizer,Pascal Box,Pascal Box SWITCH (OEM brand),SWITCH,current,unisex,electric USB-C compressor 3-ball,https://pascalbox.com/,current,https://www.padelmq.com/en-nl/products/pascal-box-switch-automatische-drukregelaar|https://www.bullpadel.com/gb/6427-pascal-box-switch.html,yes,yes,CURRENT,no,,Same SWITCH already inventoried; Bullpadel is distributor branding.,verified,DEDUP_BRAND,Already inventoried
accessories,other,Pascal Box,Compressor NUAIR / SALKI,External compressor,current,unisex,NUAIR rápido / SALKI garage dual for PRO systems,https://pascalbox.com/categoria-producto/presurizadores/,current,https://pascalbox.com/categoria-producto/presurizadores/,likely,yes,CURRENT,no,,Sold with PRO systems; commercially secondary — catalog only if treating club pressurizer ecosystem as in-scope.,probable,EXCLUDE_OR_OPTIONAL,Spare/compressor accessory not a primary player pressurizer SKU
accessories,pressurizer,Bounce,Bounce Tube Padel FilterTech,FilterTech Padel,current,unisex,integrated pump; 4-ball; ~24 PSI; ≥3 weeks airtight,https://bouncesports.co/products/bounce-tube-filtertech-padel,current,https://bouncesports.co/products/bounce-tube-filtertech-padel|https://www.tennispro.nl/bal-pressurizer-stuiter-padel-x4-840175.html,yes,yes,CURRENT,no,,FilterTech is current gen upgrade vs original Bounce Tube Padel X4 already inventoried — treat as generation successor or distinct if both sold.,verified,ADD_OR_UPGRADE,Prefer replace/upgrade existing Bounce Padel X4 if FilterTech supersedes; else ADD as current gen
accessories,maintenance,4ON,TotalGrip Paste,TotalGrip Paste,current,unisex,50 ml paste,https://www.4on.store/products/totalgrip/4on-totalgrip-paste,current,https://www.4on.store/products/totalgrip,yes,yes,CURRENT,no,,Distinct format from TotalGrip Spray already inventoried.,verified,ADD,
accessories,maintenance,4ON,TotalDry Spray,TotalDry,current,unisex,50 ml antiperspirant spray,https://www.4on.store/products,current,https://www.4on.store/products,yes,yes,CURRENT,no,,Sweat-control sibling to TotalGrip; commercially meaningful for humid NL halls.,verified,ADD,
grips,other,4ON,SwiftGrip,SwiftGrip,current,unisex,handgrip accessory,https://www.4on.store/products,current,https://www.4on.store/products,likely,yes,CURRENT,no,,Manufacturer current SKU; confirm product job (enhancer vs grip) before subcategory final.,probable,ADD,
accessories,other,4ON,SpinMax,SpinMax,current,unisex,spin accessory,https://www.4on.store/products,current,https://www.4on.store/products,likely,yes,CURRENT,no,,Manufacturer current SKU — confirm padel soft-goods relevance vs apparel tool.,probable,NEEDS_VERIFY,
grips,overgrip,4ON,Premium Comfort Overgrip,Premium Comfort,current,unisex,white/black; 3/12/60 packs,https://www.4on.store/products,current,https://www.4on.store/products,yes,yes,CURRENT,no,,4ON overgrip line missing from inventory (only TotalGrip spray present).,verified,ADD,
balls,competition,4ON,Pro T1 Padel Balls,Pro T1,current,unisex,3-ball tube (+24 boxes),https://www.4on.store/products,current,https://www.4on.store/products,likely,yes,CURRENT,no,,4ON own-brand competition ball — meaningful if NL/EU retail beyond manufacturer SE shop.,probable,ADD_IF_NL_EU,
grips,ergonomic,ShockOut,Dual Pro Grip,Dual Pro,current,unisex,undergrip + overgrip kit; colorways,https://www.shockout.es,current,https://padelmarket.com/en/collections/brands-shockout,yes,yes,CURRENT,no,,Dual Pro undergrip+overgrip system distinct from Premium overgrip / vague Grip System row — replace vague ShockOut Grip System with Dual Pro.,verified,ADD,
grips,overgrip,ShockOut,Perforated Overgrip,ShockOut Perforated,current,unisex,white/multicolour; 12-packs,https://www.shockout.es,current,https://padelmarket.com/en-worldwide/collections/accessories-shockout,yes,yes,CURRENT,no,,Perforated fork vs smooth Premium already inventoried.,verified,ADD,
grips,overgrip,Tourna,Tourna Tac XL,Tourna Tac XL,current,unisex,tacky XL; black/colors; 3-pack,https://www.tourna.com,current,https://www.totalpadel.com/Tourna_Tac_XL_Overgrip_Black/descpageUNIQUE-TTOG3BK-EN.html,yes,yes,CURRENT,no,,Tourna Tac XL is distinct tack line from Original Grip XL and Mega Tac; EU TotalPadel stock.,verified,ADD,
grips,overgrip,Tourna,Tourna Tuff,Tourna Tuff,current,unisex,dry absorbent; 3-pack,https://www.tourna.com,current,https://www.tourna.com/products/,likely,yes,CURRENT,no,,Dry durable Tourna fork; secondary to Grip XL for padel but commercially current.,probable,ADD_IF_NL_EU,
