productId,slug,category,brand,status,heroSrc,sourceUrl,identityVerified,identityReasons,primaryResolves,primarySrc,action
prod-starvie-titania-kepler,starvie-titania-kepler,rackets,starvie,published,/images/padel/products/starvie-titania-kepler-hero.jpg,https://www.zonadepadel.es/star-vie/8032-star-vie-titania-kepler-pro-20.html,yes,,yes,/images/padel/products/starvie-titania-kepler-hero.jpg,KEEP
prod-adidas-metalbone-hrd,adidas-metalbone-hrd-2026,rackets,adidas-padel,published,/images/padel/products/adidas-metalbone-hrd-hero.png,https://padelusa.com/products/adidas-metalbone-hrd-3-4-padel-racket?variant=45436926394531&_pos=1&_sid=7ad0155cb&_ss=r,yes,,yes,/images/padel/products/adidas-metalbone-hrd-hero.png,KEEP
prod-kuikma-pr-soft-500,kuikma-pr-soft-500,rackets,kuikma,draft,/images/padel/products/racket-3.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-drop-shot-canyon-pro,drop-shot-canyon-pro,rackets,drop-shot,draft,/images/padel/products/racket-4.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-varlion-lw-carbon-difusor,varlion-lw-carbon-difusor,rackets,varlion,published,/images/padel/products/varlion-lw-carbon-difusor-2026-hero.jpg,https://keepadel.com/gb/varlion-padel-rackets/2973-varlion-lw-carbon-ti-difusor-black-padel-racket.html,yes,,yes,/images/padel/products/varlion-lw-carbon-difusor-2026-hero.jpg,KEEP
prod-nox-ml10-pro-cup,nox-ml10-pro-cup,rackets,nox,published,/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg,https://www.zonadepadel.es/nox/13240-nox-ml10-pro-cup-2025.html,yes,,yes,/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg,KEEP
prod-bullpadel-hack-03,bullpadel-hack-03,rackets,bullpadel,published,/images/padel/products/bullpadel-hack-03-hero.jpg,https://www.zonadepadel.es/bullpadel/9043-bullpadel-hack-03-2024.html,yes,,yes,/images/padel/products/bullpadel-hack-03-hero.jpg,KEEP
prod-babolat-counter-viper,babolat-counter-viper,rackets,babolat,published,/images/padel/products/babolat-counter-viper-hero.png,https://padelusa.com/products/babolat-counter-viper-2-6-padel-racket?variant=46771956842659&_pos=1&_sid=22d254b3e&_ss=r,yes,,yes,/images/padel/products/babolat-counter-viper-hero.png,KEEP
prod-head-extreme-pro-padel,head-extreme-pro-padel,rackets,head,published,/images/padel/products/head-extreme-pro-padel-hero.png,https://padelusa.com/products/head-extreme-pro-2025-padel-racket?variant=46182403309731&_pos=1&_sid=094d05edf&_ss=r,yes,,yes,/images/padel/products/head-extreme-pro-padel-hero.png,KEEP
prod-wilson-blade-pro-padel,wilson-blade-pro-v3-padel,rackets,wilson,published,/images/padel/products/wilson-blade-pro-padel-hero.png,https://padelusa.com/products/wilson-blade-pro-v3-2024-padel-racket?variant=44999173111971&_pos=1&_sid=b81e4f94a&_ss=r,yes,,yes,/images/padel/products/wilson-blade-pro-padel-hero.png,KEEP
prod-starvie-basalto-osiris,starvie-basalto-osiris,rackets,starvie,published,/images/padel/products/starvie-basalto-osiris-2026-hero.jpg,https://mypadellife.com/products/starvie-basalto-osiris-2-0-padel-racket,yes,,yes,/images/padel/products/starvie-basalto-osiris-2026-hero.jpg,KEEP
prod-bullpadel-vertex-05,bullpadel-vertex-05-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-vertex-05-hero.png,https://padelusa.com/products/bullpadel-vertex-05-2026-padel-racket?variant=46513503142051&_pos=1&_sid=14e60950a&_ss=r,yes,,yes,/images/padel/products/bullpadel-vertex-05-hero.png,KEEP
prod-bullpadel-hack-04,bullpadel-hack-04-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-hack-04-hero.png,https://padelusa.com/products/bullpadel-hack-04-2025-padel-racket?variant=45287101595811&_pos=1&_sid=79e474490&_ss=r,yes,,yes,/images/padel/products/bullpadel-hack-04-hero.png,KEEP
prod-nox-at10-12k-2026,nox-at10-genius-12k-alum-xtrem-2026,rackets,nox,published,/images/padel/products/nox-at10-genius-12k-alum-xtrem-2026-hero.jpg,https://padelusa.com/products/nox-at10-genius-12k-alum-xtreme-padel-racket?variant=47301729747107&_pos=1&_sid=ac7bdb158&_ss=r,yes,,yes,/images/padel/products/nox-at10-genius-12k-alum-xtrem-2026-hero.jpg,KEEP
prod-adidas-metalbone-3-3-2026,adidas-metalbone-3-3,rackets,adidas-padel,published,/images/padel/products/adidas-metalbone-3-3-hero.jpg,https://www.zonadepadel.com/adidas-padel/9362-adidas-metalbone-33.html,yes,,yes,/images/padel/products/adidas-metalbone-3-3-hero.jpg,KEEP
prod-head-extreme-motion-2026,head-extreme-motion,rackets,head,published,/images/padel/products/head-extreme-motion-2026-hero.png,https://padelusa.com/products/head-extreme-motion-2025-padel-racket?variant=46182388760739&_pos=1&_sid=51edaeaf4&_ss=r,yes,,yes,/images/padel/products/head-extreme-motion-2026-hero.png,KEEP
prod-tecnifibre-wall-breaker-365-2026,tecnifibre-wall-breaker-365,rackets,tecnifibre-padel,published,/images/padel/products/tecnifibre-wall-breaker-365-hero.jpg,https://www.greavessports.com/products/wall-breaker-365-padel-racket-black-yellow,yes,,yes,/images/padel/products/tecnifibre-wall-breaker-365-hero.jpg,KEEP
prod-oxdog-sense-pro-2026,oxdog-sense-pro,rackets,oxdog,published,/images/padel/products/oxdog-sense-pro-hero.jpg,https://www.oxdog.net/en/articles/2.13.854/sense-pro-classics,yes,,yes,/images/padel/products/oxdog-sense-pro-hero.jpg,KEEP
prod-royal-padel-rp-m27-2026,royal-padel-m27-poly-2026,rackets,royal-padel,draft,/images/padel/products/royal-padel-rp-m27-2026-hero.jpg,https://www.zonadepadel.es/royal-padel/15365-royal-padel-m27-ligh-ltd-amarilla-2026.html,no,filename_model_weak,no,,STAY_DRAFT
prod-black-crown-special-one-soft,black-crown-special-one-soft,rackets,black-crown,draft,/images/padel/products/racket-3.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-lok-maxx-flow,lok-maxx-flow,rackets,lok,published,/images/padel/products/lok-maxx-flow-hero.jpg,https://www.zonadepadel.es/lok/13686-lok-maxx-flow-gen-2-2026.html,yes,,yes,/images/padel/products/lok-maxx-flow-hero.jpg,KEEP
prod-asics-gel-resolution-padel,asics-gel-resolution-padel,shoes,asics,published,/images/padel/products/asics-gel-resolution-padel-hero.jpg,https://www.zonadepadel.es/asics/15276-zapatillas-asics-gel-resolution-x-clay-blue-fade-gunmetal-2026.html,yes,,yes,/images/padel/products/asics-gel-resolution-padel-hero.jpg,KEEP
prod-asics-gel-challenger-court,asics-gel-challenger-court,shoes,asics,published,/images/padel/products/asics-gel-challenger-court-hero.jpg,https://www.zonadepadel.es/asics/14103-zapatillas-asics-gel-challenger-15-padel-white-guava-2026.html,yes,,yes,/images/padel/products/asics-gel-challenger-court-hero.jpg,KEEP
prod-babolat-jet-premura,babolat-jet-premura,shoes,babolat,published,/images/padel/products/babolat-jet-premura-hero.jpg,https://www.zonadepadel.es/babolat/15856-zapatillas-babolat-jet-premura-2-men-cream-orange-2026.html,yes,,yes,/images/padel/products/babolat-jet-premura-hero.jpg,KEEP
prod-joma-t-slam,joma-t-slam,shoes,joma,draft,/images/padel/products/joma-t-slam-hero.jpg,https://www.zonadepadel.es/joma/15127-zapatillas-joma-slam-men-2602-white-royal-2026.html,no,source_other_brand:royal,no,,STAY_DRAFT
prod-head-revolt-pro-court,head-revolt-pro-court,shoes,head,published,/images/padel/products/head-revolt-pro-court-hero.jpg,https://www.zonadepadel.es/head-padel/9520-zapatillas-head-revolt-pro-45-clay-banana-black-2024.html,yes,,yes,/images/padel/products/head-revolt-pro-court-hero.jpg,KEEP
prod-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,shoes,adidas-padel,draft,/images/padel/products/adidas-crazyquick-boost-padel-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-adidas-courtquick-w,adidas-courtquick-padel-women,shoes,adidas-padel,draft,/images/padel/products/adidas-courtquick-padel-women-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-adidas-crazyquick-boost-w,adidas-crazyquick-boost-padel-women,shoes,adidas-padel,draft,/images/padel/products/adidas-crazyquick-boost-padel-women-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-asics-gel-dedicate-8-padel,asics-gel-dedicate-8-padel,shoes,asics,draft,/images/padel/products/asics-gel-dedicate-8-padel-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-asics-game-ff-padel,asics-game-ff-padel,shoes,asics,draft,/images/padel/products/asics-game-ff-padel-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-asics-solution-swift-ff2-padel,asics-solution-swift-ff2-padel,shoes,asics,draft,/images/padel/products/asics-solution-swift-ff2-padel-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-bullpadel-hybrid-fly,bullpadel-hybrid-fly,shoes,bullpadel,draft,/images/padel/products/bullpadel-hybrid-fly-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-bullpadel-ionic-woman,bullpadel-ionic-woman,shoes,bullpadel,draft,/images/padel/products/bullpadel-ionic-woman-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-nox-at10-lux,nox-at10-lux,shoes,nox,draft,/images/padel/products/nox-at10-lux-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-nox-ml10-hexa,nox-ml10-hexa,shoes,nox,draft,/images/padel/products/nox-ml10-hexa-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-babolat-movea-2,babolat-movea-2,shoes,babolat,draft,/images/padel/products/babolat-movea-2-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-babolat-sensa-women,babolat-sensa-women,shoes,babolat,draft,/images/padel/products/babolat-sensa-women-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-joma-slam-lady,joma-slam-lady,shoes,joma,draft,/images/padel/products/joma-slam-lady-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-joma-spin-men,joma-spin-men,shoes,joma,draft,/images/padel/products/joma-spin-men-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-head-sprint-pro-4-padel,head-sprint-pro-4-padel,shoes,head,draft,/images/padel/products/head-sprint-pro-4-padel-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-wilson-rush-pro-5-padel,wilson-rush-pro-5-padel,shoes,wilson,draft,/images/padel/products/wilson-rush-pro-5-padel-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=zapatillas,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-siux-diablo-pro,siux-diablo-pro-padel,shoes,siux,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-siux-comodo-woman,siux-comodo-woman,shoes,siux,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-starvie-absolute-padel,starvie-absolute-padel,shoes,starvie,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-kuikma-ps-990,kuikma-ps-990,shoes,kuikma,published,/images/padel/products/kuikma-ps-990-hero.jpg,https://www.decathlon.com.au/,yes,,yes,/images/padel/products/kuikma-ps-990-hero.jpg,KEEP
prod-kuikma-ps-560-women,kuikma-ps-560-women,shoes,kuikma,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-oxdog-hyper-court,oxdog-hyper-court,shoes,oxdog,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-asics-gel-resolution-padel-w,asics-gel-resolution-padel-women,shoes,asics,draft,/images/padel/products/asics-gel-resolution-padel-women-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=ASICS%20Gel%20Resolution%20Padel,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-asics-solution-swift-padel-w,asics-solution-swift-ff-padel-women,shoes,asics,draft,/images/padel/products/asics-solution-swift-ff-padel-women-hero.jpg,https://images.asics.com/is/image/asics/1042A264_500_SR_RT_GLB,no,source_foreign_model:1042a264|source_pathname_model_weak,no,,STAY_DRAFT
prod-adidas-solecourt-boost-padel,adidas-solecourt-boost-padel,shoes,adidas-padel,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-head-revolt-court,head-revolt-court-padel,shoes,head,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-wilson-bela-pro-padel,wilson-bela-pro-padel,shoes,wilson,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-joma-spin-lady,joma-spin-lady,shoes,joma,draft,/images/padel/products/joma-spin-lady-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=Joma%20Spin%20Lady,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-bullpadel-hack-hybrid,bullpadel-hack-hybrid,shoes,bullpadel,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-nox-at10-pro-shoe,nox-at10-pro,shoes,nox,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-babolat-jet-premura-2-men,babolat-jet-premura-2,shoes,babolat,draft,/images/padel/products/babolat-jet-premura-2-hero.jpg,https://www.zonadepadel.es/busca?controller=search&s=Babolat%20Jet%20Premura%202,no,source_foreign_model:busca|source_pathname_identity_weak,no,,STAY_DRAFT
prod-tecnifibre-t-fight-padel,tecnifibre-wall-shooter,shoes,tecnifibre-padel,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-varlion-bourne-padel-shoe,varlion-bourne-padel,shoes,varlion,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-lok-padel-one,lok-padel-one,shoes,lok,draft,/images/catalog/fallbacks/shoe.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
prod-nox-at10-attack-18k-2026,nox-at10-genius-attack-18k-2026,rackets,nox,published,/images/padel/products/nox-at10-genius-attack-18k-2026-hero.jpg,https://noxsport.com/en/products/pala-at10-genius-attack-18k-alum-2026-by-agustin-tapia,yes,,yes,/images/padel/products/nox-at10-genius-attack-18k-2026-hero.jpg,KEEP
prod-nox-equation-soft-2026,nox-equation-soft-advanced-2026,rackets,nox,published,/images/padel/products/nox-equation-soft-advanced-2026-hero.jpg,https://noxsport.com/en/products/pala-equation-soft-advanced,yes,,yes,/images/padel/products/nox-equation-soft-advanced-2026-hero.jpg,KEEP
prod-bullpadel-vertex-05-hybrid,bullpadel-vertex-05-hybrid-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg,https://www.zonadepadel.com/bullpadel/13550-bullpadel-vertex-05-hybrid-2026.html,yes,,yes,/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg,KEEP
prod-bullpadel-vertex-05-w,bullpadel-vertex-05-w-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-vertex-05-w-hero.jpg,https://www.zonadepadel.com/bullpadel/13552-bullpadel-vertex-05-woman-2026.html,yes,,yes,/images/padel/products/bullpadel-vertex-05-w-hero.jpg,KEEP
prod-bullpadel-hack-04-hybrid,bullpadel-hack-04-hybrid-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-hack-04-hybrid-hero.jpg,https://www.zonadepadel.es/bullpadel/13554-bullpadel-hack-04-hybrid-2026.html,yes,,yes,/images/padel/products/bullpadel-hack-04-hybrid-hero.jpg,KEEP
prod-bullpadel-hack-04-comfort,bullpadel-hack-04-comfort-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-hack-04-comfort-hero.jpg,https://www.zonadepadel.es/bullpadel/13555-bullpadel-hack-04-comfort-2026.html,yes,,yes,/images/padel/products/bullpadel-hack-04-comfort-hero.jpg,KEEP
prod-bullpadel-neuron-02,bullpadel-neuron-02-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-neuron-02-hero.jpg,https://www.zonadepadel.es/bullpadel/13556-bullpadel-neuron-02-2026.html,yes,,yes,/images/padel/products/bullpadel-neuron-02-hero.jpg,KEEP
prod-bullpadel-neuron-02-edge,bullpadel-neuron-02-edge-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-neuron-02-edge-hero.jpg,https://www.zonadepadel.com/bullpadel/13558-bullpadel-neuron-02-edge-2026.html,yes,,yes,/images/padel/products/bullpadel-neuron-02-edge-hero.jpg,KEEP
prod-bullpadel-xplo,bullpadel-xplo-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-xplo-hero.jpg,https://www.zonadepadel.com/bullpadel/13559-bullpadel-xplo-2026.html,yes,,yes,/images/padel/products/bullpadel-xplo-hero.jpg,KEEP
prod-bullpadel-xplo-comfort,bullpadel-xplo-comfort-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-xplo-comfort-hero.jpg,https://www.zonadepadel.es/bullpadel/13560-bullpadel-xplo-comfort-2026.html,yes,,yes,/images/padel/products/bullpadel-xplo-comfort-hero.jpg,KEEP
prod-bullpadel-ionic-light,bullpadel-ionic-light-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-ionic-light-hero.jpg,https://www.zonadepadel.com/bullpadel/13575-bullpadel-ionic-light-2026.html,yes,,yes,/images/padel/products/bullpadel-ionic-light-hero.jpg,KEEP
prod-bullpadel-indiga-ctr,bullpadel-indiga-ctr-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-indiga-ctr-hero.jpg,https://www.padelreference.com/en/padel-rackets/p/bullpadel-indiga-ctr-26,yes,,yes,/images/padel/products/bullpadel-indiga-ctr-hero.jpg,KEEP
prod-bullpadel-vertex-advance,bullpadel-vertex-advance-2026,rackets,bullpadel,published,/images/padel/products/bullpadel-vertex-advance-hero.jpg,https://www.zonadepadel.com/bullpadel/14397-bullpadel-vertex-advance-2026.html,yes,,yes,/images/padel/products/bullpadel-vertex-advance-hero.jpg,KEEP
prod-adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,rackets,adidas-padel,published,/images/padel/products/adidas-metalbone-3-5-2026-hero.jpg,https://allforpadel.com/en/padel-rackets/7521-padel-racket-adidas-metalbone-2026-ale-galan-8435739405802.html,yes,,yes,/images/padel/products/adidas-metalbone-3-5-2026-hero.jpg,KEEP
prod-adidas-metalbone-ctrl,adidas-metalbone-ctrl-2026,rackets,adidas-padel,published,/images/padel/products/adidas-metalbone-ctrl-2026-hero.jpg,https://allforpadel.com/en/padel-rackets/7525-padel-racket-adidas-metalbone-ctrl-2026-8435739405819.html,yes,,yes,/images/padel/products/adidas-metalbone-ctrl-2026-hero.jpg,KEEP
prod-adidas-metalbone-team-light,adidas-metalbone-team-light-2026,rackets,adidas-padel,published,/images/padel/products/adidas-metalbone-team-light-2026-hero.jpg,https://allforpadel.com/en/padel-rackets/7535-padel-racket-adidas-metalbone-team-light-2026-8435739405864.html,yes,,yes,/images/padel/products/adidas-metalbone-team-light-2026-hero.jpg,KEEP
prod-adidas-cross-it-light,adidas-cross-it-light-2026,rackets,adidas-padel,published,/images/padel/products/adidas-cross-it-light-2026-hero.jpg,https://allforpadel.com/en/padel-rackets/7528-padel-racket-adidas-cross-it-light-2026-martita-ortega-8435739405956.html,yes,,yes,/images/padel/products/adidas-cross-it-light-2026-hero.jpg,KEEP
prod-adidas-cross-it-ctrl,adidas-cross-it-ctrl-2026,rackets,adidas-padel,published,/images/padel/products/adidas-cross-it-ctrl-2026-hero.jpg,https://allforpadel.com/en/padel-rackets/7527-padel-racket-adidas-cross-it-ctrl-2026-8435739405949.html,yes,,yes,/images/padel/products/adidas-cross-it-ctrl-2026-hero.jpg,KEEP
prod-adidas-arrow-hit-ctrl,adidas-arrow-hit-ctrl-2026,rackets,adidas-padel,published,/images/padel/products/adidas-arrow-hit-ctrl-2026-hero.jpg,https://allforpadel.com/en/padel-rackets/7526-padel-racket-adidas-arrow-hit-ctrl-8435739405895.html,yes,,yes,/images/padel/products/adidas-arrow-hit-ctrl-2026-hero.jpg,KEEP
prod-adidas-arrow-hit-attk,adidas-arrow-hit-2026,rackets,adidas-padel,published,/images/padel/products/adidas-arrow-hit-attk-2026-hero.jpg,https://allforpadel.com/en/padel-rackets/7523-padel-racket-adidas-arrow-hit-8435739405888.html,yes,,yes,/images/padel/products/adidas-arrow-hit-attk-2026-hero.jpg,KEEP
prod-adidas-match-light,adidas-match-light-2026,rackets,adidas-padel,published,/images/padel/products/adidas-match-light-2026-hero.jpg,https://allforpadel.com/en/padel-rackets/7495-padel-racket-adidas-match-light-2026-8435739406076.html,yes,,yes,/images/padel/products/adidas-match-light-2026-hero.jpg,KEEP
prod-head-coello-motion,head-coello-motion-2026,rackets,head,published,/images/padel/products/head-coello-motion-hero.jpg,https://padelusa.com/products/head-coello-motion-2026-padel-racket,yes,,yes,/images/padel/products/head-coello-motion-hero.jpg,KEEP
prod-head-coello-team,head-coello-team-2026,rackets,head,published,/images/padel/products/head-coello-team-hero.jpg,https://padelusa.com/products/head-coello-team-2026-padel-racket,yes,,yes,/images/padel/products/head-coello-team-hero.jpg,KEEP
prod-head-gravity-pro,head-gravity-pro,rackets,head,published,/images/padel/products/head-gravity-pro-hero.jpg,https://www.padelreference.com/en/padel-rackets/p/head-gravity-pro-2024,yes,,yes,/images/padel/products/head-gravity-pro-hero.jpg,KEEP
prod-head-gravity-motion,head-gravity-motion,rackets,head,published,/images/padel/products/head-gravity-motion-hero.jpg,https://www.padelreference.com/en/padel-rackets/p/head-gravity-motion-2024,yes,,yes,/images/padel/products/head-gravity-motion-hero.jpg,KEEP
prod-head-speed-pro,head-speed-pro,rackets,head,published,/images/padel/products/head-speed-pro-hero.jpg,https://www.padelreference.com/en/palas-de-padel/p/head-speed-pro-2025,yes,,yes,/images/padel/products/head-speed-pro-hero.jpg,KEEP
prod-head-one-ultralight,head-one-ultralight,rackets,head,published,/images/padel/products/head-one-ultralight-hero.jpg,https://www.padelreference.com/en/padelschlager/p/head-one-ultralight-black-2025,yes,,yes,/images/padel/products/head-one-ultralight-hero.jpg,KEEP
prod-babolat-air-viper,babolat-air-viper-2-6,rackets,babolat,published,/images/padel/products/babolat-air-viper-hero.jpg,https://www.babolat.com/us/air-viper-2.6/150176.html,yes,,yes,/images/padel/products/babolat-air-viper-hero.jpg,KEEP
prod-babolat-air-veron,babolat-air-veron-2-6,rackets,babolat,published,/images/padel/products/babolat-air-veron-hero.jpg,https://www.babolat.com/us/air-veron-2.6/150180.html,yes,,yes,/images/padel/products/babolat-air-veron-hero.jpg,KEEP
prod-siux-electra,siux-electra-pro-2026,rackets,siux,published,/images/padel/products/siux-electra-pro-2026-hero.jpg,https://www.zonadepadel.com/siux/13932-siux-electra-pro-fire-red-2026.html,yes,,yes,/images/padel/products/siux-electra-pro-2026-hero.jpg,KEEP
prod-siux-fenix,siux-fenix-pro-2026,rackets,siux,published,/images/padel/products/siux-fenix-pro-2026-hero.jpg,https://www.zonadepadel.com/siux/13935-siux-fenix-pro-black-2026.html,yes,,yes,/images/padel/products/siux-fenix-pro-2026-hero.jpg,KEEP
prod-starvie-astrum,starvie-astrum-plus-2026,rackets,starvie,published,/images/padel/products/starvie-astrum-hero.jpg,https://starvie.com/en/products/astrum,yes,,yes,/images/padel/products/starvie-astrum-hero.jpg,KEEP
prod-nox-at10-attack-12k-2026,nox-at10-genius-attack-12k-2026,rackets,nox,draft,/images/padel/products/racket-5.svg,,no,not_authentic_photograph,no,,STAY_DRAFT
