"slug","category","unique_meaningful_media","gallery_beyond_hero","spec_present","spec_missing","has_verdict","strengths","weaknesses","nl_offers","from_price"
"adidas-crazyquick-boost-padel","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"adidas-courtquick-padel-women","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"adidas-crazyquick-boost-padel-women","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"asics-gel-dedicate-8-padel","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"asics-game-ff-padel","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"asics-solution-swift-ff2-padel","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"bullpadel-hybrid-fly","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"bullpadel-ionic-woman","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"nox-at10-lux","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"nox-ml10-hexa","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"babolat-movea-2","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"babolat-sensa-women","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"joma-slam-lady","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"joma-spin-men","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"head-sprint-pro-4-padel","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"wilson-rush-pro-5-padel","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"kuikma-ps-990","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"asics-gel-resolution-padel-women","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","2","1",""
"joma-spin-lady","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"babolat-jet-premura-2","cat-padel-shoes","1","0","genderFit|cushioning|support|outsole|surfaceCompatibility|courtOutsole|tractionPattern|lateralStability|courtFeel|durability|upper|weight|fit|width|closure|generation","","yes","3","1","1",""
"nox-at10-genius-attack-18k-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"nox-equation-soft-advanced-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-vertex-05-hybrid-2026","cat-padel-rackets","6","5","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-vertex-05-w-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-hack-04-hybrid-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-hack-04-comfort-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-neuron-02-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-neuron-02-edge-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-xplo-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-xplo-comfort-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-ionic-light-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-indiga-ctr-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"bullpadel-vertex-advance-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"adidas-metalbone-3-5-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"adidas-metalbone-ctrl-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"adidas-metalbone-team-light-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"adidas-cross-it-light-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"adidas-cross-it-ctrl-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"adidas-arrow-hit-ctrl-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"adidas-arrow-hit-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"adidas-match-light-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"head-coello-motion-2026","cat-padel-rackets","5","4","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"head-coello-team-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","3","2","0",""
"head-gravity-pro","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"head-gravity-motion","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"head-speed-pro","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"head-one-ultralight","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"babolat-air-viper-2-6","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"babolat-air-veron-2-6","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"siux-electra-pro-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"siux-fenix-pro-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"starvie-astrum-plus-2026","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"kuikma-pr-hybrid-carbon","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"kuikma-pr-comfort-soft","cat-padel-rackets","1","0","shape|balance|weightMin|thicknessMm|face|frameMaterial|core|surfaceTexture|sweetSpot|feel|playerLevel","","yes","2","2","0",""
"head-padel-pro-plus","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|cansPerBox|officialApproval|coreMaterial|feltMaterial|intendedConditions|freshnessStatus|diameter|weight|bounceSpec|manufacturerPositioning|generation","","yes","3","1","1",""
"head-padel-team","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|intendedConditions|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|officialApproval|cansPerBox|manufacturerPositioning|generation","","yes","3","1","0",""
"head-padel-one","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|officialApproval|cansPerBox|intendedConditions|manufacturerPositioning|generation","","yes","2","1","0",""
"kuikma-pb-speed","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|officialApproval|intendedConditions|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|cansPerBox|manufacturerPositioning|generation","","yes","3","1","0",""
"kuikma-pb-control","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|officialApproval|intendedConditions|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|cansPerBox|manufacturerPositioning|generation","","yes","3","1","0",""
"kuikma-pb-club","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|officialApproval|cansPerBox|intendedConditions|manufacturerPositioning|generation","","yes","3","1","0",""
"wilson-padel-premier","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|cansPerBox|intendedConditions|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|officialApproval|manufacturerPositioning|generation","","yes","2","1","1",""
"wilson-padel-premier-speed","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|cansPerBox|officialApproval|feltMaterial|intendedConditions|freshnessStatus|coreMaterial|diameter|weight|bounceSpec|manufacturerPositioning|generation","","yes","2","1","1",""
"bullpadel-premium-pro","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|officialApproval|cansPerBox|intendedConditions|manufacturerPositioning|generation","","yes","2","1","1",""
"adidas-speed-rx-padel-balls","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|cansPerBox|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|officialApproval|intendedConditions|manufacturerPositioning|generation","","yes","2","1","1",""
"babolat-court-padel-balls","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|officialApproval|cansPerBox|intendedConditions|manufacturerPositioning|generation","","yes","2","1","1",""
"dunlop-pro-padel","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|officialApproval|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|cansPerBox|intendedConditions|manufacturerPositioning|generation","","yes","3","1","1",""
"tecnifibre-padel-team-balls","cat-padel-balls","1","0","ballType|use|speed|pressurization|durability|packSize|ballsPerCan|cansPerBox|freshnessStatus|feltMaterial|coreMaterial|diameter|weight|bounceSpec|officialApproval|intendedConditions|manufacturerPositioning|generation","","yes","2","1","1",""
"nox-at10-team-paletero","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|dimensions|carryStyle|racketCapacity|volume|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","3","1","0",""
"babolat-rh-pro-padel","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|dimensions|carryStyle|racketCapacity|volume|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","3","1","0",""
"bullpadel-vertex-geo-backpack","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|dimensions|carryStyle|racketCapacity|volume|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","2","1","1",""
"tecnifibre-tour-endurance-padel-backpack","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|carryStyle|racketCapacity|volume|dimensions|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","3","1","1",""
"babolat-court-backpack","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|dimensions|carryStyle|racketCapacity|volume|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","2","1","0",""
"adidas-protour-padel-bag","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|carryStyle|racketCapacity|volume|dimensions|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","2","1","1",""
"head-tour-team-padel-bag","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|carryStyle|racketCapacity|volume|dimensions|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","3","1","0",""
"head-elite-padel-backpack","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|dimensions|carryStyle|racketCapacity|volume|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","2","1","0",""
"wilson-super-tour-padel-bag","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|carryStyle|racketCapacity|volume|dimensions|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","2","1","1",""
"nox-at10-xxl-padel-bag","cat-padel-bags","1","0","form|capacity|racketCompartments|shoeCompartment|thermalProtection|dimensions|carryStyle|racketCapacity|volume|thermalRacketCompartment|wetCompartment|accessoryPockets|laptopCompartment|bottleStorage|carrySystem|backpackStraps|materials|waterResistance|weight|collection","","yes","3","1","1",""
"bullpadel-hac-overgrip","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|perforated|material|length|width|weight|texture|colors|installationMethod|compatibility|handleThicknessEffect|claimedBenefits","","yes","2","1","0",""
"nox-pro-overgrip","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|perforated|material|length|width|weight|texture|colors|installationMethod|compatibility|handleThicknessEffect|claimedBenefits","","yes","2","1","1",""
"head-xtreme-soft-overgrip","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|perforated|material|length|width|weight|texture|colors|installationMethod|compatibility|handleThicknessEffect|claimedBenefits","","yes","2","1","1",""
"babolat-pro-response-overgrip","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|perforated|material|length|width|weight|texture|colors|installationMethod|compatibility|handleThicknessEffect|claimedBenefits","","yes","2","1","0",""
"kuikma-padel-overgrip","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|perforated|material|length|width|weight|texture|colors|installationMethod|compatibility|handleThicknessEffect|claimedBenefits","","yes","2","1","0",""
"babolat-syntec-pro-replacement-grip","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|perforated|material|length|width|weight|texture|colors|installationMethod|compatibility|handleThicknessEffect|claimedBenefits","","yes","2","1","0",""
"hesacore-padel-grip","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|installationMethod|handleThicknessEffect|claimedBenefits|perforated|material|length|width|weight|texture|colors|compatibility","","yes","2","1","1",""
"adidas-padel-overgrip","cat-padel-grips","1","0","gripType|thickness|tack|absorption|feel|packQuantity|perforated|material|length|width|weight|texture|colors|installationMethod|compatibility|handleThicknessEffect|claimedBenefits","","yes","3","1","0",""
"bullpadel-frame-protector-3-pack","cat-padel-accessories","1","0","type|material|packQuantity|transparentOrColored|materials|weightGrams|compatibility|generation","","yes","2","1","1",""
"nox-transparent-frame-protector","cat-padel-accessories","1","0","type|material|packQuantity|transparentOrColored|materials|weightGrams|compatibility|generation","","yes","2","1","1",""
"bullpadel-pascal-box-3b","cat-padel-accessories","1","0","type|capacityBalls|pressureSystem|manualOrElectric|packQuantity|pressureRange|powerSource|compatibility|weightGrams|materials|generation","","yes","3","1","1",""
"head-x3-ball-pressurizer","cat-padel-accessories","1","0","type|capacityBalls|pressureSystem|manualOrElectric|packQuantity|pressureRange|powerSource|compatibility|weightGrams|materials|generation","","yes","2","1","0",""
"bullpadel-protector-custom-weight","cat-padel-accessories","1","0","type|packQuantity|material|weightGrams|compatibility|materials|generation","","yes","2","1","1",""
"4on-totalgrip","cat-padel-accessories","1","0","type|generation|compatibility|weightGrams|materials","","yes","2","2","0",""
"ball-rescuer-ball-rescuer","cat-padel-accessories","1","0","type|generation|manualOrElectric|capacityBalls|pressureSystem|pressureRange|powerSource|compatibility|weightGrams|materials","","yes","2","2","0",""
"black-crown-black-crown-wristband","cat-padel-accessories","1","0","type|generation|compatibility|weightGrams|materials","","yes","2","2","0",""
"bullpadel-custom-weight-grip","cat-padel-accessories","1","0","type|generation|weightGrams|compatibility|materials","","yes","2","2","0",""
"bullpadel-frame-protector-uni","cat-padel-accessories","1","0","type|generation|transparentOrColored|materials|weightGrams|compatibility","","yes","2","2","0",""
"enebe-enebe-protector-line","cat-padel-accessories","1","0","type|generation|transparentOrColored|materials|weightGrams|compatibility","","yes","2","2","0",""
"head-antishock-skin","cat-padel-accessories","1","0","type|generation|transparentOrColored|materials|weightGrams|compatibility","","yes","2","2","0",""
"head-x3-pump","cat-padel-accessories","1","0","type|generation|manualOrElectric|capacityBalls|pressureSystem|pressureRange|powerSource|compatibility|weightGrams|materials","","yes","2","2","0",""
"nox-weight-balancer-2-4g","cat-padel-accessories","1","0","type|generation|weightGrams|compatibility|materials","","yes","2","2","0",""
"shockout-gravity","cat-padel-accessories","1","0","type|generation|weightGrams|compatibility|materials","","yes","2","2","0",""
