productId,slug,name,categoryId,brandId,reviewCount,bestGuideCount,buyingGuideCount,comparisonCount,alternativeCount,gearSetupCount,compatibleAccessoryCount,relationshipKinds,relationshipCount,coverageBand
prod-varlion-lw-carbon-difusor,varlion-lw-carbon-difusor,LW Carbon Difusor,cat-padel-rackets,brand-varlion,0,0,0,0,2,0,0,alternative,1,thin
prod-nox-ml10-pro-cup,nox-ml10-pro-cup,ML10 Pro Cup,cat-padel-rackets,brand-nox,1,2,2,1,4,0,0,alternative|best-guide|buying-guide|comparison|review,5,strong
prod-bullpadel-hack-03,bullpadel-hack-03,Hack 03,cat-padel-rackets,brand-bullpadel,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-babolat-counter-viper,babolat-counter-viper,Counter Viper,cat-padel-rackets,brand-babolat-padel,0,2,0,1,2,0,0,alternative|best-guide|comparison,3,moderate
prod-head-extreme-pro-padel,head-extreme-pro-padel,Extreme Pro,cat-padel-rackets,brand-head-padel,0,0,0,0,2,0,0,alternative,1,thin
prod-wilson-blade-pro-padel,wilson-blade-pro-v3-padel,Blade Pro V3,cat-padel-rackets,brand-wilson-padel,0,2,0,0,2,0,0,alternative|best-guide,2,moderate
prod-starvie-basalto-osiris,starvie-basalto-osiris,Basalto Osiris,cat-padel-rackets,brand-starvie,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-bullpadel-vertex-05,bullpadel-vertex-05-2026,Vertex 05,cat-padel-rackets,brand-bullpadel,1,7,4,4,7,2,0,alternative|best-guide|buying-guide|comparison|gear-setup|review,6,strong
prod-bullpadel-hack-04,bullpadel-hack-04-2026,Hack 04,cat-padel-rackets,brand-bullpadel,1,7,8,2,6,0,0,alternative|best-guide|buying-guide|comparison|review,5,strong
prod-nox-at10-12k-2026,nox-at10-genius-12k-alum-xtrem-2026,AT10 Genius 12K Alum XTREM 2026,cat-padel-rackets,brand-nox,1,3,4,3,6,1,0,alternative|best-guide|buying-guide|comparison|gear-setup|review,6,strong
prod-adidas-metalbone-3-3-2026,adidas-metalbone-3-3,Metalbone 3.3,cat-padel-rackets,brand-adidas-padel,0,2,0,0,2,0,0,alternative|best-guide,2,moderate
prod-head-extreme-motion-2026,head-extreme-motion,Extreme Motion,cat-padel-rackets,brand-head-padel,0,1,2,0,2,0,0,alternative|best-guide|buying-guide,3,moderate
prod-tecnifibre-wall-breaker-365-2026,tecnifibre-wall-breaker-365,Wall Breaker 365,cat-padel-rackets,brand-tecnifibre-padel,0,0,0,0,2,0,0,alternative,1,thin
prod-oxdog-sense-pro-2026,oxdog-sense-pro,Sense Pro,cat-padel-rackets,brand-oxdog,0,0,0,0,2,0,0,alternative,1,thin
prod-royal-padel-rp-m27-2026,royal-padel-m27-poly-2026,M27 Poly,cat-padel-rackets,brand-royal-padel,0,0,0,0,3,0,0,alternative,1,thin
prod-black-crown-special-one-soft,black-crown-special-one-soft,Special One Soft,cat-padel-rackets,brand-black-crown,0,1,0,0,3,0,0,alternative|best-guide,2,moderate
prod-lok-maxx-flow,lok-maxx-flow,Maxx Flow,cat-padel-rackets,brand-lok,0,0,0,0,2,0,0,alternative,1,thin
prod-asics-gel-resolution-padel,asics-gel-resolution-padel,Gel-Resolution Padel,cat-padel-shoes,brand-asics,1,6,4,0,4,3,0,alternative|best-guide|buying-guide|gear-setup|review,5,strong
prod-asics-gel-challenger-court,asics-gel-challenger-court,Gel-Challenger Court,cat-padel-shoes,brand-asics,0,0,0,0,1,0,0,alternative,1,thin
prod-babolat-jet-premura,babolat-jet-premura,Jet Premura,cat-padel-shoes,brand-babolat-padel,1,6,3,0,4,0,0,alternative|best-guide|buying-guide|review,4,strong
prod-joma-t-slam,joma-t-slam,T.Slam,cat-padel-shoes,brand-joma,1,7,2,0,4,0,0,alternative|best-guide|buying-guide|review,4,strong
prod-head-revolt-pro-court,head-revolt-pro-court,Revolt Pro Court,cat-padel-shoes,brand-head-padel,0,5,1,0,0,0,0,best-guide|buying-guide,2,moderate
prod-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,Crazyquick Boost Padel,cat-padel-shoes,brand-adidas-padel,1,7,0,0,3,0,0,alternative|best-guide|review,3,moderate
prod-adidas-courtquick-w,adidas-courtquick-padel-women,Courtquick Padel Women,cat-padel-shoes,brand-adidas-padel,0,3,0,0,0,0,0,best-guide,1,thin
prod-adidas-crazyquick-boost-w,adidas-crazyquick-boost-padel-women,Crazyquick Boost Padel Women,cat-padel-shoes,brand-adidas-padel,0,1,0,0,0,0,0,best-guide,1,thin
prod-asics-gel-dedicate-8-padel,asics-gel-dedicate-8-padel,Gel-Dedicate 8 Padel,cat-padel-shoes,brand-asics,0,0,0,0,0,0,0,alternative,1,thin
prod-asics-game-ff-padel,asics-game-ff-padel,Game FF Padel,cat-padel-shoes,brand-asics,0,0,0,0,0,0,0,,0,zero
prod-asics-solution-swift-ff2-padel,asics-solution-swift-ff2-padel,Solution Swift FF 2 Padel,cat-padel-shoes,brand-asics,0,0,0,0,0,0,0,,0,zero
prod-bullpadel-hybrid-fly,bullpadel-hybrid-fly,Fastgear,cat-padel-shoes,brand-bullpadel,0,0,0,0,0,0,0,,0,zero
prod-bullpadel-ionic-woman,bullpadel-ionic-woman,Ionic Woman,cat-padel-shoes,brand-bullpadel,0,1,0,0,0,0,0,best-guide,1,thin
prod-nox-at10-lux,nox-at10-lux,AT10 Lux,cat-padel-shoes,brand-nox,1,3,0,0,3,0,0,best-guide|review,2,moderate
prod-nox-ml10-hexa,nox-ml10-hexa,ML10 Hexa,cat-padel-shoes,brand-nox,0,0,0,0,0,0,0,,0,zero
prod-babolat-movea-2,babolat-movea-2,Movea 2,cat-padel-shoes,brand-babolat-padel,0,0,0,0,0,0,0,,0,zero
prod-babolat-sensa-women,babolat-sensa-women,Sensa Women,cat-padel-shoes,brand-babolat-padel,0,1,0,0,0,0,0,best-guide,1,thin
prod-joma-slam-lady,joma-slam-lady,Slam Lady,cat-padel-shoes,brand-joma,0,1,0,0,0,0,0,best-guide,1,thin
prod-joma-spin-men,joma-spin-men,Spin Men,cat-padel-shoes,brand-joma,0,0,0,0,0,0,0,,0,zero
prod-head-sprint-pro-4-padel,head-sprint-pro-4-padel,Sprint Pro 4.0 Padel,cat-padel-shoes,brand-head-padel,1,3,0,0,3,0,0,alternative|best-guide|review,3,moderate
prod-wilson-rush-pro-5-padel,wilson-rush-pro-5-padel,Rush Pro 5 Padel,cat-padel-shoes,brand-wilson-padel,0,0,0,0,0,0,0,,0,zero
prod-siux-diablo-pro,siux-diablo-pro-padel,Diablo Pro,cat-padel-shoes,brand-siux,0,0,0,0,0,0,0,,0,zero
prod-siux-comodo-woman,siux-comodo-woman,Comodo Woman,cat-padel-shoes,brand-siux,0,2,0,0,0,0,0,best-guide,1,thin
prod-starvie-absolute-padel,starvie-absolute-padel,Absolute Padel,cat-padel-shoes,brand-starvie,0,0,0,0,0,0,0,,0,zero
prod-kuikma-ps-990,kuikma-ps-990,PS 990,cat-padel-shoes,brand-kuikma,1,3,0,0,3,1,0,alternative|best-guide|gear-setup|review,4,strong
prod-kuikma-ps-560-women,kuikma-ps-560-women,PS 560 Women,cat-padel-shoes,brand-kuikma,0,0,0,0,0,0,0,,0,zero
prod-oxdog-hyper-court,oxdog-hyper-court,Hyper Court,cat-padel-shoes,brand-oxdog,0,0,0,0,0,0,0,,0,zero
prod-asics-gel-resolution-padel-w,asics-gel-resolution-padel-women,Gel-Resolution Padel Women,cat-padel-shoes,brand-asics,0,1,0,0,0,0,0,best-guide,1,thin
prod-asics-solution-swift-padel-w,asics-solution-swift-ff-padel-women,Solution Swift FF Padel Women,cat-padel-shoes,brand-asics,0,0,0,0,0,0,0,,0,zero
prod-adidas-solecourt-boost-padel,adidas-solecourt-boost-padel,Solecourt Boost Padel,cat-padel-shoes,brand-adidas-padel,0,0,0,0,0,0,0,,0,zero
prod-head-revolt-court,head-revolt-court-padel,Revolt Court,cat-padel-shoes,brand-head-padel,0,0,0,0,0,0,0,,0,zero
prod-wilson-bela-pro-padel,wilson-bela-pro-padel,Bela Pro Padel,cat-padel-shoes,brand-wilson-padel,0,0,0,0,0,0,0,,0,zero
prod-joma-spin-lady,joma-spin-lady,Spin Lady,cat-padel-shoes,brand-joma,0,0,0,0,0,0,0,,0,zero
prod-bullpadel-hack-hybrid,bullpadel-hack-hybrid,Hack Hybrid,cat-padel-shoes,brand-bullpadel,0,0,0,0,0,0,0,,0,zero
prod-nox-at10-pro-shoe,nox-at10-pro,AT10 Pro,cat-padel-shoes,brand-nox,0,0,0,0,0,0,0,,0,zero
prod-babolat-jet-premura-2-men,babolat-jet-premura-2,Jet Premura 2,cat-padel-shoes,brand-babolat-padel,0,0,0,0,0,0,0,,0,zero
prod-tecnifibre-t-fight-padel,tecnifibre-wall-shooter,Wall Shooter,cat-padel-shoes,brand-tecnifibre-padel,0,0,0,0,0,0,0,,0,zero
prod-varlion-bourne-padel-shoe,varlion-bourne-padel,Bourne Padel,cat-padel-shoes,brand-varlion,0,0,0,0,0,0,0,,0,zero
prod-lok-padel-one,lok-padel-one,Padel One,cat-padel-shoes,brand-lok,0,0,0,0,0,0,0,,0,zero
prod-nox-at10-attack-18k-2026,nox-at10-genius-attack-18k-2026,AT10 Genius Attack 18K Alum 2026,cat-padel-rackets,brand-nox,0,2,0,1,2,0,0,alternative|best-guide|comparison,3,moderate
prod-nox-equation-soft-2026,nox-equation-soft-advanced-2026,Equation Soft Advanced 2026,cat-padel-rackets,brand-nox,0,4,3,0,2,0,0,alternative|best-guide|buying-guide,3,moderate
prod-bullpadel-vertex-05-hybrid,bullpadel-vertex-05-hybrid-2026,Vertex 05 Hybrid,cat-padel-rackets,brand-bullpadel,1,2,1,1,4,0,0,alternative|best-guide|buying-guide|comparison|review,5,strong
prod-bullpadel-vertex-05-w,bullpadel-vertex-05-w-2026,Vertex 05 W,cat-padel-rackets,brand-bullpadel,0,3,0,0,2,0,0,alternative|best-guide,2,moderate
prod-bullpadel-hack-04-hybrid,bullpadel-hack-04-hybrid-2026,Hack 04 Hybrid,cat-padel-rackets,brand-bullpadel,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-bullpadel-hack-04-comfort,bullpadel-hack-04-comfort-2026,Hack 04 Comfort,cat-padel-rackets,brand-bullpadel,0,2,1,0,2,0,0,alternative|best-guide|buying-guide,3,moderate
prod-bullpadel-neuron-02,bullpadel-neuron-02-2026,Neuron 02,cat-padel-rackets,brand-bullpadel,0,0,0,0,2,0,0,alternative,1,thin
prod-bullpadel-neuron-02-edge,bullpadel-neuron-02-edge-2026,Neuron 02 Edge,cat-padel-rackets,brand-bullpadel,0,0,0,0,2,0,0,alternative,1,thin
prod-bullpadel-xplo,bullpadel-xplo-2026,XPLO,cat-padel-rackets,brand-bullpadel,0,0,0,0,2,0,0,alternative,1,thin
prod-bullpadel-xplo-comfort,bullpadel-xplo-comfort-2026,XPLO Comfort,cat-padel-rackets,brand-bullpadel,0,0,0,0,2,0,0,alternative,1,thin
prod-bullpadel-ionic-light,bullpadel-ionic-light-2026,Ionic Light,cat-padel-rackets,brand-bullpadel,0,5,1,0,2,0,0,alternative|best-guide|buying-guide,3,moderate
prod-bullpadel-indiga-ctr,bullpadel-indiga-ctr-2026,Indiga CTR,cat-padel-rackets,brand-bullpadel,1,7,7,1,4,3,0,alternative|best-guide|buying-guide|comparison|gear-setup|review,6,strong
prod-bullpadel-vertex-advance,bullpadel-vertex-advance-2026,Vertex Advance,cat-padel-rackets,brand-bullpadel,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-adidas-metalbone-3-5-2026,adidas-metalbone-3-5-2026,Metalbone 3.5,cat-padel-rackets,brand-adidas-padel,1,4,3,2,6,0,0,alternative|best-guide|buying-guide|comparison|review,5,strong
prod-adidas-metalbone-ctrl,adidas-metalbone-ctrl-2026,Metalbone CTRL,cat-padel-rackets,brand-adidas-padel,0,0,0,0,2,0,0,alternative,1,thin
prod-adidas-metalbone-team-light,adidas-metalbone-team-light-2026,Metalbone Team Light,cat-padel-rackets,brand-adidas-padel,0,0,0,0,2,0,0,alternative,1,thin
prod-adidas-cross-it-light,adidas-cross-it-light-2026,Cross It Light,cat-padel-rackets,brand-adidas-padel,0,0,0,0,2,0,0,alternative,1,thin
prod-adidas-cross-it-ctrl,adidas-cross-it-ctrl-2026,Cross It CTRL,cat-padel-rackets,brand-adidas-padel,0,0,0,0,2,0,0,alternative,1,thin
prod-adidas-arrow-hit-ctrl,adidas-arrow-hit-ctrl-2026,Arrow Hit CTRL,cat-padel-rackets,brand-adidas-padel,0,0,0,0,2,0,0,alternative,1,thin
prod-adidas-arrow-hit-attk,adidas-arrow-hit-2026,Arrow Hit,cat-padel-rackets,brand-adidas-padel,0,0,0,0,2,0,0,alternative,1,thin
prod-adidas-match-light,adidas-match-light-2026,Match Light,cat-padel-rackets,brand-adidas-padel,0,3,0,0,2,0,0,alternative|best-guide,2,moderate
prod-head-coello-motion,head-coello-motion-2026,Coello Motion,cat-padel-rackets,brand-head-padel,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-head-coello-team,head-coello-team-2026,Coello Team,cat-padel-rackets,brand-head-padel,0,3,0,0,2,0,0,alternative|best-guide,2,moderate
prod-head-gravity-pro,head-gravity-pro,Gravity Pro,cat-padel-rackets,brand-head-padel,1,2,0,0,4,0,0,alternative|best-guide|review,3,moderate
prod-head-gravity-motion,head-gravity-motion,Gravity Motion,cat-padel-rackets,brand-head-padel,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-head-speed-pro,head-speed-pro,Speed Pro,cat-padel-rackets,brand-head-padel,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-head-one-ultralight,head-one-ultralight,One Ultralight,cat-padel-rackets,brand-head-padel,0,5,0,0,2,0,0,alternative|best-guide,2,moderate
prod-babolat-air-viper,babolat-air-viper-2-6,Air Viper,cat-padel-rackets,brand-babolat-padel,0,1,0,0,2,0,0,alternative|best-guide,2,moderate
prod-babolat-air-veron,babolat-air-veron-2-6,Air Veron,cat-padel-rackets,brand-babolat-padel,0,2,0,0,2,0,0,alternative|best-guide,2,moderate
prod-siux-electra,siux-electra-pro-2026,Electra Pro,cat-padel-rackets,brand-siux,0,0,0,0,2,0,0,alternative,1,thin
prod-siux-fenix,siux-fenix-pro-2026,Fenix Pro,cat-padel-rackets,brand-siux,0,0,0,0,2,0,0,alternative,1,thin
prod-starvie-astrum,starvie-astrum-plus-2026,Astrum+,cat-padel-rackets,brand-starvie,0,0,0,0,2,0,0,alternative,1,thin
prod-nox-at10-attack-12k-2026,nox-at10-genius-attack-12k-2026,AT10 Genius Attack 12K Alum XTREM 2026,cat-padel-rackets,brand-nox,0,2,0,0,2,0,0,alternative|best-guide,2,moderate
prod-kuikma-pr-hybrid-carbon,kuikma-pr-hybrid-carbon,PR Hybrid Carbon,cat-padel-rackets,brand-kuikma,0,2,0,0,2,0,0,alternative|best-guide,2,moderate
prod-kuikma-pr-comfort-soft,kuikma-pr-comfort-soft,PR Comfort Soft,cat-padel-rackets,brand-kuikma,1,6,4,0,4,1,0,alternative|best-guide|buying-guide|gear-setup|review,5,strong
prod-head-padel-pro-plus,head-padel-pro-plus,Padel Pro+,cat-padel-balls,brand-head-padel,0,5,2,1,1,0,2,alternative|best-guide|buying-guide|comparison|compatible-accessory,5,strong
prod-head-padel-team,head-padel-team,Padel Team,cat-padel-balls,brand-head-padel,0,4,0,0,0,0,2,alternative|best-guide|compatible-accessory,3,moderate
prod-head-padel-one,head-padel-one,Padel One,cat-padel-balls,brand-head-padel,0,1,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-kuikma-pb-speed,kuikma-pb-speed,Padel Speed,cat-padel-balls,brand-kuikma,0,5,3,1,3,2,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup,6,strong
prod-kuikma-pb-control,kuikma-pb-control,PB Control,cat-padel-balls,brand-kuikma,0,4,1,0,1,0,2,alternative|best-guide|buying-guide|compatible-accessory,4,strong
prod-kuikma-pb-club,kuikma-pb-club,PB Club,cat-padel-balls,brand-kuikma,0,1,0,0,0,0,2,alternative|best-guide|compatible-accessory,3,moderate
prod-wilson-padel-premier,wilson-padel-premier,Padel Premier,cat-padel-balls,brand-wilson-padel,0,4,0,1,0,0,2,best-guide|comparison|compatible-accessory,3,moderate
prod-wilson-padel-premier-speed,wilson-padel-premier-speed,Premier Padel Speed,cat-padel-balls,brand-wilson-padel,0,4,2,1,0,0,2,alternative|best-guide|buying-guide|comparison|compatible-accessory,5,strong
prod-bullpadel-premium-pro,bullpadel-premium-pro,Premium Pro,cat-padel-balls,brand-bullpadel,0,2,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-bullpadel-premium-gold,bullpadel-premium-gold,Premium Gold,cat-padel-balls,brand-bullpadel,0,2,0,0,0,0,1,best-guide|compatible-accessory,2,moderate
prod-adidas-aditour-padel,adidas-aditour-padel-balls,Aditour,cat-padel-balls,brand-adidas-padel,0,2,0,0,0,0,1,best-guide|compatible-accessory,2,moderate
prod-adidas-speed-rx,adidas-speed-rx-padel-balls,Speed RX,cat-padel-balls,brand-adidas-padel,0,2,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-babolat-court-padel-balls,babolat-court-padel-balls,Court Padel,cat-padel-balls,brand-babolat-padel,0,1,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-dunlop-pro-padel,dunlop-pro-padel,Fort Padel,cat-padel-balls,brand-dunlop-padel,0,2,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-tecnifibre-padel-team,tecnifibre-padel-team-balls,Padel Team,cat-padel-balls,brand-tecnifibre-padel,0,4,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-nox-at10-team-bag,nox-at10-team-paletero,AT10 Team Paletero,cat-padel-bags,brand-nox,1,7,3,2,6,2,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup|review,7,strong
prod-babolat-rh-pro-padel,babolat-rh-pro-padel,RH Pro Padel,cat-padel-bags,brand-babolat-padel,0,7,2,2,2,1,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup,6,strong
prod-bullpadel-vertex-backpack,bullpadel-vertex-geo-backpack,Vertex Geo Backpack,cat-padel-bags,brand-bullpadel,0,5,1,0,0,0,2,best-guide|buying-guide|compatible-accessory,3,moderate
prod-tecnifibre-tour-endurance-backpack,tecnifibre-tour-endurance-padel-backpack,Tour Endurance Backpack,cat-padel-bags,brand-tecnifibre-padel,0,7,2,1,1,1,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup,6,strong
prod-babolat-court-backpack,babolat-court-backpack,Court S,cat-padel-bags,brand-babolat-padel,0,1,0,0,0,0,1,best-guide|compatible-accessory,2,moderate
prod-adidas-protour-padel,adidas-protour-padel-bag,ProTour 3.5,cat-padel-bags,brand-adidas-padel,0,1,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-head-tour-team-padel,head-tour-team-padel-bag,Tour Team Padel,cat-padel-bags,brand-head-padel,0,0,0,0,0,0,1,compatible-accessory,1,thin
prod-head-elite-backpack,head-elite-padel-backpack,Elite Backpack,cat-padel-bags,brand-head-padel,0,1,0,0,0,0,1,best-guide|compatible-accessory,2,moderate
prod-wilson-super-tour-padel,wilson-super-tour-padel-bag,Bela Super Tour,cat-padel-bags,brand-wilson-padel,0,3,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-kuikma-paletero,kuikma-padel-paletero,Kuikma Paletero,cat-padel-bags,brand-kuikma,0,0,0,0,0,1,1,alternative|compatible-accessory|gear-setup,3,moderate
prod-nox-pro-series-bag,nox-pro-series-padel-bag,Pro Series Bag,cat-padel-bags,brand-nox,0,1,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-nox-at10-xxl-bag,nox-at10-xxl-padel-bag,AT10 XXL,cat-padel-bags,brand-nox,0,6,1,1,1,1,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup,6,strong
prod-siux-paletero,siux-padel-paletero,Siux Paletero,cat-padel-bags,brand-siux,0,0,0,0,0,0,1,compatible-accessory,1,thin
prod-bullpadel-gb1200,bullpadel-hac-overgrip,HaC,cat-padel-grips,brand-bullpadel,1,6,3,1,4,0,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|review,6,strong
prod-nox-pro-overgrip,nox-pro-overgrip,Pro Overgrip,cat-padel-grips,brand-nox,0,6,0,0,0,0,2,alternative|best-guide|compatible-accessory,3,moderate
prod-head-xtreme-soft,head-xtreme-soft-overgrip,Xtreme Soft,cat-padel-grips,brand-head-padel,0,4,0,0,0,0,2,best-guide|compatible-accessory,2,moderate
prod-babolat-pro-response,babolat-pro-response-overgrip,Pro Response,cat-padel-grips,brand-babolat-padel,0,2,0,0,0,0,1,best-guide|compatible-accessory,2,moderate
prod-kuikma-overgrip,kuikma-padel-overgrip,Kuikma Overgrip Pro,cat-padel-grips,brand-kuikma,0,3,0,0,0,1,1,alternative|best-guide|compatible-accessory|gear-setup,4,strong
prod-head-hydrosorb,head-hydrosorb-replacement-grip,Hydrosorb,cat-padel-grips,brand-head-padel,0,2,0,0,0,0,1,alternative|best-guide|compatible-accessory,3,moderate
prod-babolat-syntec-pro,babolat-syntec-pro-replacement-grip,Syntec Pro,cat-padel-grips,brand-babolat-padel,0,0,0,0,0,0,1,compatible-accessory,1,thin
prod-hesacore-padel,hesacore-padel-grip,Hesacore,cat-padel-grips,brand-hesacore,1,6,1,0,3,0,2,alternative|best-guide|buying-guide|compatible-accessory|review,5,strong
prod-adidas-padel-overgrip,adidas-padel-overgrip,Adidas Padel Overgrip,cat-padel-grips,brand-adidas-padel,0,0,0,0,0,0,1,compatible-accessory,1,thin
prod-bullpadel-frame-protector,bullpadel-frame-protector-3-pack,Frame Protector,cat-padel-accessories,brand-bullpadel,0,1,2,1,2,2,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup,6,strong
prod-nox-frame-protector,nox-transparent-frame-protector,Transparent Protector,cat-padel-accessories,brand-nox,0,1,1,1,1,0,1,alternative|best-guide|buying-guide|comparison|compatible-accessory,5,strong
prod-bullpadel-pascal-box,bullpadel-pascal-box-3b,Pascal Box 3B,cat-padel-accessories,brand-bullpadel,1,1,1,1,3,0,2,alternative|best-guide|buying-guide|comparison|compatible-accessory|review,6,strong
prod-head-x3-pressurizer,head-x3-ball-pressurizer,X3 Pressurizer,cat-padel-accessories,brand-head-padel,0,1,1,1,1,1,1,alternative|best-guide|buying-guide|comparison|compatible-accessory|gear-setup,6,strong
prod-bullpadel-custom-weight,bullpadel-protector-custom-weight,Protector Custom Weight,cat-padel-accessories,brand-bullpadel,0,1,2,0,0,0,1,alternative|best-guide|buying-guide|compatible-accessory,4,strong
prod-head-wristband,head-padel-wristband,HEAD Wristband,cat-padel-accessories,brand-head-padel,0,0,0,0,0,0,2,compatible-accessory,1,thin
prod-wilson-wristband,wilson-padel-wristband,Wilson Wristband,cat-padel-accessories,brand-wilson-padel,0,0,0,0,0,0,1,compatible-accessory,1,thin
prod-nox-wristband,nox-padel-wristband,Nox Wristband,cat-padel-accessories,brand-nox,0,0,0,0,0,0,1,compatible-accessory,1,thin
prod-bullpadel-wristband,bullpadel-padel-wristband,Bullpadel Wristband,cat-padel-accessories,brand-bullpadel,0,0,0,0,0,0,1,compatible-accessory,1,thin
prod-head-smartsorb,head-smartsorb,Smartsorb,cat-padel-accessories,brand-head-padel,0,0,0,0,0,0,1,compatible-accessory,1,thin
prod-4on-totalgrip,4on-totalgrip,TotalGrip,cat-padel-accessories,brand-4on,0,0,0,0,0,0,0,,0,zero
prod-adidas-adidas-protector,adidas-adidas-protector,Adidas Protector,cat-padel-accessories,brand-adidas-padel,0,0,0,0,0,0,0,,0,zero
prod-adidas-adidas-wristband,adidas-adidas-wristband,Adidas Wristband,cat-padel-accessories,brand-adidas-padel,0,0,0,0,0,0,0,,0,zero
prod-alacran-alacran-basket,alacran-alacran-basket,Alacran Basket,cat-padel-accessories,brand-alacran,0,0,0,0,0,0,0,,0,zero
prod-alacran-wide-ancha,alacran-wide-ancha,Wide / Ancha,cat-padel-accessories,brand-alacran,0,0,0,0,0,0,0,,0,zero
prod-babolat-babolat-protector,babolat-babolat-protector,Babolat Protector,cat-padel-accessories,brand-babolat-padel,0,0,0,0,0,0,0,,0,zero
prod-babolat-babolat-wristband,babolat-babolat-wristband,Babolat Wristband,cat-padel-accessories,brand-babolat-padel,0,0,0,0,0,0,0,,0,zero
prod-ball-rescuer-ball-rescuer,ball-rescuer-ball-rescuer,Ball Rescuer,cat-padel-accessories,brand-ball-rescuer,0,0,0,0,0,0,0,,0,zero
prod-ball-rescuer-premium,ball-rescuer-premium,Premium,cat-padel-accessories,brand-ball-rescuer,0,0,0,0,0,0,0,,0,zero
prod-black-crown-vibranium-transparent,black-crown-vibranium-transparent,Vibranium Transparent,cat-padel-accessories,brand-black-crown,0,0,0,0,0,0,0,,0,zero
