"surface","slug","asset","role","used_in","duplicate_within_surface"
"pdp","joma-slam-lady","/images/padel/products/joma-slam-lady-hero.jpg","hero","gallery","no"
"pdp","joma-spin-men","/images/padel/products/joma-spin-men-hero.jpg","hero","gallery","no"
"pdp","head-sprint-pro-4-padel","/images/padel/products/head-sprint-pro-4-padel-hero.jpg","hero","gallery","no"
"pdp","wilson-rush-pro-5-padel","/images/padel/products/wilson-rush-pro-5-padel-hero.jpg","hero","gallery","no"
"pdp","kuikma-ps-990","/images/padel/products/kuikma-ps-990-hero.jpg","hero","gallery","no"
"pdp","asics-gel-resolution-padel-women","/images/padel/products/asics-gel-resolution-padel-women-hero.jpg","hero","gallery","no"
"pdp","joma-spin-lady","/images/padel/products/joma-spin-lady-hero.jpg","hero","gallery","no"
"pdp","babolat-jet-premura-2","/images/padel/products/babolat-jet-premura-2-hero.jpg","hero","gallery","no"
"pdp","nox-at10-genius-attack-18k-2026","/images/padel/products/nox-at10-genius-attack-18k-2026-hero.jpg","hero","gallery","no"
"pdp","nox-equation-soft-advanced-2026","/images/padel/products/nox-equation-soft-advanced-2026-hero.jpg","hero","gallery","no"
"pdp","bullpadel-vertex-05-hybrid-2026","/images/padel/products/bullpadel-vertex-05-hybrid-hero.jpg","hero","gallery","no"
"pdp","bullpadel-vertex-05-hybrid-2026","/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-angle.webp","side","gallery","no"
"pdp","bullpadel-vertex-05-hybrid-2026","/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-profile.webp","rear","gallery","no"
"pdp","bullpadel-vertex-05-hybrid-2026","/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-head.webp","top","gallery","no"
"pdp","bullpadel-vertex-05-hybrid-2026","/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-texture.webp","detail","gallery","no"
"pdp","bullpadel-vertex-05-hybrid-2026","/images/padel/products/bullpadel-vertex-05-hybrid/gallery/bullpadel-vertex-05-hybrid-throat.webp","other","gallery","no"
"pdp","bullpadel-vertex-05-w-2026","/images/padel/products/bullpadel-vertex-05-w-hero.jpg","hero","gallery","no"
"pdp","bullpadel-hack-04-hybrid-2026","/images/padel/products/bullpadel-hack-04-hybrid-hero.jpg","hero","gallery","no"
"pdp","bullpadel-hack-04-comfort-2026","/images/padel/products/bullpadel-hack-04-comfort-hero.jpg","hero","gallery","no"
"pdp","bullpadel-neuron-02-2026","/images/padel/products/bullpadel-neuron-02-hero.jpg","hero","gallery","no"
"pdp","bullpadel-neuron-02-edge-2026","/images/padel/products/bullpadel-neuron-02-edge-hero.jpg","hero","gallery","no"
"pdp","bullpadel-xplo-2026","/images/padel/products/bullpadel-xplo-hero.jpg","hero","gallery","no"
"pdp","bullpadel-xplo-comfort-2026","/images/padel/products/bullpadel-xplo-comfort-hero.jpg","hero","gallery","no"
"pdp","bullpadel-ionic-light-2026","/images/padel/products/bullpadel-ionic-light-hero.jpg","hero","gallery","no"
"pdp","bullpadel-indiga-ctr-2026","/images/padel/products/bullpadel-indiga-ctr-hero.jpg","hero","gallery","no"
"pdp","bullpadel-vertex-advance-2026","/images/padel/products/bullpadel-vertex-advance-hero.jpg","hero","gallery","no"
"pdp","adidas-metalbone-3-5-2026","/images/padel/products/adidas-metalbone-3-5-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-metalbone-ctrl-2026","/images/padel/products/adidas-metalbone-ctrl-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-metalbone-team-light-2026","/images/padel/products/adidas-metalbone-team-light-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-cross-it-light-2026","/images/padel/products/adidas-cross-it-light-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-cross-it-ctrl-2026","/images/padel/products/adidas-cross-it-ctrl-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-arrow-hit-ctrl-2026","/images/padel/products/adidas-arrow-hit-ctrl-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-arrow-hit-2026","/images/padel/products/adidas-arrow-hit-attk-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-match-light-2026","/images/padel/products/adidas-match-light-2026-hero.jpg","hero","gallery","no"
"pdp","head-coello-motion-2026","/images/padel/products/head-coello-motion-hero.jpg","hero","gallery","no"
"pdp","head-coello-motion-2026","/images/padel/products/head-coello-motion/gallery/head-coello-motion-angle.webp","side","gallery","no"
"pdp","head-coello-motion-2026","/images/padel/products/head-coello-motion/gallery/head-coello-motion-profile.webp","rear","gallery","no"
"pdp","head-coello-motion-2026","/images/padel/products/head-coello-motion/gallery/head-coello-motion-head.webp","top","gallery","no"
"pdp","head-coello-motion-2026","/images/padel/products/head-coello-motion/gallery/head-coello-motion-texture.webp","detail","gallery","no"
"pdp","head-coello-team-2026","/images/padel/products/head-coello-team-hero.jpg","hero","gallery","no"
"pdp","head-gravity-pro","/images/padel/products/head-gravity-pro-hero.jpg","hero","gallery","no"
"pdp","head-gravity-motion","/images/padel/products/head-gravity-motion-hero.jpg","hero","gallery","no"
"pdp","head-speed-pro","/images/padel/products/head-speed-pro-hero.jpg","hero","gallery","no"
"pdp","head-one-ultralight","/images/padel/products/head-one-ultralight-hero.jpg","hero","gallery","no"
"pdp","babolat-air-viper-2-6","/images/padel/products/babolat-air-viper-hero.jpg","hero","gallery","no"
"pdp","babolat-air-veron-2-6","/images/padel/products/babolat-air-veron-hero.jpg","hero","gallery","no"
"pdp","siux-electra-pro-2026","/images/padel/products/siux-electra-pro-2026-hero.jpg","hero","gallery","no"
"pdp","siux-fenix-pro-2026","/images/padel/products/siux-fenix-pro-2026-hero.jpg","hero","gallery","no"
"pdp","starvie-astrum-plus-2026","/images/padel/products/starvie-astrum-hero.jpg","hero","gallery","no"
"pdp","kuikma-pr-hybrid-carbon","/images/padel/products/kuikma-pr-hybrid-carbon-hero.jpg","hero","gallery","no"
"pdp","kuikma-pr-comfort-soft","/images/padel/products/kuikma-pr-comfort-soft-hero.jpg","hero","gallery","no"
"pdp","head-padel-pro-plus","/images/padel/products/head-padel-pro-plus-hero.jpg","hero","gallery","no"
"pdp","head-padel-team","/images/padel/products/head-padel-team-hero.jpg","hero","gallery","no"
"pdp","head-padel-one","/images/padel/products/head-padel-one-hero.jpg","hero","gallery","no"
"pdp","kuikma-pb-speed","/images/padel/products/kuikma-pb-speed-hero.jpg","hero","gallery","no"
"pdp","kuikma-pb-control","/images/padel/products/kuikma-pb-control-hero.jpg","hero","gallery","no"
"pdp","kuikma-pb-club","/images/padel/balls/kuikma-pb-club-hero.jpg","hero","gallery","no"
"pdp","wilson-padel-premier","/images/padel/products/wilson-padel-premier-hero.jpg","hero","gallery","no"
"pdp","wilson-padel-premier-speed","/images/padel/products/wilson-padel-premier-speed-hero.jpg","hero","gallery","no"
"pdp","bullpadel-premium-pro","/images/padel/products/bullpadel-premium-pro-hero.jpg","hero","gallery","no"
"pdp","adidas-speed-rx-padel-balls","/images/padel/products/adidas-speed-rx-padel-balls-hero.jpg","hero","gallery","no"
"pdp","babolat-court-padel-balls","/images/padel/products/babolat-court-padel-balls-hero.jpg","hero","gallery","no"
"pdp","dunlop-pro-padel","/images/padel/products/dunlop-pro-padel-hero.jpg","hero","gallery","no"
"pdp","tecnifibre-padel-team-balls","/images/padel/products/tecnifibre-padel-team-balls-hero.jpg","hero","gallery","no"
"pdp","nox-at10-team-paletero","/images/padel/products/nox-at10-team-paletero-hero.jpg","hero","gallery","no"
"pdp","babolat-rh-pro-padel","/images/padel/products/babolat-rh-pro-padel-hero.jpg","hero","gallery","no"
"pdp","bullpadel-vertex-geo-backpack","/images/padel/products/bullpadel-vertex-geo-backpack-hero.jpg","hero","gallery","no"
"pdp","tecnifibre-tour-endurance-padel-backpack","/images/padel/products/tecnifibre-tour-endurance-padel-backpack-hero.jpg","hero","gallery","no"
"pdp","babolat-court-backpack","/images/padel/products/babolat-court-backpack-hero.jpg","hero","gallery","no"
"pdp","adidas-protour-padel-bag","/images/padel/products/adidas-protour-padel-bag-hero.jpg","hero","gallery","no"
"pdp","head-tour-team-padel-bag","/images/padel/bags/head-tour-team-padel-hero.jpg","hero","gallery","no"
"pdp","head-elite-padel-backpack","/images/padel/products/head-elite-padel-backpack-hero.jpg","hero","gallery","no"
"pdp","wilson-super-tour-padel-bag","/images/padel/products/wilson-super-tour-padel-bag-hero.jpg","hero","gallery","no"
"pdp","nox-at10-xxl-padel-bag","/images/padel/products/nox-at10-xxl-padel-bag-hero.jpg","hero","gallery","no"
"pdp","bullpadel-hac-overgrip","/images/padel/products/bullpadel-hac-overgrip-hero.jpg","hero","gallery","no"
"pdp","nox-pro-overgrip","/images/padel/products/nox-pro-overgrip-hero.jpg","hero","gallery","no"
"pdp","head-xtreme-soft-overgrip","/images/padel/products/head-xtreme-soft-overgrip-hero.jpg","hero","gallery","no"
"pdp","babolat-pro-response-overgrip","/images/padel/products/babolat-pro-response-overgrip-hero.jpg","hero","gallery","no"
"pdp","kuikma-padel-overgrip","/images/padel/products/kuikma-padel-overgrip-hero.jpg","hero","gallery","no"
"pdp","babolat-syntec-pro-replacement-grip","/images/padel/products/babolat-syntec-pro-replacement-grip-hero.jpg","hero","gallery","no"
"pdp","hesacore-padel-grip","/images/padel/products/hesacore-padel-grip-hero.jpg","hero","gallery","no"
"pdp","adidas-padel-overgrip","/images/padel/grips/adidas-padel-overgrip-hero.jpg","hero","gallery","no"
"pdp","bullpadel-frame-protector-3-pack","/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg","hero","gallery","no"
"pdp","nox-transparent-frame-protector","/images/padel/products/nox-transparent-frame-protector-hero.jpg","hero","gallery","no"
"pdp","bullpadel-pascal-box-3b","/images/padel/products/bullpadel-pascal-box-3b-hero.jpg","hero","gallery","no"
"pdp","head-x3-ball-pressurizer","/images/padel/products/head-x3-ball-pressurizer-hero.jpg","hero","gallery","no"
"pdp","bullpadel-protector-custom-weight","/images/padel/products/bullpadel-protector-custom-weight-hero.jpg","hero","gallery","no"
"pdp","4on-totalgrip","/images/padel/accessories/4on-totalgrip-hero.jpg","hero","gallery","no"
"pdp","ball-rescuer-ball-rescuer","/images/padel/accessories/ball-rescuer-ball-rescuer-hero.jpg","hero","gallery","no"
"pdp","black-crown-black-crown-wristband","/images/padel/accessories/black-crown-black-crown-wristband-hero.jpg","hero","gallery","no"
"pdp","bullpadel-custom-weight-grip","/images/padel/accessories/bullpadel-custom-weight-grip-hero.jpg","hero","gallery","no"
"pdp","bullpadel-frame-protector-uni","/images/padel/accessories/bullpadel-frame-protector-uni-hero.jpg","hero","gallery","no"
"pdp","enebe-enebe-protector-line","/images/padel/accessories/enebe-enebe-protector-line-hero.jpg","hero","gallery","no"
"pdp","head-antishock-skin","/images/padel/accessories/head-antishock-skin-hero.jpg","hero","gallery","no"
"pdp","head-x3-pump","/images/padel/accessories/head-x3-pump-hero.jpg","hero","gallery","no"
"pdp","nox-weight-balancer-2-4g","/images/padel/accessories/nox-weight-balancer-2-4g-hero.jpg","hero","gallery","no"
"pdp","shockout-gravity","/images/padel/accessories/shockout-gravity-hero.jpg","hero","gallery","no"
"pdp","softee-softee-protector","/images/padel/accessories/softee-softee-protector-hero.jpg","hero","gallery","no"
"pdp","starvie-transparent-protector-2026","/images/padel/accessories/starvie-transparent-protector-2026-hero.jpg","hero","gallery","no"
"pdp","vibora-vibor-a-transparent","/images/padel/accessories/vibora-vibor-a-transparent-hero.jpg","hero","gallery","no"
"pdp","adidas-control-2026","/images/padel/bags/adidas-control-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-protour-backpack-2026","/images/padel/bags/adidas-protour-backpack-2026-hero.jpg","hero","gallery","no"
"pdp","adidas-tour","/images/padel/bags/adidas-tour-hero.jpg","hero","gallery","no"
"pdp","babolat-rh-perf","/images/padel/bags/babolat-rh-perf-hero.jpg","hero","gallery","no"
"pdp","black-crown-spartan","/images/padel/bags/black-crown-spartan-hero.jpg","hero","gallery","no"
"pdp","black-crown-thunder","/images/padel/bags/black-crown-thunder-hero.jpg","hero","gallery","no"
"pdp","black-crown-ultimate-pro-2-0","/images/padel/bags/black-crown-ultimate-pro-2-0-hero.jpg","hero","gallery","no"
"pdp","bullpadel-casual-bpp26016","/images/padel/bags/bullpadel-casual-bpp26016-hero.jpg","hero","gallery","no"
"pdp","bullpadel-elite-bpp26019","/images/padel/bags/bullpadel-elite-bpp26019-hero.jpg","hero","gallery","no"
"pdp","bullpadel-icon-bpp26023","/images/padel/bags/bullpadel-icon-bpp26023-hero.jpg","hero","gallery","no"
"pdp","bullpadel-ionic-bpp26005","/images/padel/bags/bullpadel-ionic-bpp26005-hero.jpg","hero","gallery","no"
"pdp","bullpadel-neuron-bpm26020","/images/padel/bags/bullpadel-neuron-bpm26020-hero.jpg","hero","gallery","no"
"pdp","bullpadel-pearl-bpm27017","/images/padel/bags/bullpadel-pearl-bpm27017-hero.jpg","hero","gallery","no"
"pdp","bullpadel-tour-bpp26015","/images/padel/bags/bullpadel-tour-bpp26015-hero.jpg","hero","gallery","no"
"pdp","bullpadel-wonder-bpp26024","/images/padel/bags/bullpadel-wonder-bpp26024-hero.jpg","hero","gallery","no"
"pdp","bullpadel-xplo-bpp26022","/images/padel/bags/bullpadel-xplo-bpp26022-hero.jpg","hero","gallery","no"
"pdp","bullpadel-bpm26002-hack","/images/padel/bags/bullpadel-bpm26002-hack-hero.jpg","hero","gallery","no"
"pdp","bullpadel-bpm26007-bpm26008-vertex","/images/padel/bags/bullpadel-bpm26007-bpm26008-vertex-hero.jpg","hero","gallery","no"
"pdp","bullpadel-bpp26001-vertex","/images/padel/bags/bullpadel-bpp26001-vertex-hero.jpg","hero","gallery","no"
"pdp","bullpadel-bpp26022-xplo","/images/padel/bags/bullpadel-bpp26022-xplo-hero.jpg","hero","gallery","no"
"pdp","drop-shot-blitz","/images/padel/bags/drop-shot-blitz-hero.jpg","hero","gallery","no"
"pdp","head-coello-pro-x-backpack","/images/padel/bags/head-coello-pro-x-backpack-hero.jpg","hero","gallery","no"
"pdp","head-coello-pro-x-duffle-l","/images/padel/bags/head-coello-pro-x-duffle-l-hero.jpg","hero","gallery","no"
"pdp","head-coello-tour-backpack","/images/padel/bags/head-coello-tour-backpack-hero.jpg","hero","gallery","no"
"pdp","head-coello-tour-bag","/images/padel/bags/head-coello-tour-bag-hero.jpg","hero","gallery","no"
"pdp","head-tour-backpack-25l","/images/padel/bags/head-tour-backpack-25l-hero.jpg","hero","gallery","no"
"pdp","head-pro-x-bag-l","/images/padel/bags/head-pro-x-bag-l-hero.jpg","hero","gallery","no"
"pdp","kuikma-pl-900-elite","/images/padel/bags/kuikma-pl-900-elite-hero.jpg","hero","gallery","no"
"pdp","lok-aventure-gen-2","/images/padel/bags/lok-aventure-gen-2-hero.jpg","hero","gallery","no"
"pdp","lok-maxx-gen-2-paletero","/images/padel/bags/lok-maxx-gen-2-hero.jpg","hero","gallery","no"
"pdp","nox-at10-competition-trolley","/images/padel/bags/nox-at10-competition-trolley-hero.jpg","hero","gallery","no"
"pdp","nox-at10-team","/images/padel/bags/nox-at10-team-hero.jpg","hero","gallery","no"
"pdp","nox-luxury-master-backpack","/images/padel/bags/nox-luxury-master-backpack-hero.jpg","hero","gallery","no"
"pdp","nox-luxury-master-series","/images/padel/bags/nox-luxury-master-series-hero.jpg","hero","gallery","no"
"pdp","nox-luxury-open-backpack","/images/padel/bags/nox-luxury-open-backpack-hero.jpg","hero","gallery","no"
"pdp","nox-luxury-open-series","/images/padel/bags/nox-luxury-open-series-hero.jpg","hero","gallery","no"
"pdp","nox-pro-series-backpack","/images/padel/bags/nox-pro-series-backpack-hero.jpg","hero","gallery","no"
"pdp","oxdog-hyper-tour-thermo-backpack","/images/padel/bags/oxdog-hyper-tour-thermo-backpack-hero.jpg","hero","gallery","no"
"pdp","royal-padel-force","/images/padel/bags/royal-padel-force-hero.jpg","hero","gallery","no"
"pdp","siux-nomad","/images/padel/bags/siux-nomad-hero.jpg","hero","gallery","no"
"pdp","siux-electra-stupa-2026","/images/padel/bags/siux-electra-stupa-2026-hero.jpg","hero","gallery","no"
"pdp","siux-tour","/images/padel/bags/siux-tour-hero.jpg","hero","gallery","no"
"pdp","siux-trail","/images/padel/bags/siux-trail-hero.jpg","hero","gallery","no"
"pdp","starvie-hard-eva","/images/padel/bags/starvie-hard-eva-hero.jpg","hero","gallery","no"
"pdp","starvie-hard-eva-backpack","/images/padel/bags/starvie-hard-eva-backpack-hero.jpg","hero","gallery","no"
"pdp","starvie-pro-master","/images/padel/bags/starvie-pro-master-hero.jpg","hero","gallery","no"
"pdp","starvie-tactic-pro","/images/padel/bags/starvie-tactic-pro-hero.jpg","hero","gallery","no"
"pdp","tecnifibre-tour-endurance-bag","/images/padel/bags/tecnifibre-tour-endurance-bag-hero.jpg","hero","gallery","no"
"pdp","varlion-summum-pro","/images/padel/bags/varlion-summum-pro-hero.jpg","hero","gallery","no"
"pdp","wilson-bela-super-tour-backpack","/images/padel/bags/wilson-bela-super-tour-backpack-hero.jpg","hero","gallery","no"
"pdp","wilson-super-tour-2026","/images/padel/bags/wilson-super-tour-2026-hero.jpg","hero","gallery","no"
"pdp","babolat-court","/images/padel/balls/babolat-court-hero.jpg","hero","gallery","no"
"pdp","black-crown-one","/images/padel/balls/black-crown-one-hero.jpg","hero","gallery","no"
"pdp","black-crown-pro","/images/padel/balls/black-crown-pro-hero.jpg","hero","gallery","no"
"pdp","bullpadel-fip-next-pro","/images/padel/balls/bullpadel-fip-next-pro-hero.jpg","hero","gallery","no"
"pdp","bullpadel-next","/images/padel/balls/bullpadel-next-hero.jpg","hero","gallery","no"
"pdp","drop-shot-speed-tech","/images/padel/balls/drop-shot-speed-tech-hero.jpg","hero","gallery","no"
"pdp","drop-shot-tournament-tech","/images/padel/balls/drop-shot-tournament-tech-hero.jpg","hero","gallery","no"
