category,productId,slug,brand,heroSrc,sourceUrl,visualReview
"bags","prod-nox-at10-team-bag","nox-at10-team-paletero","nox","/images/padel/products/nox-at10-team-paletero-hero.jpg","https://noxsport.com/en/products/paletero-at10-team-grey-black","PENDING_HUMAN"
"bags","prod-babolat-rh-pro-padel","babolat-rh-pro-padel","babolat","/images/padel/products/babolat-rh-pro-padel-hero.jpg","https://www.babolat.com/us/rh-pro/759020.html","PENDING_HUMAN"
"bags","prod-bullpadel-vertex-backpack","bullpadel-vertex-geo-backpack","bullpadel","/images/padel/products/bullpadel-vertex-geo-backpack-hero.jpg","https://www.padelmq.com/en-nl/products/bullpadel-vertex-geo-rugzak-intense-blue-2026","PENDING_HUMAN"
"bags","prod-tecnifibre-tour-endurance-backpack","tecnifibre-tour-endurance-padel-backpack","tecnifibre-padel","/images/padel/products/tecnifibre-tour-endurance-padel-backpack-hero.jpg","https://www.padelmq.com/en-nl/products/tecnifibre-tour-endurance-rugzak-caqui","PENDING_HUMAN"
"bags","prod-babolat-court-backpack","babolat-court-backpack","babolat","/images/padel/products/babolat-court-backpack-hero.jpg","https://www.babolat.com/us/court-s/102-759022.html","PENDING_HUMAN"
"bags","prod-adidas-protour-padel","adidas-protour-padel-bag","adidas-padel","/images/padel/products/adidas-protour-padel-bag-hero.jpg","https://www.padelmq.com/en-nl/products/adidas-padeltas-protour-3-5-blauw-brons-2026","PENDING_HUMAN"
"bags","prod-head-tour-team-padel","head-tour-team-padel-bag","head","/images/padel/bags/head-tour-team-padel-hero.jpg","https://www.padelmq.com/products/head-tour-padel-l-blauwe-padeltas-2026?_pos=1&_psq=head+Tour+Team+Padel&_psid=d6834d8fc&_ss=e","PENDING_HUMAN"
"bags","prod-head-elite-backpack","head-elite-padel-backpack","head","/images/padel/products/head-elite-padel-backpack-hero.jpg","https://www.tennis-point.co.uk/products/head-tour-team-elite-backpack-limeblue-00637502591000","PENDING_HUMAN"
"bags","prod-wilson-super-tour-padel","wilson-super-tour-padel-bag","wilson","/images/padel/products/wilson-super-tour-padel-bag-hero.jpg","https://www.padelmq.com/en-nl/products/wilson-bela-super-tour-padel-tas-rood","PENDING_HUMAN"
"bags","prod-nox-at10-xxl-bag","nox-at10-xxl-padel-bag","nox","/images/padel/products/nox-at10-xxl-padel-bag-hero.jpg","https://www.padelmq.com/en-eu/products/nox-at10-xxl-padel-bag-black-red-agustin-tapia","PENDING_HUMAN"
"bags","prod-adidas-control-2026","adidas-control-2026","adidas-padel","/images/padel/bags/adidas-control-2026-hero.jpg","https://padelproshop.com/en-de/products/padel-bag-adidas-control-white-2026","PENDING_HUMAN"
"bags","prod-adidas-protour-backpack-2026","adidas-protour-backpack-2026","adidas-padel","/images/padel/bags/adidas-protour-backpack-2026-hero.jpg","https://www.padelnuestro.com/uk/bag-adidas-protour-2026-ab1ma6u26","PENDING_HUMAN"
"bags","prod-adidas-tour","adidas-tour","adidas-padel","/images/padel/bags/adidas-tour-hero.jpg","https://www.padelmq.com/products/adidas-padeltas-tour-3-5-silver-2026?_pos=1&_psq=adidas+Tour&_psid=674e7ab7e&_ss=e","PENDING_HUMAN"
"bags","prod-babolat-rh-perf","babolat-rh-perf","babolat","/images/padel/bags/babolat-rh-perf-hero.jpg","https://www.babolat.com/us/rh-perf/759021.html","PENDING_HUMAN"
"bags","prod-black-crown-spartan","black-crown-spartan","black-crown","/images/padel/bags/black-crown-spartan-hero.jpg","https://www.padelmq.com/nl-nl/products/black-crown-spartan-rugzak-zwart-rood","PENDING_HUMAN"
"bags","prod-black-crown-thunder","black-crown-thunder","black-crown","/images/padel/bags/black-crown-thunder-hero.jpg","https://www.padelshack.com/product/black-crown-thunder-padel-bag-2026-blackblack/","PENDING_HUMAN"
"bags","prod-black-crown-ultimate-pro-2-0","black-crown-ultimate-pro-2-0","black-crown","/images/padel/bags/black-crown-ultimate-pro-2-0-hero.jpg","https://www.padelshack.com/product/black-crown-ultimate-pro-20-padel-racket-bag-2025-navy/","PENDING_HUMAN"
"bags","prod-bullpadel-casual-bpp26016","bullpadel-casual-bpp26016","bullpadel","/images/padel/bags/bullpadel-casual-bpp26016-hero.jpg","https://www.padelmq.com/products/bullpadel-padeltas-casual-zwart-2026?_pos=1&_psq=bullpadel+Casual+BPP26016&_psid=1e4019b93&_ss=e","PENDING_HUMAN"
"bags","prod-bullpadel-elite-bpp26019","bullpadel-elite-bpp26019","bullpadel","/images/padel/bags/bullpadel-elite-bpp26019-hero.jpg","https://www.padelmq.com/products/bullpadel-padeltas-elite-2025?_pos=1&_psq=bullpadel+Elite+BPP26019&_psid=a3156dcd3&_ss=e","PENDING_HUMAN"
"bags","prod-bullpadel-icon-bpp26023","bullpadel-icon-bpp26023","bullpadel","/images/padel/bags/bullpadel-icon-bpp26023-hero.jpg","https://www.padelmq.com/products/bullpadel-icon-2026?_pos=1&_psq=bullpadel+Icon+BPP26023&_psid=88dc90a77&_ss=e","PENDING_HUMAN"
"bags","prod-bullpadel-ionic-bpp26005","bullpadel-ionic-bpp26005","bullpadel","/images/padel/bags/bullpadel-ionic-bpp26005-hero.jpg","https://www.padelmq.com/products/bullpadel-ionic-control-2025?_pos=1&_psq=bullpadel+Ionic+BPP26005&_psid=4a59d8039&_ss=e","PENDING_HUMAN"
"bags","prod-bullpadel-neuron-bpm26020","bullpadel-neuron-bpm26020","bullpadel","/images/padel/bags/bullpadel-neuron-bpm26020-hero.jpg","https://www.padelmq.com/products/bullpadel-neuron-2025?_pos=1&_psq=bullpadel+Neuron+BPM26020&_psid=b8d253a38&_ss=e","PENDING_HUMAN"
"bags","prod-bullpadel-pearl-bpm27017","bullpadel-pearl-bpm27017","bullpadel","/images/padel/bags/bullpadel-pearl-bpm27017-hero.jpg","https://www.padelmq.com/products/bullpadel-pearl-2026?_pos=1&_psq=bullpadel+Pearl+BPM27017&_psid=c7ec28c48&_ss=e","PENDING_HUMAN"
"bags","prod-bullpadel-tour-bpp26015","bullpadel-tour-bpp26015","bullpadel","/images/padel/bags/bullpadel-tour-bpp26015-hero.jpg","https://www.padelmq.com/products/bullpadel-premier-padel-tour-crudo-2026?_pos=1&_psq=bullpadel+Tour+BPP26015&_psid=a0dd10ed9&_ss=e","PENDING_HUMAN"
"bags","prod-bullpadel-wonder-bpp26024","bullpadel-wonder-bpp26024","bullpadel","/images/padel/bags/bullpadel-wonder-bpp26024-hero.jpg","https://www.padelmq.com/products/bullpadel-wonder-2026-kopie?_pos=1&_psq=bullpadel+Wonder+BPP26024&_psid=b2f00312e&_ss=e","PENDING_HUMAN"
"grips","prod-wilson-overgrip","wilson-padel-overgrip-pack","wilson","/images/padel/products/wilson-padel-overgrip-hero.jpg","https://www.zonadepadel.es/wilson-padel/8056-overgrip-wilson-pro-padel-3pk-blanco.html","PENDING_HUMAN"
"grips","prod-bullpadel-gb1200","bullpadel-hac-overgrip","bullpadel","/images/padel/products/bullpadel-hac-overgrip-hero.jpg","https://www.zonadepadel.uk/bullpadel/1390-overgrips-gb1200-blancos.html","PENDING_HUMAN"
"grips","prod-nox-pro-overgrip","nox-pro-overgrip","nox","/images/padel/products/nox-pro-overgrip-hero.jpg","https://www.padelmq.com/en-nl/products/nox-pro-overgrip-wit-3-pack","PENDING_HUMAN"
"grips","prod-head-xtreme-soft","head-xtreme-soft-overgrip","head","/images/padel/products/head-xtreme-soft-overgrip-hero.jpg","https://www.padelmq.com/en-nl/products/head-xtreme-soft-overgrip-wit","PENDING_HUMAN"
"grips","prod-babolat-pro-response","babolat-pro-response-overgrip","babolat","/images/padel/products/babolat-pro-response-overgrip-hero.jpg","https://www.babolat.com/gb/pro-response-x3/653048.html","PENDING_HUMAN"
"grips","prod-kuikma-overgrip","kuikma-padel-overgrip","kuikma","/images/padel/products/kuikma-padel-overgrip-hero.jpg","https://www.decathlon.sg/p/padel-overgrip-pro-kuikma-8981669.html","PENDING_HUMAN"
"grips","prod-babolat-syntec-pro","babolat-syntec-pro-replacement-grip","babolat","/images/padel/products/babolat-syntec-pro-replacement-grip-hero.jpg","https://www.babolat.com/us/syntec-pro/670051.html","PENDING_HUMAN"
"grips","prod-hesacore-padel","hesacore-padel-grip","hesacore","/images/padel/products/hesacore-padel-grip-hero.jpg","https://www.padelmq.com/en-nl/products/hesacore-grip","PENDING_HUMAN"
"grips","prod-adidas-padel-overgrip","adidas-padel-overgrip","adidas-padel","/images/padel/grips/adidas-padel-overgrip-hero.jpg","https://www.padelmq.com/products/adidas-overgrip-oranje?_pos=1&_psq=adidas+Adidas+Padel+Overgrip&_psid=d20f41bf6&_ss=e","PENDING_HUMAN"
"grips","prod-babolat-vs-original","babolat-vs-original","babolat","/images/padel/grips/babolat-vs-original-hero.jpg","https://tennisshot.gr/en-gb/babolat-vs-original-white-x1-padel","PENDING_HUMAN"
"grips","prod-black-crown-black-crown-perforated","black-crown-black-crown-perforated","black-crown","/images/padel/grips/black-crown-black-crown-perforated-hero.jpg","https://www.padelmq.com/products/black-crown-patron-xtrem-2025?_pos=1&_psq=black-crown+Black+Crown+Perforated&_psid=c033de535&_ss=e","PENDING_HUMAN"
"grips","prod-bullpadel-comfort-overgrip","bullpadel-comfort-overgrip","bullpadel","/images/padel/grips/bullpadel-comfort-overgrip-hero.jpg","https://www.padelmq.com/products/bullpadel-overgrips-geel?_pos=1&_psq=bullpadel+Comfort+Overgrip&_psid=d32335c4b&_ss=e","PENDING_HUMAN"
"grips","prod-drop-shot-club","drop-shot-club","drop-shot","/images/padel/grips/drop-shot-club-hero.jpg","https://www.padelnuestro.com/int/3-pack-of-drop-shot-club-overgrips","PENDING_HUMAN"
"grips","prod-drop-shot-super-tacky","drop-shot-super-tacky","drop-shot","/images/padel/grips/drop-shot-super-tacky-hero.jpg","https://www.padelnuestro.com/uk/tub-of-drop-shot-super-tacky-x60-overgrips-30041-p","PENDING_HUMAN"
"grips","prod-head-xtreme-soft-xtremesoft","head-xtreme-soft-xtremesoft","head","/images/padel/grips/head-xtreme-soft-xtremesoft-hero.jpg","https://padel.how/equipment/overgrip/head-xtremesoft-overgrip-review/","PENDING_HUMAN"
"accessories","prod-bullpadel-frame-protector","bullpadel-frame-protector-3-pack","bullpadel","/images/padel/products/bullpadel-frame-protector-3-pack-hero.jpg","https://www.padelmq.com/en-nl/products/bullpadel-frame-protector-zwart-3-stuks","PENDING_HUMAN"
"accessories","prod-nox-frame-protector","nox-transparent-frame-protector","nox","/images/padel/products/nox-transparent-frame-protector-hero.jpg","https://www.padelmq.com/en-nl/products/nox-protection-tape-transparant-framebeschermer","PENDING_HUMAN"
"accessories","prod-bullpadel-pascal-box","bullpadel-pascal-box-3b","bullpadel","/images/padel/products/bullpadel-pascal-box-3b-hero.jpg","https://www.padelmq.com/en-nl/products/pascal-box-3b","PENDING_HUMAN"
"accessories","prod-head-x3-pressurizer","head-x3-ball-pressurizer","head","/images/padel/products/head-x3-ball-pressurizer-hero.jpg","https://padelproshop.com/en/products/pressurizer-head-x3-pump","PENDING_HUMAN"
"accessories","prod-bullpadel-custom-weight","bullpadel-protector-custom-weight","bullpadel","/images/padel/products/bullpadel-protector-custom-weight-hero.jpg","https://www.padelmq.com/en-nl/products/bullpadel-protector-custom-weight-4-stuks","PENDING_HUMAN"
"accessories","prod-4on-totalgrip","4on-totalgrip","4on","/images/padel/accessories/4on-totalgrip-hero.jpg","https://www.4on.store/products/totalgrip/4on-totalgrip-spray","PENDING_HUMAN"
"accessories","prod-ball-rescuer-ball-rescuer","ball-rescuer-ball-rescuer","ball-rescuer","/images/padel/accessories/ball-rescuer-ball-rescuer-hero.jpg","https://ballrescuer.com/en-nl","PENDING_HUMAN"
"accessories","prod-black-crown-black-crown-wristband","black-crown-black-crown-wristband","black-crown","/images/padel/accessories/black-crown-black-crown-wristband-hero.jpg","https://www.padelmq.com/products/black-crown-polsbanden-2-stuks?_pos=1&_psq=black-crown+Black+Crown+Wristband&_psid=1f5bd4f50&_ss=e","PENDING_HUMAN"
"accessories","prod-bullpadel-custom-weight-grip","bullpadel-custom-weight-grip","bullpadel","/images/padel/accessories/bullpadel-custom-weight-grip-hero.jpg","https://www.padelnuestro.com/int/box-12-pcs-blister-3-pcs-protector-bullpadel-custom-weight-black-111273-p","PENDING_HUMAN"
"accessories","prod-bullpadel-frame-protector-uni","bullpadel-frame-protector-uni","bullpadel","/images/padel/accessories/bullpadel-frame-protector-uni-hero.jpg","https://www.padelmq.com/products/bullpadel-frame-guard-transparant-3-stuks?_pos=1&_psq=bullpadel+Frame+Protector+Uni&_psid=e92e20b70&_ss=e","PENDING_HUMAN"
"accessories","prod-enebe-enebe-protector-line","enebe-enebe-protector-line","enebe","/images/padel/accessories/enebe-enebe-protector-line-hero.jpg","https://www.padelmq.com/products/enebe-dentado-frame-protector-zwart?_pos=1&_psq=enebe+Enebe+Protector+line&_psid=d76accf8c&_ss=e","PENDING_HUMAN"
"accessories","prod-head-antishock-skin","head-antishock-skin","head","/images/padel/accessories/head-antishock-skin-hero.jpg","https://www.padelmq.com/products/head-anti-shock-skin-protector-transparant?_pos=1&_psq=head+Antishock+Skin&_psid=36af542d2&_ss=e","PENDING_HUMAN"
"accessories","prod-head-x3-pump","head-x3-pump","head","/images/padel/accessories/head-x3-pump-hero.jpg","https://padelproshop.com/en/products/pressurizer-head-x3-pump","PENDING_HUMAN"
"accessories","prod-nox-weight-balancer-2-4g","nox-weight-balancer-2-4g","nox","/images/padel/accessories/nox-weight-balancer-2-4g-hero.jpg","https://www.extreme-tennis.eu/padel-accessories/23570-nox-weight-balancer-padel.html","PENDING_HUMAN"
"accessories","prod-shockout-gravity","shockout-gravity","shockout","/images/padel/accessories/shockout-gravity-hero.jpg","https://www.shockout.es/tienda/gravity/gravity/","PENDING_HUMAN"
