productId,categoryId,brandId,name,lifecycleStatus,publicationStatus,completeness,requiredFilled,requiredTerminal,importantFilled,importantTerminal,optionalFilled,verifiedFieldCount,notPublishedCount,unknownCount,sourceCoveragePct,identityNotes
prod-head-extreme-motion-2026,cat-padel-rackets,brand-head-padel,Extreme Motion,current,published,VERIFIED_COMPLETE,3,0,6,1,6,15,4,0,100,
prod-tecnifibre-wall-breaker-365-2026,cat-padel-rackets,brand-tecnifibre-padel,Wall Breaker 365,current,published,VERIFIED_COMPLETE,3,0,6,1,5,14,5,0,100,
prod-oxdog-sense-pro-2026,cat-padel-rackets,brand-oxdog,Sense Pro,current,published,VERIFIED_COMPLETE,3,0,5,2,4,12,7,0,100,
prod-royal-padel-rp-m27-2026,cat-padel-rackets,brand-royal-padel,M27 Poly,current,published,VERIFIED_COMPLETE,3,0,5,2,6,14,5,0,100,
prod-black-crown-special-one-soft,cat-padel-rackets,brand-black-crown,Special One Soft,current,draft,VERIFIED_COMPLETE,3,0,5,2,3,11,8,0,100,
prod-lok-maxx-flow,cat-padel-rackets,brand-lok,Maxx Flow,current,published,VERIFIED_COMPLETE,3,0,5,2,3,11,8,0,100,
prod-asics-gel-resolution-padel,cat-padel-shoes,brand-asics,Gel-Resolution Padel,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-asics-gel-challenger-court,cat-padel-shoes,brand-asics,Gel-Challenger Court,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-babolat-jet-premura,cat-padel-shoes,brand-babolat-padel,Jet Premura,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-joma-t-slam,cat-padel-shoes,brand-joma,T.Slam,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-head-revolt-pro-court,cat-padel-shoes,brand-head-padel,Revolt Pro Court,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-adidas-crazyquick-boost-m,cat-padel-shoes,brand-adidas-padel,Crazyquick Boost Padel,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-adidas-courtquick-w,cat-padel-shoes,brand-adidas-padel,Courtquick Padel Women,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-adidas-crazyquick-boost-w,cat-padel-shoes,brand-adidas-padel,Crazyquick Boost Padel Women,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-asics-gel-dedicate-8-padel,cat-padel-shoes,brand-asics,Gel-Dedicate 8 Padel,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-asics-game-ff-padel,cat-padel-shoes,brand-asics,Game FF Padel,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-asics-solution-swift-ff2-padel,cat-padel-shoes,brand-asics,Solution Swift FF 2 Padel,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-bullpadel-hybrid-fly,cat-padel-shoes,brand-bullpadel,Fastgear,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-bullpadel-ionic-woman,cat-padel-shoes,brand-bullpadel,Ionic Woman,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-nox-at10-lux,cat-padel-shoes,brand-nox,AT10 Lux,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-nox-ml10-hexa,cat-padel-shoes,brand-nox,ML10 Hexa,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-babolat-movea-2,cat-padel-shoes,brand-babolat-padel,Movea 2,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-babolat-sensa-women,cat-padel-shoes,brand-babolat-padel,Sensa Women,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-joma-slam-lady,cat-padel-shoes,brand-joma,Slam Lady,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-joma-spin-men,cat-padel-shoes,brand-joma,Spin Men,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-head-sprint-pro-4-padel,cat-padel-shoes,brand-head-padel,Sprint Pro 4.0 Padel,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-wilson-rush-pro-5-padel,cat-padel-shoes,brand-wilson-padel,Rush Pro 5 Padel,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-siux-diablo-pro,cat-padel-shoes,brand-siux,Diablo Pro,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-siux-comodo-woman,cat-padel-shoes,brand-siux,Comodo Woman,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-starvie-absolute-padel,cat-padel-shoes,brand-starvie,Absolute Padel,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-kuikma-ps-990,cat-padel-shoes,brand-kuikma,PS 990,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-kuikma-ps-560-women,cat-padel-shoes,brand-kuikma,PS 560 Women,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-oxdog-hyper-court,cat-padel-shoes,brand-oxdog,Hyper Court,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-asics-gel-resolution-padel-w,cat-padel-shoes,brand-asics,Gel-Resolution Padel Women,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-asics-solution-swift-padel-w,cat-padel-shoes,brand-asics,Solution Swift FF Padel Women,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-adidas-solecourt-boost-padel,cat-padel-shoes,brand-adidas-padel,Solecourt Boost Padel,current,draft,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,100,
prod-head-revolt-court,cat-padel-shoes,brand-head-padel,Revolt Court,current,draft,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-wilson-bela-pro-padel,cat-padel-shoes,brand-wilson-padel,Bela Pro Padel,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-joma-spin-lady,cat-padel-shoes,brand-joma,Spin Lady,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-bullpadel-hack-hybrid,cat-padel-shoes,brand-bullpadel,Hack Hybrid,current,draft,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,100,
prod-nox-at10-pro-shoe,cat-padel-shoes,brand-nox,AT10 Pro,current,draft,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,100,
prod-babolat-jet-premura-2-men,cat-padel-shoes,brand-babolat-padel,Jet Premura 2,current,published,VERIFIED_COMPLETE,1,0,6,0,4,11,5,0,0,
prod-tecnifibre-t-fight-padel,cat-padel-shoes,brand-tecnifibre-padel,Wall Shooter,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-varlion-bourne-padel-shoe,cat-padel-shoes,brand-varlion,Bourne Padel,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-lok-padel-one,cat-padel-shoes,brand-lok,Padel One,current,draft,COMPLETE_WITH_UNKNOWN,0,1,4,2,0,4,11,1,0,Shoe surfaceCompatibility unknown — not inferred.
prod-nox-at10-attack-18k-2026,cat-padel-rackets,brand-nox,AT10 Genius Attack 18K Alum 2026,current,published,VERIFIED_COMPLETE,3,0,7,0,7,17,2,0,100,
prod-nox-equation-soft-2026,cat-padel-rackets,brand-nox,Equation Soft Advanced 2026,current,published,VERIFIED_COMPLETE,3,0,7,0,7,17,2,0,100,
prod-bullpadel-vertex-05-hybrid,cat-padel-rackets,brand-bullpadel,Vertex 05 Hybrid,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-bullpadel-vertex-05-w,cat-padel-rackets,brand-bullpadel,Vertex 05 W,current,published,VERIFIED_COMPLETE,3,0,7,0,5,15,4,0,100,
prod-bullpadel-hack-04-hybrid,cat-padel-rackets,brand-bullpadel,Hack 04 Hybrid,current,published,VERIFIED_COMPLETE,3,0,7,0,7,17,2,0,100,
prod-bullpadel-hack-04-comfort,cat-padel-rackets,brand-bullpadel,Hack 04 Comfort,current,published,VERIFIED_COMPLETE,3,0,7,0,5,15,4,0,100,
prod-bullpadel-neuron-02,cat-padel-rackets,brand-bullpadel,Neuron 02,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-bullpadel-neuron-02-edge,cat-padel-rackets,brand-bullpadel,Neuron 02 Edge,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-bullpadel-xplo,cat-padel-rackets,brand-bullpadel,XPLO,current,published,VERIFIED_COMPLETE,3,0,7,0,7,17,2,0,100,
prod-bullpadel-xplo-comfort,cat-padel-rackets,brand-bullpadel,XPLO Comfort,current,published,VERIFIED_COMPLETE,3,0,7,0,4,14,5,0,100,
prod-bullpadel-ionic-light,cat-padel-rackets,brand-bullpadel,Ionic Light,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-bullpadel-indiga-ctr,cat-padel-rackets,brand-bullpadel,Indiga CTR,current,published,VERIFIED_COMPLETE,3,0,6,1,6,15,4,0,100,
prod-bullpadel-vertex-advance,cat-padel-rackets,brand-bullpadel,Vertex Advance,current,published,VERIFIED_COMPLETE,3,0,7,0,4,14,5,0,100,
prod-adidas-metalbone-3-5-2026,cat-padel-rackets,brand-adidas-padel,Metalbone 3.5,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-adidas-metalbone-ctrl,cat-padel-rackets,brand-adidas-padel,Metalbone CTRL,current,published,VERIFIED_COMPLETE,3,0,7,0,6,16,3,0,100,
prod-adidas-metalbone-team-light,cat-padel-rackets,brand-adidas-padel,Metalbone Team Light,current,published,VERIFIED_COMPLETE,3,0,7,0,4,14,5,0,100,
prod-adidas-cross-it-light,cat-padel-rackets,brand-adidas-padel,Cross It Light,current,published,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-adidas-cross-it-ctrl,cat-padel-rackets,brand-adidas-padel,Cross It CTRL,current,published,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-adidas-arrow-hit-ctrl,cat-padel-rackets,brand-adidas-padel,Arrow Hit CTRL,current,published,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-adidas-arrow-hit-attk,cat-padel-rackets,brand-adidas-padel,Arrow Hit,current,published,VERIFIED_COMPLETE,3,0,4,3,3,10,9,0,100,
prod-adidas-match-light,cat-padel-rackets,brand-adidas-padel,Match Light,current,published,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-head-coello-motion,cat-padel-rackets,brand-head-padel,Coello Motion,current,published,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-head-coello-team,cat-padel-rackets,brand-head-padel,Coello Team,current,published,VERIFIED_COMPLETE,3,0,5,2,5,13,6,0,100,
prod-head-gravity-pro,cat-padel-rackets,brand-head-padel,Gravity Pro,current,published,VERIFIED_COMPLETE,3,0,6,1,4,13,6,0,100,
prod-head-gravity-motion,cat-padel-rackets,brand-head-padel,Gravity Motion,current,published,VERIFIED_COMPLETE,3,0,6,1,4,13,6,0,100,
prod-head-speed-pro,cat-padel-rackets,brand-head-padel,Speed Pro,current,published,VERIFIED_COMPLETE,3,0,6,1,4,13,6,0,100,
prod-head-one-ultralight,cat-padel-rackets,brand-head-padel,One Ultralight,current,published,VERIFIED_COMPLETE,3,0,6,1,5,14,5,0,100,
prod-babolat-air-viper,cat-padel-rackets,brand-babolat-padel,Air Viper,current,published,VERIFIED_COMPLETE,3,0,6,1,4,13,6,0,100,
prod-babolat-air-veron,cat-padel-rackets,brand-babolat-padel,Air Veron,current,published,VERIFIED_COMPLETE,3,0,6,1,3,12,7,0,100,
prod-siux-electra,cat-padel-rackets,brand-siux,Electra Pro,current,published,VERIFIED_COMPLETE,3,0,5,2,3,11,8,0,100,
prod-siux-fenix,cat-padel-rackets,brand-siux,Fenix Pro,current,published,VERIFIED_COMPLETE,3,0,5,2,3,11,8,0,100,
prod-starvie-astrum,cat-padel-rackets,brand-starvie,Astrum+,current,published,VERIFIED_COMPLETE,3,0,6,1,5,14,5,0,100,
prod-nox-at10-attack-12k-2026,cat-padel-rackets,brand-nox,AT10 Genius Attack 12K Alum XTREM 2026,current,draft,VERIFIED_COMPLETE,3,0,7,0,5,15,4,0,100,
prod-kuikma-pr-hybrid-carbon,cat-padel-rackets,brand-kuikma,PR Hybrid Carbon,current,published,VERIFIED_COMPLETE,3,0,7,0,5,15,4,0,100,
prod-kuikma-pr-comfort-soft,cat-padel-rackets,brand-kuikma,PR Comfort Soft,current,published,VERIFIED_COMPLETE,3,0,4,3,4,11,8,0,100,
prod-head-padel-pro-plus,cat-padel-balls,brand-head-padel,Padel Pro+,current,published,VERIFIED_COMPLETE,5,0,4,0,4,13,5,0,100,
prod-head-padel-team,cat-padel-balls,brand-head-padel,Padel Team,current,published,VERIFIED_COMPLETE,5,0,3,1,1,9,9,0,100,
prod-head-padel-one,cat-padel-balls,brand-head-padel,Padel One,current,published,VERIFIED_COMPLETE,5,0,3,1,0,8,10,0,100,
prod-kuikma-pb-speed,cat-padel-balls,brand-kuikma,Padel Speed,current,published,VERIFIED_COMPLETE,5,0,4,0,1,10,8,0,100,
prod-kuikma-pb-control,cat-padel-balls,brand-kuikma,PB Control,current,published,VERIFIED_COMPLETE,5,0,4,0,1,10,8,0,100,
prod-kuikma-pb-club,cat-padel-balls,brand-kuikma,PB Club,current,published,VERIFIED_COMPLETE,5,0,3,1,0,8,10,0,100,
prod-wilson-padel-premier,cat-padel-balls,brand-wilson-padel,Padel Premier,current,published,VERIFIED_COMPLETE,5,0,3,1,2,10,8,0,100,
prod-wilson-padel-premier-speed,cat-padel-balls,brand-wilson-padel,Premier Padel Speed,current,published,VERIFIED_COMPLETE,5,0,4,0,3,12,6,0,100,
prod-bullpadel-premium-pro,cat-padel-balls,brand-bullpadel,Premium Pro,current,published,VERIFIED_COMPLETE,5,0,3,1,0,8,10,0,100,
prod-bullpadel-premium-gold,cat-padel-balls,brand-bullpadel,Premium Gold,discontinued,draft,BLOCKED,5,0,2,2,0,7,10,0,100,
prod-adidas-aditour-padel,cat-padel-balls,brand-adidas-padel,Aditour,discontinued,draft,BLOCKED,5,0,2,2,0,7,10,0,100,
prod-adidas-speed-rx,cat-padel-balls,brand-adidas-padel,Speed RX,current,published,VERIFIED_COMPLETE,5,0,3,1,1,9,9,0,100,
prod-babolat-court-padel-balls,cat-padel-balls,brand-babolat-padel,Court Padel,current,published,VERIFIED_COMPLETE,5,0,3,1,0,8,10,0,100,
prod-dunlop-pro-padel,cat-padel-balls,brand-dunlop-padel,Fort Padel,current,published,VERIFIED_COMPLETE,5,0,4,0,0,9,9,0,100,
prod-tecnifibre-padel-team,cat-padel-balls,brand-tecnifibre-padel,Padel Team,current,published,VERIFIED_COMPLETE,5,0,3,1,1,9,9,0,100,
prod-nox-at10-team-bag,cat-padel-bags,brand-nox,AT10 Team Paletero,current,published,VERIFIED_COMPLETE,1,0,4,1,2,7,13,0,100,
prod-babolat-rh-pro-padel,cat-padel-bags,brand-babolat-padel,RH Pro Padel,current,published,VERIFIED_COMPLETE,1,0,4,1,2,7,13,0,100,
prod-bullpadel-vertex-backpack,cat-padel-bags,brand-bullpadel,Vertex Geo Backpack,current,published,VERIFIED_COMPLETE,1,0,4,1,2,7,13,0,100,
prod-tecnifibre-tour-endurance-backpack,cat-padel-bags,brand-tecnifibre-padel,Tour Endurance Backpack,current,published,VERIFIED_COMPLETE,1,0,4,1,1,6,14,0,100,
prod-babolat-court-backpack,cat-padel-bags,brand-babolat-padel,Court S,current,published,VERIFIED_COMPLETE,1,0,4,1,2,7,13,0,100,
prod-adidas-protour-padel,cat-padel-bags,brand-adidas-padel,ProTour 3.5,current,published,VERIFIED_COMPLETE,1,0,4,1,1,6,14,0,100,
prod-head-tour-team-padel,cat-padel-bags,brand-head-padel,Tour Team Padel,current,published,VERIFIED_COMPLETE,1,0,3,2,0,4,16,0,100,
prod-head-elite-backpack,cat-padel-bags,brand-head-padel,Elite Backpack,current,published,VERIFIED_COMPLETE,1,0,4,1,2,7,13,0,100,
prod-wilson-super-tour-padel,cat-padel-bags,brand-wilson-padel,Bela Super Tour,current,published,VERIFIED_COMPLETE,1,0,4,1,1,6,14,0,100,
prod-kuikma-paletero,cat-padel-bags,brand-kuikma,Kuikma Paletero,current,published,VERIFIED_COMPLETE,1,0,3,2,0,4,16,0,100,
prod-nox-pro-series-bag,cat-padel-bags,brand-nox,Pro Series Bag,current,draft,VERIFIED_COMPLETE,1,0,3,2,0,4,16,0,100,
prod-nox-at10-xxl-bag,cat-padel-bags,brand-nox,AT10 XXL,current,published,VERIFIED_COMPLETE,1,0,4,1,2,7,13,0,100,
prod-siux-paletero,cat-padel-bags,brand-siux,Siux Paletero,current,published,VERIFIED_COMPLETE,1,0,3,2,0,4,16,0,100,
prod-bullpadel-gb1200,cat-padel-grips,brand-bullpadel,HaC,current,published,VERIFIED_COMPLETE,1,0,2,3,3,6,11,0,94,
prod-nox-pro-overgrip,cat-padel-grips,brand-nox,Pro Overgrip,current,published,VERIFIED_COMPLETE,1,0,4,1,3,8,9,0,94,
prod-head-xtreme-soft,cat-padel-grips,brand-head-padel,Xtreme Soft,current,published,VERIFIED_COMPLETE,1,0,3,2,3,7,10,0,94,
prod-babolat-pro-response,cat-padel-grips,brand-babolat-padel,Pro Response,current,published,VERIFIED_COMPLETE,1,0,3,2,3,7,10,0,94,
prod-kuikma-overgrip,cat-padel-grips,brand-kuikma,Kuikma Overgrip Pro,current,published,VERIFIED_COMPLETE,1,0,3,2,3,7,10,0,94,
prod-head-hydrosorb,cat-padel-grips,brand-head-padel,Hydrosorb,current,published,VERIFIED_COMPLETE,1,0,1,4,3,5,12,0,94,
prod-babolat-syntec-pro,cat-padel-grips,brand-babolat-padel,Syntec Pro,current,published,VERIFIED_COMPLETE,1,0,3,2,3,7,10,0,94,
prod-hesacore-padel,cat-padel-grips,brand-hesacore,Hesacore,current,published,VERIFIED_COMPLETE,1,0,1,4,6,8,9,0,94,
prod-adidas-padel-overgrip,cat-padel-grips,brand-adidas-padel,Adidas Padel Overgrip,current,published,VERIFIED_COMPLETE,1,0,0,5,2,3,14,0,94,
prod-bullpadel-frame-protector,cat-padel-accessories,brand-bullpadel,Frame Protector,current,published,VERIFIED_COMPLETE,1,0,2,2,0,5,3,0,88,
prod-nox-frame-protector,cat-padel-accessories,brand-nox,Transparent Protector,current,published,VERIFIED_COMPLETE,1,0,2,2,0,5,3,0,88,
prod-bullpadel-pascal-box,cat-padel-accessories,brand-bullpadel,Pascal Box 3B,current,published,VERIFIED_COMPLETE,3,0,2,2,0,6,5,0,91,
prod-head-x3-pressurizer,cat-padel-accessories,brand-head-padel,X3 Pressurizer,current,published,VERIFIED_COMPLETE,3,0,2,2,0,6,5,0,91,
prod-bullpadel-custom-weight,cat-padel-accessories,brand-bullpadel,Protector Custom Weight,current,published,VERIFIED_COMPLETE,1,0,1,1,0,4,3,0,86,
prod-head-wristband,cat-padel-accessories,brand-head-padel,HEAD Wristband,current,published,VERIFIED_COMPLETE,1,0,1,0,0,2,3,0,80,
prod-wilson-wristband,cat-padel-accessories,brand-wilson-padel,Wilson Wristband,current,published,VERIFIED_COMPLETE,1,0,1,0,0,2,3,0,80,
prod-nox-wristband,cat-padel-accessories,brand-nox,Nox Wristband,current,published,VERIFIED_COMPLETE,1,0,1,0,0,2,3,0,80,
prod-bullpadel-wristband,cat-padel-accessories,brand-bullpadel,Bullpadel Wristband,current,published,VERIFIED_COMPLETE,1,0,1,0,0,2,3,0,80,
prod-head-smartsorb,cat-padel-accessories,brand-head-padel,Smartsorb,current,published,VERIFIED_COMPLETE,1,0,1,0,0,2,3,0,80,
prod-4on-totalgrip,cat-padel-accessories,brand-4on,TotalGrip,current,published,VERIFIED_COMPLETE,1,0,1,0,1,3,2,0,80,
prod-adidas-adidas-protector,cat-padel-accessories,brand-adidas-padel,Adidas Protector,current,published,VERIFIED_COMPLETE,1,0,1,3,1,3,3,0,83,
prod-adidas-adidas-wristband,cat-padel-accessories,brand-adidas-padel,Adidas Wristband,current,published,VERIFIED_COMPLETE,1,0,1,0,1,3,2,0,80,
prod-alacran-alacran-basket,cat-padel-accessories,brand-alacran,Alacran Basket,current,published,VERIFIED_COMPLETE,1,0,1,1,1,3,3,0,83,
prod-alacran-wide-ancha,cat-padel-accessories,brand-alacran,Wide / Ancha,current,draft,VERIFIED_COMPLETE,1,0,1,0,1,3,2,0,80,
prod-babolat-babolat-protector,cat-padel-accessories,brand-babolat-padel,Babolat Protector,current,published,VERIFIED_COMPLETE,1,0,1,3,1,3,3,0,83,
prod-babolat-babolat-wristband,cat-padel-accessories,brand-babolat-padel,Babolat Wristband,current,published,VERIFIED_COMPLETE,1,0,1,0,1,3,2,0,80,
prod-ball-rescuer-ball-rescuer,cat-padel-accessories,brand-ball-rescuer,Ball Rescuer,current,published,VERIFIED_COMPLETE,2,1,1,3,1,4,6,0,90,
prod-ball-rescuer-premium,cat-padel-accessories,brand-ball-rescuer,Premium,current,draft,VERIFIED_COMPLETE,2,1,1,3,0,3,7,0,90,
prod-black-crown-vibranium-transparent,cat-padel-accessories,brand-black-crown,Vibranium Transparent,current,published,VERIFIED_COMPLETE,1,0,1,3,1,3,3,0,83,
prod-black-crown-black-crown-wristband,cat-padel-accessories,brand-black-crown,Black Crown Wristband,current,published,VERIFIED_COMPLETE,1,0,1,0,1,3,2,0,80,
prod-bounce-bounce-padel-x4,cat-padel-accessories,brand-bounce-tube,Bounce Padel X4,current,draft,VERIFIED_COMPLETE,3,0,1,3,1,5,5,0,90,
prod-bullpadel-bpmu252-bpmu253,cat-padel-accessories,brand-bullpadel,BPMU252 / BPMU253,current,published,VERIFIED_COMPLETE,1,0,1,0,1,3,2,0,80,
prod-bullpadel-pascal-box-switch-3b,cat-padel-accessories,brand-bullpadel,Pascal Box Switch 3B,current,draft,VERIFIED_COMPLETE,3,0,1,3,0,4,6,0,90,
prod-bullpadel-custom-weight-grip,cat-padel-accessories,brand-bullpadel,Custom Weight Grip,current,published,VERIFIED_COMPLETE,1,0,1,1,1,3,2,0,80,
prod-bullpadel-frame-protector-uni,cat-padel-accessories,brand-bullpadel,Frame Protector Uni,current,published,VERIFIED_COMPLETE,1,0,1,3,1,3,3,0,83,
prod-bullpadel-bullpadel-headband,cat-padel-accessories,brand-bullpadel,Bullpadel Headband,current,published,VERIFIED_COMPLETE,1,0,1,0,1,3,2,0,80,
prod-bullpadel-metalshield,cat-padel-accessories,brand-bullpadel,Metalshield,current,published,VERIFIED_COMPLETE,1,0,1,1,1,3,2,0,80,
prod-bullpadel-pascal-box-4b,cat-padel-accessories,brand-bullpadel,Pascal Box 4B,current,draft,VERIFIED_COMPLETE,3,0,1,3,1,5,5,0,90,
