slug,group,vertical,categoryId,quality,clusterClass,maxPeerSimilarity,nearestPeer,editorialReady,eligReasons
asics-game-ff-padel,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.526,asics-solution-swift-ff2-padel,true,vertical_hold
asics-gel-challenger-15,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.613,asics-gel-resolution-9,true,vertical_hold
asics-gel-challenger-court,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.615,joma-t-slam,true,vertical_hold
asics-gel-dedicate-8,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.629,adidas-barricade-13,true,vertical_hold
asics-gel-dedicate-8-padel,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.614,asics-gel-challenger-court,true,vertical_hold
asics-gel-quantum-360-8,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.623,hoka-transport,true,vertical_hold
asics-gel-resolution-9,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.614,wilson-rush-pro-4-0,true,vertical_hold
asics-gel-resolution-9-clay,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.568,wilson-rush-pro-ace,true,vertical_hold
asics-gel-resolution-padel,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.611,asics-gel-challenger-court,true,vertical_hold
asics-solution-speed-ff-3,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.603,adidas-solematch-control-2,true,vertical_hold
asics-solution-swift-ff2-padel,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.579,kuikma-ps-990,true,vertical_hold
assaultbike-classic,VERTICAL_HOLD_ONLY,HYROX,cat-air-bikes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.528,schwinn-airdyne-ad8,true,vertical_hold
assaultbike-elite,VERTICAL_HOLD_ONLY,HYROX,cat-air-bikes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.606,rogue-echo-bike,true,vertical_hold
atx-cast-iron-plate-set,VERTICAL_HOLD_ONLY,Fitness,cat-weight-plates,LAUNCH_READY,GENUINELY_UNIQUE,0.445,rogue-echo-bumper-plate-set,true,vertical_hold
atx-fid-bench,VERTICAL_HOLD_ONLY,Fitness,cat-weight-benches,LAUNCH_READY,GENUINELY_UNIQUE,0.476,rogue-flat-utility-bench,true,vertical_hold
babolat-counter-viper-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.547,starvie-titania-kepler-2026,true,vertical_hold
babolat-jet-mach-3,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.616,wilson-rush-pro-4-0,true,vertical_hold
babolat-jet-premura,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.599,joma-slam-lady,true,vertical_hold
babolat-movea-2,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.635,joma-spin-men,true,vertical_hold
babolat-pure-aero-2023,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.568,yonex-vcore-100-2023,true,vertical_hold
babolat-pure-aero-2026,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.522,yonex-vcore-100-2023,true,vertical_hold
babolat-pure-drive-2025,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.561,dunlop-cx-200,true,vertical_hold
babolat-pure-drive-gen11,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.502,wilson-clash-100-v3,true,vertical_hold
babolat-sensa-women,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.626,nox-ml10-hexa,true,vertical_hold
babolat-technical-viper-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.620,bullpadel-vertex-04,true,vertical_hold
blackroll-ball,VERTICAL_HOLD_ONLY,Fitness,cat-lifting-accessories,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.507,eleiko-sport-collars,true,vertical_hold
blackroll-duoball,VERTICAL_HOLD_ONLY,Fitness,cat-lifting-accessories,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.668,blackroll-standard,true,vertical_hold
blackroll-med,VERTICAL_HOLD_ONLY,Fitness,cat-lifting-accessories,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.548,blackroll-duoball,true,vertical_hold
blackroll-standard,VERTICAL_HOLD_ONLY,Fitness,cat-lifting-accessories,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.668,blackroll-duoball,true,vertical_hold
bowflex-selecttech-1090,VERTICAL_HOLD_ONLY,Fitness,cat-adjustable-dumbbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.560,nuobell-50,true,vertical_hold
bullpadel-hack-03,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.588,bullpadel-vertex-04,true,vertical_hold
bullpadel-hack-04-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.520,bullpadel-vertex-05-2026,true,vertical_hold
bullpadel-hybrid-fly,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.598,joma-t-slam,true,vertical_hold
bullpadel-ionic-woman,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.585,adidas-crazyquick-boost-padel-women,true,vertical_hold
bullpadel-vertex-04,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.620,babolat-technical-viper-2026,true,vertical_hold
bullpadel-vertex-05-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.520,bullpadel-hack-04-2026,true,vertical_hold
concept2-bikeerg,VERTICAL_HOLD_ONLY,HYROX,cat-air-bikes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.481,assaultbike-elite,true,vertical_hold
concept2-rowerg,VERTICAL_HOLD_ONLY,HYROX,cat-rowing-machines,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.626,hydrow-wave,true,vertical_hold
concept2-rowerg-dynamic,VERTICAL_HOLD_ONLY,HYROX,cat-rowing-machines,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.530,mirafit-magnetic-rower,true,vertical_hold
concept2-skierg,VERTICAL_HOLD_ONLY,HYROX,cat-ski-ergs,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.496,concept2-skierg-floor-stand,true,vertical_hold
concept2-skierg-floor-stand,VERTICAL_HOLD_ONLY,HYROX,cat-ski-ergs,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.617,concept2-skierg-with-stand,true,vertical_hold
concept2-skierg-with-stand,VERTICAL_HOLD_ONLY,HYROX,cat-ski-ergs,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.617,concept2-skierg-floor-stand,true,vertical_hold
do-win-classic,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.582,nike-savaleos,true,vertical_hold
dunlop-cx-200,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.561,babolat-pure-drive-2025,true,vertical_hold
eleiko-kettlebell,VERTICAL_HOLD_ONLY,HYROX,cat-kettlebells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.611,rogue-kettlebell,true,vertical_hold
eleiko-performance-weightlifting-bar,VERTICAL_HOLD_ONLY,Fitness,cat-barbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.602,rogue-ohio-bar,true,vertical_hold
eleiko-sport-bumper-set,VERTICAL_HOLD_ONLY,Fitness,cat-weight-plates,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.533,rogue-echo-bumper-plate-set,true,vertical_hold
eleiko-sport-collars,VERTICAL_HOLD_ONLY,Fitness,cat-lifting-accessories,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.507,blackroll-ball,true,vertical_hold
eleiko-xf-bar,VERTICAL_HOLD_ONLY,Fitness,cat-barbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.627,rogue-ohio-power-bar,true,vertical_hold
gornation-premium-pull-up-bar,VERTICAL_HOLD_ONLY,Fitness,cat-pull-up-bars,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.508,rogue-monster-lite-pull-up-bar,true,vertical_hold
gravity-fitness-parallettes,VERTICAL_HOLD_ONLY,Fitness,cat-parallettes,LAUNCH_READY,GENUINELY_UNIQUE,0.417,pullup-and-dip-parallettes,true,vertical_hold
gravity-fitness-weighted-vest,VERTICAL_HOLD_ONLY,HYROX,cat-weighted-vests,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.507,rogue-plate-carrier-vest,true,vertical_hold
head-coello-pro-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,GENUINELY_UNIQUE,0.477,kuikma-pr-soft-500,true,vertical_hold
head-radical-mp-2023,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.551,dunlop-cx-200,true,vertical_hold
head-revolt-pro-court,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.584,bullpadel-ionic-woman,true,vertical_hold
head-speed-mp-2024,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.596,wilson-clash-100-v2,true,vertical_hold
head-sprint-pro-4-padel,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.640,joma-spin-men,true,vertical_hold
hoka-transport,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.623,asics-gel-quantum-360-8,true,vertical_hold
horizon-t202-treadmill,VERTICAL_HOLD_ONLY,HYROX,cat-treadmills,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.504,mirafit-folding-treadmill,true,vertical_hold
hydrow-wave,VERTICAL_HOLD_ONLY,HYROX,cat-rowing-machines,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.626,concept2-rowerg,true,vertical_hold
inov8-f-lite-235-v3,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.547,puma-fuse-3,true,vertical_hold
inov8-f-lite-260,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.595,reebok-nano-court,true,vertical_hold
inov8-fastlift-360,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.607,adidas-dropset-3,true,vertical_hold
inov8-fastlift-400,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.589,ua-reign-lifter,true,vertical_hold
inov8-fastlift-power-g-380,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.586,nike-savaleos,true,vertical_hold
joma-slam-lady,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.599,babolat-jet-premura,true,vertical_hold
joma-spin-men,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.642,nox-ml10-hexa,true,vertical_hold
joma-t-slam,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.615,asics-gel-challenger-court,true,vertical_hold
k-swiss-hypercourt-express-2,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.569,asics-gel-challenger-15,true,vertical_hold
k-swiss-ultrashot-3,VERTICAL_HOLD_ONLY,Padel,cat-tennis-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.557,adidas-solematch-control-2,true,vertical_hold
kuikma-pr-soft-500,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.565,nox-ml10-pro-cup-2026,true,vertical_hold
kuikma-ps-990,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.622,adidas-courtquick-padel-women,true,vertical_hold
lok-maxx-flow,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,GENUINELY_UNIQUE,0.475,head-coello-pro-2026,true,vertical_hold
lululemon-strongfeel,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.605,reebok-nano-x3,true,vertical_hold
mirafit-air-bike,VERTICAL_HOLD_ONLY,HYROX,cat-air-bikes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.614,schwinn-airdyne-ad8,true,vertical_hold
mirafit-battle-rope,VERTICAL_HOLD_ONLY,HYROX,cat-functional-fitness,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.574,rogue-sandbag,true,vertical_hold
mirafit-folding-rower,VERTICAL_HOLD_ONLY,HYROX,cat-rowing-machines,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.519,mirafit-magnetic-rower,true,vertical_hold
mirafit-m3-power-rack,VERTICAL_HOLD_ONLY,Fitness,cat-power-racks,LAUNCH_READY,GENUINELY_UNIQUE,0.458,mirafit-m4-cage,true,vertical_hold
mirafit-m4-cage,VERTICAL_HOLD_ONLY,Fitness,cat-power-racks,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.547,rep-pr-4000,true,vertical_hold
mirafit-magnetic-rower,VERTICAL_HOLD_ONLY,HYROX,cat-rowing-machines,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.530,concept2-rowerg-dynamic,true,vertical_hold
mirafit-olympic-barbell,VERTICAL_HOLD_ONLY,Fitness,cat-barbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.518,rogue-ohio-bar,true,vertical_hold
mirafit-weighted-vest,VERTICAL_HOLD_ONLY,HYROX,cat-weighted-vests,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.487,rogue-plate-carrier-vest,true,vertical_hold
nb-minimus-tr,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.623,nobull-trainer,true,vertical_hold
nike-free-metcon-6,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.592,nobull-trainer,true,vertical_hold
nike-metcon-8,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.576,puma-fuse-3,true,vertical_hold
nike-metcon-9,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.616,salming-rebel,true,vertical_hold
nike-romaleos-4,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.593,adidas-dropset-2,true,vertical_hold
nike-romaleos-5,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.602,inov8-fastlift-360,true,vertical_hold
nike-savaleos,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.656,reebok-lifter-pr-iii,true,vertical_hold
nobull-outwork,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.617,tyr-cxt-2,true,vertical_hold
nobull-trainer,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.623,nb-minimus-tr,true,vertical_hold
nobull-trainer-plus,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.622,reebok-nano-x3,true,vertical_hold
nox-at10-genius-12k-alum-xtrem-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,GENUINELY_UNIQUE,0.398,bullpadel-vertex-05-2026,true,vertical_hold
nox-at10-genius-18k-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.513,babolat-counter-viper-2026,true,vertical_hold
nox-at10-lux,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.599,wilson-rush-pro-5-padel,true,vertical_hold
nox-ml10-hexa,VERTICAL_HOLD_ONLY,Padel,cat-padel-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.642,joma-spin-men,true,vertical_hold
nox-ml10-pro-cup-2026,VERTICAL_HOLD_ONLY,Padel,cat-padel-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.565,kuikma-pr-soft-500,true,vertical_hold
nuobell-50,VERTICAL_HOLD_ONLY,Fitness,cat-adjustable-dumbbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.560,bowflex-selecttech-1090,true,vertical_hold
nuobell-80,VERTICAL_HOLD_ONLY,Fitness,cat-adjustable-dumbbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.540,powerblock-pro-series-50,true,vertical_hold
powerblock-elite-exp-90,VERTICAL_HOLD_ONLY,Fitness,cat-adjustable-dumbbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.586,powerblock-pro-series-100,true,vertical_hold
powerblock-pro-series-100,VERTICAL_HOLD_ONLY,Fitness,cat-adjustable-dumbbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.586,powerblock-elite-exp-90,true,vertical_hold
powerblock-pro-series-50,VERTICAL_HOLD_ONLY,Fitness,cat-adjustable-dumbbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.540,nuobell-80,true,vertical_hold
prince-textreme-tour-100p,VERTICAL_HOLD_ONLY,Tennis,cat-tennis-rackets,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.547,wilson-clash-100-v2,true,vertical_hold
pullup-and-dip-parallettes,VERTICAL_HOLD_ONLY,Fitness,cat-parallettes,LAUNCH_READY,GENUINELY_UNIQUE,0.417,gravity-fitness-parallettes,true,vertical_hold
pullup-and-dip-wall-bar,VERTICAL_HOLD_ONLY,Fitness,cat-pull-up-bars,LAUNCH_READY,GENUINELY_UNIQUE,0.400,gornation-premium-pull-up-bar,true,vertical_hold
puma-fuse-3,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.576,nike-metcon-8,true,vertical_hold
puma-fuse-fasted,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.567,reebok-nano-court,true,vertical_hold
reebok-legacy-lifter-iii,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.566,reebok-nano-x3,true,vertical_hold
reebok-lifter-pr-iii,VERTICAL_HOLD_ONLY,Fitness,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.656,nike-savaleos,true,vertical_hold
reebok-nano-court,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.595,inov8-f-lite-260,true,vertical_hold
reebok-nano-x3,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.622,nobull-trainer-plus,true,vertical_hold
reebok-nano-x4,VERTICAL_HOLD_ONLY,HYROX,cat-training-shoes,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.583,nobull-outwork,true,vertical_hold
rep-ab-5000-zero-gap,VERTICAL_HOLD_ONLY,Fitness,cat-weight-benches,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.586,rep-fb-5000-flat-bench,true,vertical_hold
rep-ab-5200,VERTICAL_HOLD_ONLY,Fitness,cat-weight-benches,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.490,rogue-flat-utility-bench,true,vertical_hold
rep-black-bumper-plate-set,VERTICAL_HOLD_ONLY,Fitness,cat-weight-plates,LAUNCH_READY,GENUINELY_UNIQUE,0.475,eleiko-sport-bumper-set,true,vertical_hold
rep-colorado-bar,VERTICAL_HOLD_ONLY,Fitness,cat-barbells,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.564,eleiko-xf-bar,true,vertical_hold
rep-fb-5000-flat-bench,VERTICAL_HOLD_ONLY,Fitness,cat-weight-benches,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.586,rep-ab-5000-zero-gap,true,vertical_hold
rep-pr-4000,VERTICAL_HOLD_ONLY,Fitness,cat-power-racks,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.547,mirafit-m4-cage,true,vertical_hold
rep-pr-5000,VERTICAL_HOLD_ONLY,Fitness,cat-power-racks,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.515,rep-pr-4000,true,vertical_hold
rep-slam-ball,VERTICAL_HOLD_ONLY,HYROX,cat-functional-fitness,LAUNCH_READY,TEMPLATE_SIMILAR_ACCEPTABLE,0.667,rogue-wall-ball,true,vertical_hold
