issue_id,severity,url,page_type,entity_slug,section,issue_class,issue_subclass,rendered_excerpt,image_path,related_entity,root_cause,source_file,source_field,transform,component,detector_that_should_have_caught_it,why_detector_missed,recommended_fix_class,confidence,status
RQ-00011,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,section:sec-ride,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Ride adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadiospro4 adidasadizeroadiospro4drop6 6dropadidasadizeroadiospro4 adidasadizeroadiospro4cushionlevelhigh highcushionleveladidasadizeroadiospro4 adidasadizeroadiospro4cushionfeelfirm firmcushionfeeladidasadize…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-ride,enrichReviewForPage preserves overlay,ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00012,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,section:sec-ride,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Ride adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadiospro4 adidasadizeroadiospro4drop6 6dropadidasadizeroadiospro4 adidasadizeroadiospro4cushionlevelhigh highcushionleveladidasadizeroadiospro4 adidasadizeroadiospro4cushionfeelfirm firmcushionfeeladidasadize…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-ride,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00013,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,section:sec-stability,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Stability firmcushionfeeladidasadizeroadiospro4 adidasadizeroadiospro4stabilityneutral neutralstabilityadidasadizeroadiospro4 adidasadizeroadiospro4ridecharacterresponsive responsiveridecharacteradidasadizeroadiospro4 adidasadizeroadiospro4energyreturnveryhigh veryhighenergyretu…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-stability,enrichReviewForPage preserves overlay,ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00014,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,section:sec-stability,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Stability firmcushionfeeladidasadizeroadiospro4 adidasadizeroadiospro4stabilityneutral neutralstabilityadidasadizeroadiospro4 adidasadizeroadiospro4ridecharacterresponsive responsiveridecharacteradidasadizeroadiospro4 adidasadizeroadiospro4energyreturnveryhigh veryhighenergyretu…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-stability,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00015,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,section:sec-upper,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Upper & lockdown adidasadizeroadiospro4upperlightweightmeshcelermesh skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 ad…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-upper,enrichReviewForPage preserves overlay,ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00016,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,section:sec-upper,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Upper & lockdown adidasadizeroadiospro4upperlightweightmeshcelermesh skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 ad…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-upper,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00017,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,section:sec-grip,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Grip & outsole adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadiospro4 adidasadizeroadiospro4drop6 6dropadidasadizeroadiospro4 adidasadizeroadiospro4cushionlevelhigh highcushionleveladidasadizeroadiospro4 adidasadizeroadiospro4cushionfeelfirm firmcushionfeela…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-grip,enrichReviewForPage preserves overlay,ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00018,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,section:sec-grip,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Grip & outsole adidasadizeroadiospro4forefootstack33 33forefootstackadidasadizeroadiospro4 adidasadizeroadiospro4drop6 6dropadidasadizeroadiospro4 adidasadizeroadiospro4cushionlevelhigh highcushionleveladidasadizeroadiospro4 adidasadizeroadiospro4cushionfeelfirm firmcushionfeela…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-grip,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00019,BLOCKER,https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,section:sec-durability,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Durability 6dropadidasadizeroadiospro4 adidasadizeroadiospro4cushionlevelhigh highcushionleveladidasadizeroadiospro4 adidasadizeroadiospro4cushionfeelfirm firmcushionfeeladidasadizeroadiospro4 adidasadizeroadiospro4stabilityneutral neutralstabilityadidasadizeroadiospro4 adidasad…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-durability,enrichReviewForPage preserves overlay,ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
RQ-00020,BLOCKER,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,section:sec-durability,TOKEN_LEAK,skuslug|skuid|concatenated_token_phrase|value_field_slug|slug_field_value,Durability 6dropadidasadizeroadiospro4 adidasadizeroadiospro4cushionlevelhigh highcushionleveladidasadizeroadiospro4 adidasadizeroadiospro4cushionfeelfirm firmcushionfeeladidasadizeroadiospro4 adidasadizeroadiospro4stabilityneutral neutralstabilityadidasadizeroadiospro4 adidasad…,,p54_held_finalized_uniqueness_tokens,uniqueTokenList/skuStamp + specDumpSentence concatenated identifiers written into overlay JSON; page-time enrichTestingContext preserves 'How we assessed it' dumps; section keepers do not strip stamps; reviews.ts dedupeReviewsBySlug first-wins so P54/P53 beat handwritten copy,src/content/reviews-p54-held-finalized.json,section:sec-durability,"getProductReviewSummary uses raw overlay review, not enrichReviewForPage",ReviewPage/section,canPublishReview.containsInternalTerminology + assessReviewArticle + site:audit CONTENT INTERNAL_LEAK + isReportOrJunkVoice,INTERNAL_PATTERNS omit sku concatenations; isReportOrJunkVoice has no identifier detector; quality-contract treats testingContext as disclosure; uniqueness Jaccard is improved by unique stamps; launch assessor uses length/presence (tokens inflate word count); site:audit samples 15 reviews,STRIP_UNIQUENESS_TOKENS_AND_REGENERATE_PUBLIC_COPY,high,OPEN
