OK prod-naked-running-band 85320 https://img.runningwarehouse.com/watermark/rs.php?path=NKBND3-BK-1.jpg&nw=1000
OK prod-ud-ultra-belt 62831 https://img.runningwarehouse.com/watermark/rs.php?path=UDULTB6-BK-1.jpg&nw=1000
OK prod-nathan-speeddraw-insulated 171105 https://img.runningwarehouse.com/watermark/rs.php?path=NSDI212-BK-1.jpg&nw=1000
OK prod-hydrapak-softflask-500 81134 https://img.runningwarehouse.com/watermark/rs.php?path=HPSFS50-BL-1.jpg&nw=1000
PAGE FAIL prod-kiprun-trail-10 403 https://www.decathlon.nl/search?Ntt=kiprun%20trail%2010
OK prod-kiprun-trail-10 95260 https://www.decathlon.com/cdn/shop/collections/QUECHUA_SAC_A_DOS_NH_ESCAPE_500_ROLLTOP_23L_JAUN_SS25
PAGE FAIL prod-compressport-free-belt-pro 403 https://www.compressport.com/eu/free-belt-pro.html
PAGE FAIL prod-compressport-free-belt-pro 404 https://www.bergfreunde.eu/compressport-free-belt-pro/
PAGE FAIL prod-compressport-free-belt-pro 404 https://www.sportsshoes.com/search/?q=compressport+free+belt+pro
PAGE FAIL prod-osprey-hydraulics-15 404 https://www.bergfreunde.eu/osprey-hydraulics-lt-15l-reservoir/
PAGE FAIL prod-osprey-hydraulics-15 403 https://www.osprey.com/hydraulics-lt-15-reservoir
PAGE FAIL prod-osprey-hydraulics-15 403 https://www.rei.com/search?q=osprey%20hydraulics%20lt%201.5
PAGE FAIL prod-hydrapak-shape-shift-15 404 https://www.hydrapak.com/products/shape-shift-reservoir-1-5l
PAGE FAIL prod-hydrapak-shape-shift-15 404 https://www.bergfreunde.eu/hydrapak-shape-shift-1-5-l/
PAGE FAIL prod-hydrapak-shape-shift-15 403 https://www.rei.com/search?q=hydrapak%20shape%20shift%201.5
PAGE FAIL prod-hydrapak-tube-kit 404 https://www.hydrapak.com/products/tube-kit
PAGE FAIL prod-hydrapak-tube-kit 404 https://www.bergfreunde.eu/hydrapak-tube-kit/
PAGE FAIL prod-hydrapak-tube-kit 403 https://www.rei.com/search?q=hydrapak%20tube%20kit

Done 6/20 → /Users/LMeyeridricks/Documents/coding/kitletics/data/staging/hydration-draft-media-batch.json
